resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 13,alignC,headerSect 91,weekDay href,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14
ANT,Introduction to Anthropology,ANT100Y1-Y,Timetable instructions,Note:,The tutorials will take place in alternating weeks beginning September 20. Further information will be posted on Quercus.,"Society and culture from various anthropological perspectives: socio-cultural, evolutionary, archaeological, and linguistic.",Social Science,Distribution Requirement:,"Living Things and Their Environment (4), Society and its Institutions (3)",Breadth Requirement:,LEC2999,Thursday,—,18:00,20:00,—,—,"Lehman, S.",of  available,36,50,Yes: 0 student,Online - Synchronous,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),Year 1      (Faculty of Arts and Science),Department of Anthropology   (Faculty of Arts and Science),"Department of Anthropology   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Activity,—,Activity,,,,,
ANT,Murder and Other Deathly Crimes: Anthropological Perspectives,ANT192H1-F,,,,"Anthropology has much to say about death. There is foundational literature on sacrifice, suicide, and the rites surrounding the end of life. Anthropology also has a lot to say about violence: war, conflict, revolution. But at the nexus of death and violence lies murder, a culturally and socially salient phenomenon that garners less scholarly attention. This seminar will explore what constitutes murder in different cultural and historical contexts, by reading across anthropology, cultural studies, and film studies. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,LEC0101,Tuesday,—,14:00,16:00,OI 8201,,"Dave, N.",of  available,0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,Room,https://map.utoronto.ca/?id=1809#!m/494563,,,,
ANT,"Making, Using, and Interpreting Stone Tools",ANT193H1-F,,,,"Stone tools are the earliest and longest-lasting record of human technology. This course explores interpreting stone tools from a multidisciplinary perspective. In making, using, and studying stone tools, students will learn how archaeologists form hypotheses and design experiments to understand humans and their technologies in the past. This course presents research that investigate changes in human ancestors’ cognition and livelihoods through the contributions of other disciplines in life and social sciences to the study of stone tools. The course introduces major stone tool discoveries and critically engages with current research through the development of new ideas for research projects. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Wednesday,—,10:00,12:00,AP 120,,"Duke, H.",of  available,1,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,Room,https://map.utoronto.ca/?id=1809#!m/494472,,,,
ANT,Tragically Unhip: Great Thinkers of the Late 19th and Early 20th Centuries,ANT194H1-F,,,,"Inspired by Darwin’s Origin of Species (1859); the first anthropologists tried to extend his theory of evolution into culture by searching for the origins and essence of human existence. The course focuses on English and French thinkers who defined minimal sets of beliefs and practices that all cultures shared. It also takes account of the motivations and social milieux of early theorists who rarely, if ever, came in contact with the exotic “other” they studied; and it touches on the radical critique of their theories including Lévi-Strauss' structuralism and influential “afterologies” like deconstruction, post-structuralism, Lacanian psychoanalysis and Foucauldian philosophy. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC9901,Tuesday,—,12:00,14:00,—,,"Gillison, G.",of  available,0,25,Yes: 0 student,Online - Synchronous,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,Room,,,,,
ANT,Speculative Fiction and Social Reality,ANT195H1-F,,,,"How do the imagined worlds of speculative fiction reflect, and reflect upon, the real worlds of their authors and audiences? And on the other hand, how can works of speculative fiction have real-world impacts? Is speculative fiction different, in either of these respects, than other genres of narrative? This course explores a variety of works of speculative fiction from the perspective of an anthropological interest in ideas, imaginations, and narratives in relation to social life. Restricted to first-year students. Not available for CR/NCR option.",Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Thursday,—,10:00,12:00,MY 350,,"Taylor, J.",of  available,2,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,Room,https://map.utoronto.ca/?id=1809#!m/494495,,,,
CSUS,Introduction to American Studies,AMS200H1-F,Timetable instructions,Note:,"This course is inspired by one central question – what is America and how do we study it?  To get at an answer, we’ll examine issues that have long animated the discipline of American Studies and the nation itself.  Is the ideal republic a teeming metropolis or rolling “fields of amber grain”?  Why does the frontier loom so large in the American imagination? What does it mean to be a nation and an empire?  We’ll tackle these questions and more by reading contemporary scholarship – such as Michelle Alexander’s work on mass incarceration – as well as historical texts – such as witness testimony from the 1692 Salem Witch Trials.  Throughout the course we’ll explore issues and ideologies central to the republic including racialization, exceptionalism, precarity and the changeable status of citizenship.  Required for majors and minors, but open to all who meet pre-requisites.","An interdisciplinary introduction to the study of the United States and to the field of American Studies. Drawing from a variety of source materials ranging from political and literary to visual culture and material artifacts, this course examines the politics, history and culture of the U.S. A major emphasis will be learning to analyze primary sources.",USA200H1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,LEC0101,Thursday,—,14:00,16:00,BL 313,,"Rahr, A.",of  available,17,60,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0135 MA AMERICAN STUDIES,ASMIN0135 MI AMERICAN STUDIES,,,,,Room,https://map.utoronto.ca/?id=1809#!m/494536,Society and its Institutions (3),Breadth Requirement:,,
ANT,Introduction to Archaeology,ANT200Y1-Y,,,,How did art and technology develop in the course of human evolution?  What led to the development of agriculture and settled village life?  How did social inequality and urbanism emerge?  This course takes a global perspective to explore the archaeological evidence that sheds light on these questions and other aspects of prehistory and early history.  Students will engage with the challenges posed by new discoveries and also with recent developments in archaeological method and theory.  The goal of the course is to involve students with the current state of archaeological research and some of the major issues archaeologists work to address.,ANT100Y1,Recommended Preparation:,Social Science,Distribution Requirement:,LEC0101,Monday,—,16:00,18:00,SS 2135,SS 2135,"Chazan, M.",of  available,3,150,Yes: 0 student,In Person,,,,,,,,Activity,—,,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,
ANT,The Nature of Humans,ANT203Y1-Y,,,,"This course examines where humans fit in the fabric of the natural world. It explores the history of ideas about humans in nature, humans as primates, the story of human evolution and modern human physical and genetic diversity.","ANT100Y1/BIO120H1, BIO220H1",Recommended Preparation:,Science,Distribution Requirement:,LEC0101,Tuesday,—,10:00,12:00,—,—,"Cameron, M.",of  available,71,180,Yes: 0 student,Online - Synchronous,,,,,,,,Activity,—,,https://map.utoronto.ca/?id=1809#!m/494472,Living Things and Their Environment (4),Breadth Requirement:,,
ANT,Social Cultural Anthropology and Global Issues,ANT204H1-S,,,,"A course focused on recent anthropological scholarship that seeks to understand and explain the transformation of contemporary societies and cultures. Topics may include some of the following: new patterns of global inequality, war and neo-colonialism, health and globalization, social justice and indigeneity, religious fundamentalism, gender inequalities, biotechnologies and society etc.",ANT204Y1,Exclusion:,ANT100Y1,Recommended Preparation:,LEC0101,Wednesday,—,10:00,12:00,NF 003,CR 406,"Ozcan, O.",of  available,64,280,Yes: 0 student,In Person,,,,,,,,Activity,—,Room,https://map.utoronto.ca/?id=1809#!m/494600,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:
ANT,"Medical Anthropology: Sociocultural Perspectives on Illness, Medicine and Care",ANT205H1-F,,,,"Introduction to medical anthropology with a focus on questions, methods, and insights from sociocultural anthropology. Explores the relationships among culture, society, and medicine with special attention to power, inequality, and globalization. Examples from many parts of the world, addressing biomedicine as well as other healing systems.","ANT100Y1, ANT207H1",Recommended Preparation:,Social Science,Distribution Requirement:,LEC0101,Tuesday,—,14:00,16:00,—,SS 2105,"Taylor, J.",of  available,29,180,Yes: 0 student,Online - Synchronous,,,,,,,,Activity,—,Room,,Society and its Institutions (3),Breadth Requirement:,,
