resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,extraTxt 15,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay 3,weekDay href,weekDay 4,weekDay href 2,weekDay 5,weekDay href 3,weekDay 6,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,weekDay 7,dayInfo 7,dayInfo 8,dayInfo 9,weekDay 8,dayInfo 10,dayInfo 11,dayInfo 12,weekDay 9,weekDay 10,weekDay 11,headerSect 13,headerSect 14,headerSect 15,headerSect 16,headerSect 17,headerSect 18,colCode 3,weekDay 13,dayInfo 13,dayInfo 14,dayInfo 15,dayInfo 16,dayInfo 17,dayInfo 18,weekDay href 9,weekDay href 10,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,headerSect 19,headerSect 20,headerSect 21,headerSect 22,headerSect 23,headerSect 24,colCode 4,weekDay 22,colAvail 4,numCurr 4,numTot 4,numWait 4,onlineMeeting 4,headerSect 25,headerSect 26,headerSect 27,headerSect 28,headerSect 29,headerSect 30,colCode 5,colAvail 5,numCurr 5,numTot 5,numWait 5,onlineMeeting 5,headerSect 31,headerSect 32,headerSect 33,headerSect 34,headerSect 35,colCode 6,colAvail 6,numCurr 6,numTot 6,numWait 6,onlineMeeting 6,headerSect 37,headerSect 38,headerSect 39,headerSect 40,headerSect 49,alignC,alignC 2,alignC 3,alignC 5,extraTxt 16
GER,Introduction to German,GER100Y1-Y,Timetable instructions,Note:,"This course is for students with no previous background in German. If you have some background, you are required to take a placement test.  Please contact gayle.grisdale@utoronto.ca to arrange a placement test, or if you have any questions. You are not allowed to self-place.","This is the language course to take if you have had no previous experience of the German language. The emphasis is on comprehension, speaking, reading, writing, vocabulary and basic grammar. This course can be counted towards all programs in German.",Note: Students with any previous knowledge of German are REQUIRED to take a placement test offered at the department.,Senior high school German or equivalent. Note: Students with any previous knowledge of German are required to take a placement test offered at the department.,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,LEC0101,Monday,—,11:00,13:00,Wednesday,EM 108,https://map.utoronto.ca/?id=1809#!m/494463,NF 119,https://map.utoronto.ca/?id=1809#!m/494600,TF 101,https://map.utoronto.ca/?id=1809#!m/494581,TF 101,"Curran, V.",of  available,5,30,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),Monday,—,13:00,15:00,Wednesday,—,13:00,15:00,VC 206,VC 101,EM 108,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Tuesday,—,10:00,12:00,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494581,https://map.utoronto.ca/?id=1809#!m/494581,of  available,11,30,Yes: 0 student,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0401,TF 102,of  available,14,30,Yes: 0 student,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,of  available,3,30,Yes: 0 student,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,LEC5201,of  available,8,30,Yes: 0 student,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,,,,,,
IHPST,Introduction to History and Philosophy of Science and Technology,HPS100H1-F,Delivery instructions,Note:,Recordings of lectures will be available for students to view asynchronously. Tutorials and some lecture sections will be available only as online synchronous and in person at their scheduled times. Students will be expected to watch asynchronous lecture videos prior to class meetings. It is recommended that students have a computer with a microphone and camera in order to participate in online activities.,"An investigation of some pivotal periods in the history of science with an emphasis on the influences of philosophy on the scientists of the period, and the philosophical and social implications of the scientific knowledge, theory and methodology that emerged.","Humanities, Science","Thought, Belief and Behaviour (2)",Distribution Requirement:,,Breadth Requirement:,,,LEC0101,2.0 hours / week,,,,,—,https://map.utoronto.ca/?id=1809#!m/494502,LM 157,https://map.utoronto.ca/?id=1809#!m/494510,—,https://map.utoronto.ca/?id=1809#!m/494510,SS 1086,"Vold, K.",of  available,16,330,Yes: 0 student,Asynchronous (See Delivery Instructions.),,,,,Monday,—,11:00,12:00,Monday,—,13:00,14:00,Thursday,Thursday,SS 1086,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,SS 1084,—,12:00,13:00,—,13:00,14:00,,,of  available,17,33,No,In Person (See Delivery Instructions.),Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,Tuesday,of  available,2,33,No,Online - Synchronous (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,1,33,No,In Person (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,2,33,No,In Person (See Delivery Instructions.),Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,—,
IHPST,Introduction to History and Philosophy of Science and Technology,HPS100H1-S,Delivery instructions,Note:,"Lecture recordings will be made available prior to class meetings. Students will be expected to watch those recordings, and then attend synchronous live discussions. It is recommended that students have a computer with a microphone in order to participate in online activities.","An investigation of some pivotal periods in the history of science with an emphasis on the influences of philosophy on the scientists of the period, and the philosophical and social implications of the scientific knowledge, theory and methodology that emerged.","Humanities, Science","Thought, Belief and Behaviour (2)",Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Monday,—,09:00,11:00,,—,https://map.utoronto.ca/?id=1809#!m/494602,VC 115,https://map.utoronto.ca/?id=1809#!m/494602,—,https://map.utoronto.ca/?id=1809#!m/494602,VC 212,"Lewis, C.",of  available,0,320,Yes: 76 students,Online - Synchronous (See Delivery Instructions.),,,,,Monday,—,13:00,14:00,Monday,—,15:00,16:00,Thursday,Thursday,VC 212,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,VC 206,—,12:00,13:00,—,13:00,14:00,,,of  available,0,37,No,Online - Synchronous (See Delivery Instructions.),Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,,of  available,1,36,No,In Person (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,1,36,No,In Person (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,2,36,No,In Person (See Delivery Instructions.),Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,—,
GER,Introduction to German b,GER101H1-S,Timetable instructions,Note:,"This course is for students who have some background in German and have taken the placement test and have been placed at that level.  To take a placement test, or if you have any questions, please contact gayle.grisdale@german.utoronto.ca. GER 101HS joins the GER 100Y1 class in the 2nd term.","This course is intended for students with some prior knowledge of German. It is equivalent to the Spring Term of GER100Y1. The emphasis is on comprehension, speaking, reading, writing, vocabulary and basic grammar.",Senior high school German or equivalent. GER100Y1.,Humanities,Exclusion:,Creative and Cultural Representations (1),Distribution Requirement:,,Breadth Requirement:,LEC0101,Monday,—,11:00,13:00,Wednesday,—,https://map.utoronto.ca/?id=1809#!m/494581,TF 102,https://map.utoronto.ca/?id=1809#!m/494581,TF 101,https://map.utoronto.ca/?id=1809#!m/494581,TF 102,"Curran, V.",of  available,5,5,No,In Person (See Delivery Instructions.),Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,Monday,—,13:00,15:00,Wednesday,—,13:00,15:00,TF 202,TF 202,TF 102,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Tuesday,—,10:00,12:00,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494581,https://map.utoronto.ca/?id=1809#!m/494581,of  available,4,5,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0401,TF 101,of  available,5,5,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,of  available,4,5,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,LEC5201,of  available,5,5,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Room,,,,—,
HIS,Histories of Violence,HIS101Y1-Y,,,,"Ranging widely chronologically and geographically, this course explores the phenomenon of violence in history. It examines the role and meanings of violence in particular societies (such as ancient Greece and samurai Japan); the ideological foundations and use of violence in the clash of cultures (as in slavery, holy wars, colonization, and genocide); and the effects and memorialization of violence.",None,"HIS100Y1, HIS102Y1, HIS103Y1, HIS106Y1, HIS107Y1, HIS108Y1, HIS109Y1, HIS110Y1",Prerequisite:,Humanities,Exclusion:,"Society and its Institutions (3), Thought, Belief and Behaviour (2)",Distribution Requirement:,LEC0101,Tuesday,—,11:00,12:00,Thursday,AH 100,https://map.utoronto.ca/?id=1809#!m/494578,NF 003,https://map.utoronto.ca/?id=1809#!m/494600,AH 100,https://map.utoronto.ca/?id=1809#!m/494578,MY 150,"Guerson De Oliveira, A.",of  available,7,260,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 HUMANITIES     (Faculty of Arts and Science),Monday,—,12:00,13:00,Monday,—,12:00,13:00,Monday,Monday,CR 107,Activity,Time,,Instructor(s),Space Availability,Wait List,TUT0101,CR 107,—,13:00,14:00,—,13:00,14:00,https://map.utoronto.ca/?id=1809#!m/494578,https://map.utoronto.ca/?id=1809#!m/494578,of  available,1,20,No,In Person,Status / Notes,Activity,Time,,Instructor(s),Space Availability,TUT0102,Thursday,of  available,4,20,No,In Person,Wait List,Status / Notes,Activity,Time,,Instructor(s),TUT0201,of  available,0,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0202,of  available,3,20,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,,,,,,Breadth Requirement:
HIS,"Empires, Encounters and Exchanges",HIS102Y1-Y,Delivery instructions,Note:,Lectures will be online and will run synchronously during regular timetable slots.,"Interactions among peoples, empires, and cultures, with particular attention to the non-European world. Can we speak of “international relations” before the modern concept of nation-states was established? What forms did globalization take in the pre-modern era? Covering a broad chronological sweep from before the Silk Road to the present day, we will look at exchanges of goods and technologies; dissemination of ideas and religions; voyages of migration and exploration; and episodes of conquest and colonization.","HIS100Y1, HIS101Y1, HIS103Y1, HIS106Y1, HIS107Y1, HIS108Y1, HIS109Y1, HIS110Y1, HISA04H3/HISA05H3",Humanities,Exclusion:,"Society and its Institutions (3), Thought, Belief and Behaviour (2)",Distribution Requirement:,,Breadth Requirement:,LEC0101,Tuesday,—,11:00,12:00,Thursday,—,,—,,—,,—,"Inan, M.",of  available,58,240,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 HUMANITIES     (Faculty of Arts and Science),Tuesday,—,12:00,13:00,Tuesday,—,12:00,13:00,Tuesday,Tuesday,NF 008,Activity,Time,,Instructor(s),Space Availability,Wait List,TUT0101,NF 008,—,13:00,14:00,—,13:00,14:00,https://map.utoronto.ca/?id=1809#!m/494600,https://map.utoronto.ca/?id=1809#!m/494600,of  available,0,20,No,Online - Synchronous (See Delivery Instructions.),Status / Notes,Activity,Time,,Instructor(s),Space Availability,TUT0102,Thursday,of  available,4,20,No,In Person (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,,Instructor(s),TUT0201,of  available,10,20,No,Online - Synchronous (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,Activity,Time,TUT0202,of  available,3,20,No,In Person (See Delivery Instructions.),Instructor(s),Space Availability,Wait List,Status / Notes,,—,—,—,—,
HIS,Strategy and Statecraft: War and Diplomacy in European History,HIS103Y1-Y,Delivery instructions,Note:,Note:,"An analysis of the development of the international system, from 1648 to 1945, which highlights the role of war as an instrument of national policy, as a determinant of the system of states and as a threat to international society.","HIS100Y1, HIS101Y1, HIS102Y1, HIS106Y1, HIS107Y1, HIS108Y1, HIS109Y1, HIS110Y1",Society and its Institutions (3),Exclusion:,,Breadth Requirement:,,,LEC0101,2.0 hours / week,,,,—,—,,—,,—,,—,"Sayle, T.",of  available,1,260,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 HUMANITIES     (Faculty of Arts and Science),Monday,—,14:00,15:00,Monday,—,14:00,15:00,Monday,Monday,BC 20,Activity,Time,,Instructor(s),Space Availability,Wait List,TUT0101,BC 20,—,15:00,16:00,—,15:00,16:00,https://map.utoronto.ca/?id=1809#!m/494580,https://map.utoronto.ca/?id=1809#!m/494580,of  available,0,20,No,Online - Synchronous (See Delivery Instructions.),Status / Notes,Activity,Time,,Instructor(s),Space Availability,TUT0102,Wednesday,of  available,0,20,No,In Person (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,,Instructor(s),TUT0201,of  available,0,20,No,Online - Synchronous (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,Activity,Time,TUT0202,of  available,0,20,No,In Person (See Delivery Instructions.),Instructor(s),Space Availability,Wait List,Status / Notes,,,,,,
HIS,What is History?,HIS108Y1-Y,,,,"This course offers an introduction to history as a discipline - to the history of the discipline itself, to the questions, categories, and methodologies that constitute it, and how they have evolved in varied times and places, and to the methodologies students need to acquire to engage in historical inquiry and writing. The course will be part methodological workshop, part epistemological reflection.","HIS100Y1, HIS101Y1, HIS102Y1, HIS103Y1, HIS106Y1, HIS107Y1, HIS109Y1, HIS110Y1",Humanities,Exclusion:,Society and its Institutions (3),Distribution Requirement:,,Breadth Requirement:,LEC0101,Wednesday,—,09:00,11:00,,SS 2102,https://map.utoronto.ca/?id=1809#!m/494510,SS 2102,https://map.utoronto.ca/?id=1809#!m/494510,,,,"Cohen, P.",of  available,57,160,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 HUMANITIES     (Faculty of Arts and Science),Wednesday,—,11:00,12:00,Wednesday,—,12:00,13:00,Wednesday,Wednesday,NF 205,Activity,Time,,Instructor(s),Space Availability,Wait List,TUT0101,NF 205,—,13:00,14:00,—,14:00,15:00,https://map.utoronto.ca/?id=1809#!m/494578,https://map.utoronto.ca/?id=1809#!m/494578,of  available,2,20,No,In Person,Status / Notes,Activity,Time,,Instructor(s),Space Availability,TUT0201,,of  available,1,20,No,In Person,Wait List,Status / Notes,Activity,Time,,Instructor(s),TUT0301,of  available,1,20,No,In Person,Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,4,20,No,In Person,Instructor(s),Space Availability,Wait List,Status / Notes,,,,,,
IHPST,The Science of Human Nature,HPS110H1-F,Timetable instructions,Note:,- Below are the tutorials for section:,"Why do we do what we do? What factors play a role in shaping our personality? What biological and social elements help configure a person's moral and emotional character? In this course, we examine landmark studies that shook standard beliefs about human nature in their time. We analyze those studies in their historical context and discuss their relevance to social, ethical, and policy debates.  The studies may include research on mother love, obedience, conformity, bystander intervention in emergencies, deception, race, and gender stereotypes.","Humanities, Science","Thought, Belief and Behaviour (2)",Distribution Requirement:,this and only this,Breadth Requirement:,TUT0101 MON 10-11,TUT0201 MON 11-12,LEC0101,Thursday,—,12:00,14:00,Friday,—,https://map.utoronto.ca/?id=1809#!m/494600,NF 007,https://map.utoronto.ca/?id=1809#!m/494463,—,https://map.utoronto.ca/?id=1809#!m/494600,EM 302,"Solovey, M.",of  available,2,330,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,Monday,—,10:00,11:00,Monday,—,10:00,11:00,Monday,Monday,NF 007,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,EM 302,—,11:00,12:00,—,11:00,12:00,https://map.utoronto.ca/?id=1809#!m/494600,https://map.utoronto.ca/?id=1809#!m/494600,of  available,0,34,No,In Person (See Delivery Instructions.),Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0102,Tuesday,of  available,2,38,No,In Person (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0201,of  available,0,38,No,In Person (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,Activity,Time,TUT0202,of  available,1,34,No,In Person (See Delivery Instructions.),Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,—,TUT0301 MON 13-14
IHPST,How to Think about Science,HPS120H1-F,Delivery instructions,Note:,Lecture sections are online synchronous. Tutorial sections are online synchronous.,This course addresses the nature of science and its importance to our understanding of ourselves. Questions include: What is a science? Is science objective? What is scientific reasoning? Has our conception of science changed through history? How does science shape our moral image? Does science reveal our natures as humans?,Humanities,"Thought, Belief and Behaviour (2)",Distribution Requirement:,,Breadth Requirement:,,,LEC0101,Tuesday,—,14:00,16:00,,,,,,—,,,"Fulda de la Garza, F.",of  available,9,100,Yes: 0 student,In Person (See Delivery Instructions.),,,,,Monday,—,14:00,15:00,Monday,—,15:00,16:00,Thursday,Monday,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,TUT0101,,—,10:00,11:00,—,16:00,17:00,https://map.utoronto.ca/?id=1809#!m/494517,,of  available,2,40,No,Online - Synchronous (See Delivery Instructions.),Status / Notes,Activity,Time,Room,Instructor(s),Space Availability,TUT0201,UC 179,of  available,6,40,No,Online - Synchronous (See Delivery Instructions.),Wait List,Status / Notes,Activity,Time,Room,Instructor(s),TUT0301,of  available,9,10,No,Online - Synchronous (See Delivery Instructions.),Space Availability,Wait List,Status / Notes,Activity,Time,TUT0401,of  available,2,20,No,Online - Synchronous (See Delivery Instructions.),Instructor(s),Space Availability,Wait List,Status / Notes,Room,—,—,—,,
