resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,weekDay 4,legendControl 4,legendControl 5,enConList 6,headerSect 15,headerSect 16,headerSect 17,headerSect 18,headerSect 19,headerSect 20,headerSect 21,colCode 3,weekDay 5,dayInfo 7,dayInfo 8,dayInfo 9,weekDay 6,weekDay href 3,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,headerSect 22,headerSect 23,headerSect 25,headerSect 26,headerSect 27,headerSect 28,colCode 4,weekDay 7,dayInfo 10,dayInfo 11,dayInfo 12,colAvail 4,numCurr 4,numTot 4,numWait 4,onlineMeeting 4,colInst,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 16
HMB,Introduction to Neuroscience,HMB200H1-S,"An introductory course that explores the development, physiology and continually changing function of the nervous system as it relates to certain types of human behaviour. Critical analysis of scientific evidence is used to enrich learning.","BIO120H1, BIO130H1",Prerequisite:,PSL300H1,Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Wednesday,—,11:00,13:00,HS 610,https://map.utoronto.ca/?id=1809#!m/494459,0,237,Yes: 53 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 4 NEUROSCIENCE Human Biology Program    (Faculty of Arts and Science),Year 3 NEUROSCIENCE Human Biology Program    (Faculty of Arts and Science),Year 2 NEUROSCIENCE Human Biology Program    (Faculty of Arts and Science),ASFOC1540E FOC NEUROSCIENCE,ASFOC2270E FOC NEUROSCIENCE,HS 610,Restricted (R1),Enrolment Controls:,(Faculty of Applied Science & Engineering),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Friday,—,11:00,12:00,WE 54D,https://map.utoronto.ca/?id=1809#!m/494509,of  available,0,22,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Friday,—,11:00,12:00,of  available,1,22,No,In Person,,,,,
ASABS,Introduction to Indigenous Truth and Resilience,INS200H1-F,"This course is an interdisciplinary introduction to the historical and contemporary experiences of Indigenous peoples in Canada, with an emphasis on local lands and peoples. The course will explore Indigenous resilience, relationships with settlers and settler states, and principles and ethics of Indigenous Knowledge. Tutorials will focus on critical discussion and experiential learning.","Humanities, Social Science",Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,,,Room,LEC0101,Tuesday,—,12:00,14:00,SS 1069,https://map.utoronto.ca/?id=1809#!m/494510,2,50,Yes: 0 student,In Person,,,,,,,,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,10:00,11:00,SS 1078,https://map.utoronto.ca/?id=1809#!m/494510,of  available,0,25,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0201,Thursday,—,11:00,12:00,of  available,5,25,No,In Person,"Ross, V.",,,,
HMB,Introduction to Fundamental Genetics and its Applications,HMB201H1-S,"The course provides a comprehensive introduction to a variety of therapeutic approaches including gene therapy, CRISPR-based gene editing, epigenetic manipulations & regenerative medicine. This course consists of three parts: tools and techniques of gene & genome manipulations; medical, environmental and agricultural biotechnology applications; and ethical, legal and social aspects of modern biotechnology as it pertains to human health and wellbeing.","BIO120H1, BIO130H1",Prerequisite:,HMB265H1/ BIO260H1,Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,10:00,12:00,WI 1017,https://map.utoronto.ca/?id=1809#!m/494503,19,100,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:","ASFOC1540D FOC GENES,GENETICS&BIOTECHNOL",ASMAJ1050 MA FUNDMNTL GENETICS & ITS APP,ASSPE1050 SP FUNDMNTL GENETICS & ITS APP,,,,Delivery instructions,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Monday,—,12:00,13:00,HS 100,https://map.utoronto.ca/?id=1809#!m/494459,of  available,1,33,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Monday,—,12:00,13:00,of  available,4,34,No,In Person (See Delivery Instructions.),"Levy-Strumpf, N.",Note:,Lectures are in-person permitting synchronous delivery. Recordings of lecture will be available for students to view asynchronously.,"Tutorials and exams will be in-person during the meeting schedule, or during a final assessment period.",
ASABS,"Introduction to Indigenous Studies: Foundations, History and Politics",INS201Y1-Y,"This course is designed to introduce students to the ideas, methods and themes of the discipline of Indigenous Studies. The development of the field of Indigenous Studies in Canada will form an important focus in the first half. The second part of the course will address ""history and politics"", including an overview of the historical processes of diplomacy, alliances, and treaty-making.",ABS201Y1- Introduction to Aboriginal Studies,Exclusion:,"Humanities, Social Science",Distribution Requirement:,"Creative and Cultural Representations (1), Society and its Institutions (3)",Breadth Requirement:,,,,LEC0101,Monday,—,13:00,15:00,BA 1190,https://map.utoronto.ca/?id=1809#!m/494470,50,110,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Transitional Year Programme),,,,,BA 1190,,,,Activity,Time,,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Monday,—,15:00,16:00,BA 1190,https://map.utoronto.ca/?id=1809#!m/494470,of  available,0,10,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0201,Monday,—,16:00,17:00,of  available,7,25,No,In Person,"White, K.",,,,
POL,Indigenous Politics in Canada,JPI201H1-S,"This course explores key issues in Indigenous politics in Canada. Provides students with an overview of historical and contemporary socio-political issues in Indigenous societies and institutions such as Indigenous self-governance, land claims and treaty negotiations.",4.0 credits/1.0 POL credit/INS201Y1,Prerequisite:,POL308H1/POLC56H3,Exclusion:,POL214H1 or POL224H1,Recommended Preparation:,Social Science,Distribution Requirement:,Room,LEC0101,3.0 hours / week,,,,,,0,200,Yes: 57 students,Asynchronous (See Delivery Instructions.),,,,,,,,,—,Timetable instructions,Delivery instructions,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,14:00,15:00,UC 175,https://map.utoronto.ca/?id=1809#!m/494517,of  available,2,25,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Thursday,—,14:00,15:00,of  available,4,25,No,In Person (See Delivery Instructions.),"Sherwin, D.",Note:,Delivery Method:,LEC0101,Note:
HMB,Introduction to Health and Disease,HMB202H1-S,"An introductory course in Health and Disease using an interdisciplinary approach that integrates bacteriology and virology with other aspects of human biology, including chronic disease and neoplasia. An exploration of the key concepts and approaches that are necessary for understanding the dynamic nexus of human health and disease. (Lab Fees: $40)","BIO120H1, BIO130H1",Prerequisite:,HMB203H1/ HMB204H1,Exclusion:,BIO230H1/ BIO255H1,Recommended Preparation:,Science,Distribution Requirement:,Room,LEC0101,Friday,—,10:00,12:00,NF 003,https://map.utoronto.ca/?id=1809#!m/494600,41,288,Yes: 0 student,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,"This section is restricted at all times to the students listed below. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change.",ASFOC1540C FOC HEALTH AND DISEASE,ASFOC2270C FOC HEALTH AND DISEASE,ASMAJ2013 MA HMB: HEALTH AND DISEASE  - Year 2,ASMAJ2013 MA HMB: HEALTH AND DISEASE  - Year 3,ASMAJ2013 MA HMB: HEALTH AND DISEASE  - Year 4,—,Delivery instructions,,ASMAJ2035 MA HUMAN BIOLOGY,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Monday,—,10:00,11:00,—,,of  available,0,24,No,Online - Synchronous (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Monday,—,10:00,11:00,of  available,1,24,No,Online - Synchronous (See Delivery Instructions.),"Wilson Jr, R.",Note:,"Lecture is in person, and lecture recordings will be available.",Tutorials are live-streamed and recorded.,
HMB,Introduction to Global Health,HMB203H1-S,"An introductory course covering the theories, operational components and strategies of implementing health care in resource-poor settings. Topics may include education, control of vector-borne diseases, essential drug provision, maternal and child health, nutrition, incorporation of alternative and complementary technologies, community participation and deployment of health service providers","BIO120H1, BIO130H1",Prerequisite:,HMB202H1/HMB204H1,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Tuesday,—,14:00,17:00,SS 1073,https://map.utoronto.ca/?id=1809#!m/494510,0,100,Yes: 15 students,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change; this is also when other Arts & Science students can begin to enrol. Beginning August 4, other downtown campus students can enrol in this section. There is no course enrolment on August 5. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASFOC1540B FOC GLOBAL HEALTH,ASMAJ2575 MA HMB: GLOBAL HEALTH  - Year 2,ASMAJ2575 MA HMB: GLOBAL HEALTH  - Year 3,ASMAJ2575 MA HMB: GLOBAL HEALTH  - Year 4,ASSPE2575 SP HMB: GLOBAL HEALTH  - Year 2,,Delivery instructions,,ASSPE2575 SP HMB: GLOBAL HEALTH  - Year 3,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,16:00,17:00,WE 51A,https://map.utoronto.ca/?id=1809#!m/494509,of  available,1,25,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Tuesday,—,16:00,17:00,of  available,1,25,No,In Person (See Delivery Instructions.),"Cortinois, A.",Note:,"Lectures, tutorials, and exams will be held in person during the meeting schedule, or during a final assessment period. Lectures only will be recorded.",,
HMB,Introduction to Human Biology,HMB204H1-S,"An introduction to the biological, health, environmental, and sociopolitical issues that influence human health and well-being.  Topics include genetic variation within and across human populations, biological variation related to the environment, determinants of health and disease, and human behaviour and development.","BIO120H1, BIO130H1",Prerequisite:,HMB202H1/ HMB203H1,Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Thursday,—,14:00,16:00,BA 1160,https://map.utoronto.ca/?id=1809#!m/494470,0,270,Yes: 39 students,In Person (See Delivery Instructions.),Restricted (R1),Enrolment Controls:,"This section is restricted at all times to the students listed below. NOTE: Spaces for each priority group in this course are not equal, and each priority group has its own waitlist until July 28. As of July 30, the waitlists for each priority group merge into one, and your rank on the waitlist may change.",ASMAJ2035 MA HUMAN BIOLOGY  - Year 2,ASMAJ2035 MA HUMAN BIOLOGY  - Year 3,ASMAJ2035 MA HUMAN BIOLOGY  - Year 4,,,,Delivery instructions,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Monday,—,10:00,11:00,WE 51A,https://map.utoronto.ca/?id=1809#!m/494509,of  available,0,27,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Monday,—,10:00,11:00,of  available,2,27,No,In Person (See Delivery Instructions.),"Papaconstantinou, M.",Note:,"Lectures, tutorials, and exams will be held in person during the meeting schedule, or during a final assessment period. Lectures only will be recorded.",,
ASABS,"Indigenous Worldviews, Spiritual and Healing Traditions",INS205H1-S,"This course will discuss the relationship between spiritual philosophies, beliefs, traditions and practices that contribute to meaning in Indigenous communities. This course will emphasize traditions and teachings and understanding the role of spirituality historically and within contemporary Indigenous societies, including governance, treaties, environment, culture, healing and everyday life.",INS201Y1 or INS200H1,Prerequisite:,ABS205H1,Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Monday,—,10:00,12:00,SS 2127,https://map.utoronto.ca/?id=1809#!m/494510,19,60,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ross, V.",,,,
ASABS,Introduction to Anishinaabemowin,INS210Y1-Y,"An introduction to the Anishinaabe language, including the syllabic writing system.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,LEC0101,Tuesday,—,12:00,15:00,TF 200,https://map.utoronto.ca/?id=1809#!m/494581,7,30,Yes: 0 student,In Person,,,,,,,,,TF 200,,,,Activity,Time,,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Friday,—,15:00,16:00,,,of  available,3,15,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0201,Friday,—,16:00,17:00,of  available,4,15,No,In Person,"Pennock, T.",,,,
