resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,legendControl 4,extraTxt 9,extraTxt 10,extraTxt 14,alignC 3,enConList 2,enConList 3,enConList 4,extraTxt 15
INNIS,The City Where Movies Are Made,INI100H1-F,"In this course, first-year students will be introduced to film culture in Toronto from a variety of angles, including: a history of the city onscreen (both as itself and as a popular shooting location for American productions); an account of major Toronto filmmaking sites and institutions; introductions to local directors and producers; and overviews of contemporary local film festival culture (TIFF and beyond) as well as the city’s film-critical community. Through a combination of lectures, screenings, field trips and special guest speakers, the students will be moved to consider both the vitality of Toronto’s film scene as well as its connections to other aspects of the city. Restricted to first-year students. Not eligible for CR/NCR option.","Munk One, New One, St. Mike's One, Trinity One, Vic One, UC One, Woodsworth One",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,15:00,18:00,IN 312,https://map.utoronto.ca/?id=1809#!m/494541,"Nayman, A.",of  available,2,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,
ITA,Italian Language for Beginners,ITA100Y1-Y,"An introduction to the main elements of the Italian language. The development of speaking, reading, and writing skills. Introduction to Italian culture and texts.",A questionnaire on students' knowledge of and background in Italian will be administered shortly before or during the first class.,Exclusion:,Grade 11 and/or 12 Italian (U or M level) or previous experience or instruction in Italian.,Distribution Requirement:,Humanities,Breadth Requirement:,Activity,LEC0101,Monday,—,10:00,11:00,CR 404,https://map.utoronto.ca/?id=1809#!m/494580,"Bocchi, G.",of  available,6,30,Yes: 0 student,In Person (See Delivery Instructions.),,,,,Timetable instructions,Note:,This course features the flipped classroom method.,Creative and Cultural Representations (1),,,,,
INNIS,Blogging the Just City,INI101H1-S,"An introduction to the concept of the city as a creative environment promoting not only growth and wealth but also social justice, equality, cooperation, and civility. Students will learn to build their own blog to help them to observe, interpret, and reflect upon the process of urban interaction and the relationship between creativity and justice. Restricted to first-year students. Not eligible for CR/NCR option.","Munk One, New One, St. Mike's One, Trinity One, Vic One, UC One, Woodsworth One",Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Thursday,—,15:00,18:00,SK 100,https://map.utoronto.ca/?id=1809#!m/494564,"Micallef, S.",of  available,0,25,Yes: 6 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,
INNIS,Telling the Stories of the City: Writing Creative Non-Fiction,INI102H1-S,"An introduction to creative writing techniques and the personal essay form through which students will explore and develop their conscious connection to the natural-urban landscape. The course will include activities such as field trips, readings, interviews, and journaling to generate the material for personal essays on engagement with nature in the city. Restricted to first-year students. Not eligible for CR/NCR option.","Munk One, New One, St. Mike's One, Trinity One, Vic One, UC One, Woodsworth One",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,15:00,18:00,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,"Lewsen, S.",of  available,0,25,Yes: 6 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,
INNIS,Writing Essays,WRR103H1-F,"A course on essay writing designed to equip students with the skills required to write on different subjects and in a variety of different genres (including critical analysis, the narrative essay, and argumentative writing). By unpacking the stages of the writing process, this course helps students develop research, critical reading, planning, organization, writing, editing, and proofreading skills.",INI103H1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Monday,—,13:00,15:00,IN 112,https://map.utoronto.ca/?id=1809#!m/494541,"Adleman, D.",of  available,3,70,Yes: 0 student,In Person,,,,,,,,,,,,,
INNIS,Writing Essays,WRR103H1-S,"A course on essay writing designed to equip students with the skills required to write on different subjects and in a variety of different genres (including critical analysis, the narrative essay, and argumentative writing). By unpacking the stages of the writing process, this course helps students develop research, critical reading, planning, organization, writing, editing, and proofreading skills.",INI103H1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,BL 325,https://map.utoronto.ca/?id=1809#!m/494536,"Williams, A.",of  available,3,70,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Transitional Year Programme),Timetable instructions,Note:,LEC2000 and LEC2001 are restricted to students in the Transitional Year Programme and do not have tutorials.,,—,Transitional Year Programme    (University of Toronto Scarborough),(Transitional Year Programme),Transitional Year Programme    (University of Toronto Scarborough),
INNIS,Writing Reports,WRR104H1-S,"An examination into the practical and theoretical aspects of writing reports. This writing intensive course introduces the fundamentals of report writing within an interdisciplinary context and focuses on improving writing skills appropriate to report writing genres. This course provides students the opportunity to prepare abstracts, literature reviews, qualitative and quantitative research, a formal report and a poster presentation at the end of the term. Focus will be on purpose, audience, structure, style, persuasive strategies and visual rhetoric (tables, charts, graphs) and research methods.",INI104H1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Monday,—,13:00,15:00,IN 112,https://map.utoronto.ca/?id=1809#!m/494541,"Jovanovic-Krstic, V.",of  available,5,70,Yes: 0 student,In Person,,,,,,,,,,,,,
INNIS,Writing Literary Journalism: Telling the Stories of the City,INI106H1-F,"An introduction to literary journalism, in which students study the craft of storytelling along with interviewing, reporting, and the journalist’s ethical stance. Guest speakers, field trips, writing activities and course readings will help students engage deeply with their environment and develop the skills and sensitivity required for literary reporting. Restricted to first-year students. Not eligible for CR/NCR option.","Munk One, New One, St. Mike's One, Trinity One, Vic One, UC One, Woodsworth One",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,15:00,18:00,IN 204,https://map.utoronto.ca/?id=1809#!m/494541,"Lewsen, S.",of  available,0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,
INNIS,Environmental Writing,INI196H1-F,"From environmental disasters and ecological collapse to climate change denial and celebrations of nature and wilderness, we will explore the diverse ways humans imagine and write about the natural world and the consequences of such writing. We will study a variety of nonfiction texts, images, and videos about ecology, the environment, nature, wilderness, and sustainability as we consider what these terms mean. From the 19th century American transcendentalists to 20th century ecologists, and 21st century scientific, Indigenous, feminist, and anti-racist perspectives, we will analyze the many ways that humans use writing to argue for certain ways of seeing and interacting with our planet and the creatures that inhabit it. Through weekly reading, written reflections, and discussion, students will hone their deep reading, research, and writing skills. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,10:00,12:00,IN 312,https://map.utoronto.ca/?id=1809#!m/494541,"Williams, A.",of  available,11,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 1    Innis College  (Faculty of Arts and Science),,,,,,Group 2: Year 1      (Faculty of Arts and Science),,,
ITA,The Fine Art of Murder: Reading Detective Fiction,ITA197H1-S,"Since its inception in the Nineteenth century, detective fiction has been one of the most popular literary genres, proving adept at both entertaining and shining a critical light on social and political problems. This course will explore the many faces of detective fiction addressing questions such as: Why does crime hold such a fascination for modern audiences? What kind of pleasure do we derive from reading stories that often follow established conventions and rules? What do these novels about crime and punishment tell us about broader social and political issues? Restricted to first-year students. Not eligible for CR/NCR option.",VIC197H1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,TF 201,https://map.utoronto.ca/?id=1809#!m/494581,"Laudadio, D.",of  available,0,25,Yes: 14 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,
