resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,headerSect 3,colCode,weekDay,dayInfo 2,dayInfo 3,weekDay 2,colInst,numCurr,numTot,numWait,onlineMeeting,headerSect 15,alignC,weekDay href,legendControl 3,legendControl 4,enConDesc,enConList,extraTxt 11,extraTxt 12,enConList 2,enConList 3,enConList 4
LIN,Introduction to Linguistics: Sound Structure,LIN101H1-F,Delivery instructions,Note:,Lectures will be delivered online per the meeting schedule. Tutorials will also be delivered online per the meeting schedule. Students need the ability to use Zoom and will be expected to be able to participate orally or through the chat.,"Introduction to fundamental principles of linguistics with particular attention to sound structure and its acquisition, processing, and variation; practice in elementary analytic techniques using data from a broad spectrum of languages.","LIN100Y1, LIN101H5, LINA01H3, LINA02H3",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC9901,Tuesday,13:00,15:00,—,"Sanders, N.",0,245,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,—,,,,,,,,,,
LIN,Introduction to Linguistics: Sentence Structure and Meaning,LIN102H1-S,,,,"Introduction to fundamental principles of linguistics with particular attention to sentence and meaning structure, their acquisition, processing, and variation; practice in elementary analytic techniques using data from a broad spectrum of languages.","LIN100Y1, LIN102H5, LINA01H3, LINA02H3",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC0101,Tuesday,13:00,15:00,MS 3154,"Bejar, S.",0,245,Yes: 18 students,In Person,Activity,—,https://map.utoronto.ca/?id=1809#!m/494491,,,,,,,,,
LIN,Sustaining Indigenous Languages,LIN192H1-S,,,,"There has been much publicity in recent years about language shift and language loss and, along with it, language revitalization. In this course we examine shift involving Indigenous languages – and particularly those of Canada – from a variety of perspectives, and looking at reasons why one might want to 'save' a language. Restricted to first-year students. Not eligible for CR/NCR option.","Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC0101,Monday,16:00,18:00,SS 1078,"Brant, W.",2,25,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494510,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
LIN,Language and Communication,LIN196H1-F,,,,We will explore the ways in which information is communicated in conversation. We will consider systematic ways in which what a speaker intends to communicate with language goes beyond what one says in conversation. The goal of the course is to investigate the ways in which speakers rely on knowledge of language and implicit “rules” to enrich and transform the literal content of someone’s utterance.,Students will familiarize themselves with some fundamental concepts in linguistic semantics and pragmatics. They will develop analytic skills necessary to analyze a text in an academic context and beyond. Restricted to first-year students. Not eligible for CR/NCR option.,Distribution Requirement:,Social Science,Breadth Requirement:,"Thought, Belief and Behaviour (2)",,Room,LEC0101,Tuesday,13:00,15:00,UC 256,"Ippolito, M.",1,25,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494517,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
LIN,Language Diversity,LIN198H1-S,,,,"There are estimated to be about 7000 languages currently spoken in the world. What do they have in common? In what ways are they different? This course will explore these questions, covering such topics as meaning, sound systems, the structure of words, the order of words in sentences, question formation, concepts such as subject and object, tense systems, pronoun systems. We will also discuss language loss and revival. Students will develop analytic skills as they consult published grammars and other resources to address these issues. Students will share their findings through oral and written presentation. Examples will be drawn from a wide range of languages. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC0101,Wednesday,14:00,16:00,WE 75,"Mateo Pedro, P.",0,25,Yes: 2 students,In Person,,,https://map.utoronto.ca/?id=1809#!m/494509,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
LIN,Exploring Heritage Languages,LIN199H1-S,,Heritage Languages in Toronto,,"We will explore how speakers use , using data recently collected in the GTA, so students should be familiar with one of these languages. We will collect, organize and interpret information about heritage languages in Toronto. We will look for speech patterns that differentiate first, second and third generation speakers in Toronto from corresponding speakers in their countries of origin, and look at the effects of cultural and language attitudes and usage.","Students will develop analytic skills as they explore a range of research methods and resources to address these issues. Students will share their findings through oral and written presentation, including online formats. Restricted to first-year students. Not eligible for CR/NCR option.",Distribution Requirement:,Social Science,Breadth Requirement:,"Thought, Belief and Behaviour (2)",,Room,LEC0101,Tuesday,13:00,15:00,WE 75,"Nagy, N.",24,25,Yes: 0 student,In Person,,,https://map.utoronto.ca/?id=1809#!m/494509,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,
JSP,Introduction to Jewish Thought,CJS200H1-F,Delivery instructions,Note:,Students will be expected to watch weekly asynchronous lecture videos prior to class meetings on Thursdays. In-person meetings will be discussion-based and will focus on the materials that students were asked to view and/or read prior to class meetings.,"A balanced presentation of the multifaceted approach to the discipline by treating Jewish religion and thought.  The course introduces students not only to a chronological and thematic overview of the subject, but also to different methodological approaches.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,Room,LEC0101,Thursday,12:00,14:00,SK 548,"Goldberg, S.",30,50,Yes: 0 student,In Person (See Delivery Instructions.),,,https://map.utoronto.ca/?id=1809#!m/494564,,,,,,,,,
LIN,Introduction to Language,LIN200H1-F,Delivery instructions,Note:,Lectures will be delivered online per the meeting schedule. Tutorials will also be delivered online per the meeting schedule. Students need the ability to use Zoom and will be expected to be able to participate orally or through the chat.,"Introduction to Language is a general-interest course on language. Possible topics include: the structure of language; how language changes over time, the social and psychological aspects of language, language and culture, the origin of language, writing systems, and language acquisition. (This course cannot be used as an entrance to programs in linguistics, and cannot be used as a prerequisite to any linguistics courses unless otherwise indicated.)","LIN100Y1, LIN101H1, LIN102H1, LIN101H5, LIN102H5, LINA01H3, LINA02H3, ANT253H1, LIN200H5",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC2999,Wednesday,09:00,11:00,—,"Oliveira de Lima, S.",1,30,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,—,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,,,,
LIN,Introduction to Language,LIN200H1-S,,,,"Introduction to Language is a general-interest course on language. Possible topics include: the structure of language; how language changes over time, the social and psychological aspects of language, language and culture, the origin of language, writing systems, and language acquisition. (This course cannot be used as an entrance to programs in linguistics, and cannot be used as a prerequisite to any linguistics courses unless otherwise indicated.)","LIN100Y1, LIN101H1, LIN102H1, LIN101H5, LIN102H5, LINA01H3, LINA02H3, ANT253H1, LIN200H5",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC2501,Wednesday,18:00,20:00,ES 1050,"Brook, M.",0,35,Yes: 30 students,In Person,Activity,—,https://map.utoronto.ca/?id=1809#!m/494499,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,,,,
LMP,Pathobiology of the Cell,LMP200H1-S,,Living Things and Their Environment (4),Breadth Requirement:,"This course builds on concepts in cellular pathobiology to develop an advanced understanding of the function and dynamics of the cell in the context of health and disease. Concepts in cell injury, cell adaptation, migration, cell stress, cell survival, cell death, oxidative stress, endocytosis, ion homeostasis, protein folding, and their implications for disease are covered.","BIO230H1, PSL300H1; enrolment is limited to students in the Pathobiology Specialist program",Prerequisite:,"LMP301H1, LMP363H1, LMP340H1",Exclusion:,BCH210H1,Recommended Preparation:,Room,LEC0101,Friday,15:00,17:00,MS 3278,"Lee, J.",9,40,Yes: 0 student,In Person,Activity,—,https://map.utoronto.ca/?id=1809#!m/494491,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASSPE2025 SP PATHOBIOLOGY  - Year 2,Science,Distribution Requirement:,,,
