resultDept,pbot15,hiCC,extraTxt 10,extraTxt 11,extraTxt 13,extraTxt 14,extraTxt 15,extraTxt 16,extraTxt 17,extraTxt 18,extraTxt 19,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,dayInfo 7,dayInfo 8,dayInfo 9,weekDay 4,weekDay href,weekDay 5,weekDay href 2,weekDay 6,weekDay 7,weekDay href 3,weekDay 8,weekDay href 4,colInst,colInst 2,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,headerSect 7,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,colCode 2,weekDay 10,dayInfo 10,dayInfo 11,dayInfo 12,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,headerSect 13,headerSect 14,colNotes,headerSect 25,headerSect 26,headerSect 27,headerSect 28,headerSect 29,headerSect 30,colCode 5,weekDay 37,dayInfo 37,dayInfo 38,dayInfo 39,alignC,colAvail 5,numCurr 5,numTot 5,numWait 5,onlineMeeting 5,headerSect 31,headerSect 32,headerSect 33,headerSect 34,headerSect 35,headerSect 36,colCode 6,weekDay 40,dayInfo 40,dayInfo 41,dayInfo 42,weekDay 41,alignC 2,colAvail 6,numCurr 6,numTot 6,numWait 6,onlineMeeting 6,headerSect 37,headerSect 38,headerSect 39,headerSect 40,headerSect 41,headerSect 42,colCode 7,weekDay 43,dayInfo 43,dayInfo 44,dayInfo 45,alignC 3,colAvail 7,numCurr 7,numTot 7,numWait 7,onlineMeeting 7,headerSect 43,headerSect 44,headerSect 45,headerSect 46,headerSect 47,headerSect 48,colCode 8,weekDay 46,dayInfo 46,dayInfo 47,dayInfo 48,alignC 4,colAvail 8,numCurr 8,numTot 8,numWait 8,onlineMeeting 8,headerSect 49,headerSect 50,headerSect 51,headerSect 52,headerSect 53,headerSect 54,colCode 9,weekDay 49,dayInfo 49,dayInfo 50,dayInfo 51,weekDay 50,weekDay 51,alignC 5,colAvail 9,numCurr 9,numTot 9,numWait 9,onlineMeeting 9,weekDay 53,weekDay 54,weekDay href 25,weekDay href 26,weekDay href 27,weekDay href 28,headerSect 223,headerSect 224,headerSect 297,headerSect 298,headerSect 299,headerSect 300
MAT,Calculus and Linear Algebra for Commerce,MAT133Y1-Y,Mathematics of finance. Matrices and linear equations. Review of differential calculus; applications. Integration and fundamental theorem; applications. Introduction to partial differentiation; applications.,NOTE: please note Prerequisites listed below. Students without the proper prerequisites for  may be deregistered from this course.,"Note that MAT133Y is not a valid prerequisite for a number of more advanced quantitative courses. Students who are considering a quantitative non-Commerce PoSt, such as a math minor or a stats minor, may want to consider MAT135H and MAT136H, MAT137Y, or MAT157Y instead of MAT133Y. Specifically, a student who took MAT133Y may need to subsequently take MAT135H and MAT136H as ""extra"" or take MAT137Y or MAT157Y in order to proceed in non-Commerce PoSts.",High school level calculus,Prerequisite:,"MAT135H1, MAT135H5, MAT136H1, MAT136H5, MAT137Y1, MAT157Y1, MATA30H3, MATA31H3, MATA32H3, MATA33H3, MATA35H3, MATA36H3, MATA37H3,  MAT133Y5, MAT134Y5, MAT135Y5, MAT137Y5, MAT138Y5, MAT186H, MAT187H, MAT196H & MAT197H, ESC194H, ESC195H",Exclusion:,Science,Distribution Requirement:,LEC0101,Monday,—,10:00,11:00,Wednesday,—,10:00,11:00,Friday,—,17:00,18:00,MY 150,https://map.utoronto.ca/?id=1809#!m/494495,MY 150,https://map.utoronto.ca/?id=1809#!m/494495,Online Synchronous,MY 150,https://map.utoronto.ca/?id=1809#!m/494495,MY 150,https://map.utoronto.ca/?id=1809#!m/494495,"Pacifico, A.","Pugh, M.",of  available,69,400,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 COMMERCE     (Faculty of Arts and Science),Year 1 SOCIAL SCIENCES     (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,Monday,—,16:00,17:00,of  available,7,400,Yes: 0 student,In Person (See Delivery Instructions.),Activity,Time,"July 6, 2021: Section added.",Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,09:00,10:00,—,of  available,1,35,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Thursday,—,09:00,10:00,BA 2155,—,of  available,8,35,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0103,Thursday,—,09:00,10:00,—,of  available,14,35,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0201,Thursday,—,10:00,11:00,—,of  available,1,35,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0202,Thursday,—,10:00,11:00,BA 2155,BA 2155,—,of  available,1,35,No,In Person (See Delivery Instructions.),BF 215,BF 215,https://map.utoronto.ca/?id=1809#!m/494497,https://map.utoronto.ca/?id=1809#!m/494497,https://map.utoronto.ca/?id=1809#!m/494470,https://map.utoronto.ca/?id=1809#!m/494470,,,,,,
MAT,Calculus I,MAT135H1-F,"In this first introduction to Calculus, students will be introduced to the tools of differential calculus, the branch of calculus that is motivated by the problem of measuring how quantities change. Students will use these tools to solve other problems, including simplifying functions with straight lines, describing how different types of change are related, and computing maximum and minimum quantities. This course will focus on developing a deep understanding of why the tools of calculus make sense and how to apply them to the social, biological, and physical sciences. It will also emphasize translating between algebraic, graphical, numerical and verbal descriptions of each concept studied.",High school level calculus,Prerequisite:,"MAT133Y1 MAT135H5, MAT136H1, MAT136H5, MAT137Y1, MAT157Y1, MATA30H3, MATA31H3, MATA32H3, MATA33H3, MATA35H3, MATA36H3, MATA37H3,  MAT133Y5, MAT134Y5, MAT135Y5, MAT137Y5, MAT138Y5, MAT186H, MAT187H, MAT196H, MAT197H, ESC194H, ESC195H,",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Tuesday,—,09:00,11:00,Thursday,—,10:00,11:00,Tuesday,—,09:00,11:00,MY 150,https://map.utoronto.ca/?id=1809#!m/494495,MY 150,https://map.utoronto.ca/?id=1809#!m/494495,MP 203,MP 202,https://map.utoronto.ca/?id=1809#!m/494490,MP 102,https://map.utoronto.ca/?id=1809#!m/494490,"Brando Albino Galvao de S, B.","Dominguez Chiozza, T.",of  available,1,196,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 COMPUTER SCIENCE     (Faculty of Arts and Science),Year 1 SCIENCE     (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0102,Thursday,—,10:00,11:00,of  available,1,196,Yes: 0 student,In Person (See Delivery Instructions.),Activity,Time,"June 29, 2021: Section Number Changed.",Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,09:00,10:00,—,of  available,0,30,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Thursday,—,09:00,10:00,—,—,of  available,0,30,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0103,Thursday,—,09:00,10:00,—,of  available,0,30,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0104,Thursday,—,09:00,10:00,—,of  available,0,30,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0105,Thursday,—,09:00,10:00,SS 2111,BA 2185,—,of  available,1,30,No,In Person (See Delivery Instructions.),AB 114,WI 523,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494470,https://map.utoronto.ca/?id=1809#!m/494489,https://map.utoronto.ca/?id=1809#!m/494503,Room,Room,Room,Room,Room,Room
MAT,Calculus I,MAT135H1-S,"In this first introduction to Calculus, students will be introduced to the tools of differential calculus, the branch of calculus that is motivated by the problem of measuring how quantities change. Students will use these tools to solve other problems, including simplifying functions with straight lines, describing how different types of change are related, and computing maximum and minimum quantities. This course will focus on developing a deep understanding of why the tools of calculus make sense and how to apply them to the social, biological, and physical sciences. It will also emphasize translating between algebraic, graphical, numerical and verbal descriptions of each concept studied.",High school level calculus,Prerequisite:,"MAT133Y1 MAT135H5, MAT136H1, MAT136H5, MAT137Y1, MAT157Y1, MATA30H3, MATA31H3, MATA32H3, MATA33H3, MATA35H3, MATA36H3, MATA37H3,  MAT133Y5, MAT134Y5, MAT135Y5, MAT137Y5, MAT138Y5, MAT186H, MAT187H, MAT196H, MAT197H, ESC194H, ESC195H,",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Tuesday,—,11:00,12:00,Thursday,—,11:00,12:00,Friday,—,11:00,12:00,MP 103,https://map.utoronto.ca/?id=1809#!m/494490,MP 103,https://map.utoronto.ca/?id=1809#!m/494490,MP 103,MP 103,https://map.utoronto.ca/?id=1809#!m/494490,RW 110,https://map.utoronto.ca/?id=1809#!m/494490,"Lee, H.","Wang, C.",of  available,93,175,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 COMPUTER SCIENCE     (Faculty of Arts and Science),Year 1 SCIENCE     (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,Monday,—,15:00,16:00,of  available,24,100,Yes: 0 student,In Person,Activity,Time,"July 28, 2021: Section Added",Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Monday,—,16:00,17:00,—,of  available,0,39,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Monday,—,16:00,17:00,,—,of  available,13,39,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0201,Tuesday,—,12:00,13:00,—,of  available,3,39,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0301,Thursday,—,10:00,11:00,—,of  available,19,39,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0401,Thursday,—,16:00,17:00,SS 1084,SS 1086,—,of  available,15,39,No,In Person,LM 155,GB 304,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494502,https://map.utoronto.ca/?id=1809#!m/494473,Room,Room,Room,Room,Room,Room
MAT,Calculus II,MAT136H1-F,"This second part of the introductory Calculus sequence focuses on integral calculus beginning with the Fundamental Theorem of Calculus, the connection between two seemingly unrelated problems: measuring changing quantities and finding areas of curved shapes. Students will develop a deep understanding of the integral, and use it to: unpack equations involving derivatives; to make sense of infinite sums; to write complicated functions as 'infinite polynomials'; and to compute areas, volumes, and totals in applied problems. This course will further develop students' abilities to translate between algebraic, graphical, numerical, and verbal descriptions of mathematics in a variety of applied contexts.",MAT135H1,Prerequisite:,"MAT133Y1, MAT137Y1, MAT157Y1,  MATA32H3, MATA33H3, MATA36H3, MATA37H3,  MAT133Y5, MAT134Y5, MAT135Y5, MAT137Y5, MAT138Y5, MAT186H, MAT187H, MAT196H, MAT197H, ESC194H, ESC195H.",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Monday,—,11:00,12:00,Wednesday,—,11:00,12:00,Friday,—,11:00,12:00,MP 102,https://map.utoronto.ca/?id=1809#!m/494490,MP 102,https://map.utoronto.ca/?id=1809#!m/494490,MP 102,SS 2117,https://map.utoronto.ca/?id=1809#!m/494490,,https://map.utoronto.ca/?id=1809#!m/494510,"Ghosh, S.","Yang, C.",of  available,128,195,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 COMPUTER SCIENCE     (Faculty of Arts and Science),Year 1 SCIENCE     (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,Thursday,—,18:00,21:00,of  available,73,140,Yes: 0 student,In Person,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Monday,—,14:00,15:00,—,of  available,4,42,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0201,Monday,—,15:00,16:00,,—,of  available,27,42,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0301,Tuesday,—,16:00,17:00,—,of  available,31,42,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0401,Thursday,—,16:00,17:00,—,of  available,22,42,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0501,Friday,—,10:00,11:00,LM 158,ES 4001,—,of  available,10,42,No,In Person,BL 114,GB 120,https://map.utoronto.ca/?id=1809#!m/494502,https://map.utoronto.ca/?id=1809#!m/494499,https://map.utoronto.ca/?id=1809#!m/494536,https://map.utoronto.ca/?id=1809#!m/494473,Room,Room,Room,Room,Room,Room
MAT,Calculus II,MAT136H1-S,"This second part of the introductory Calculus sequence focuses on integral calculus beginning with the Fundamental Theorem of Calculus, the connection between two seemingly unrelated problems: measuring changing quantities and finding areas of curved shapes. Students will develop a deep understanding of the integral, and use it to: unpack equations involving derivatives; to make sense of infinite sums; to write complicated functions as 'infinite polynomials'; and to compute areas, volumes, and totals in applied problems. This course will further develop students' abilities to translate between algebraic, graphical, numerical, and verbal descriptions of mathematics in a variety of applied contexts.",MAT135H1,Prerequisite:,"MAT133Y1, MAT137Y1, MAT157Y1,  MATA32H3, MATA33H3, MATA36H3, MATA37H3,  MAT133Y5, MAT134Y5, MAT135Y5, MAT137Y5, MAT138Y5, MAT186H, MAT187H, MAT196H, MAT197H, ESC194H, ESC195H.",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Tuesday,—,09:00,11:00,Wednesday,—,09:00,10:00,Tuesday,—,10:00,12:00,WB 116,https://map.utoronto.ca/?id=1809#!m/494460,WB 116,https://map.utoronto.ca/?id=1809#!m/494460,SF 1105,SF 1105,https://map.utoronto.ca/?id=1809#!m/494481,HS 610,https://map.utoronto.ca/?id=1809#!m/494481,"Dominguez Chiozza, T.","Panchenko, D.",of  available,0,199,Yes: 34 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 COMPUTER SCIENCE     (Faculty of Arts and Science),Year 1 SCIENCE     (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,Wednesday,—,10:00,11:00,of  available,0,199,Yes: 16 students,In Person,Activity,Time,"July 9, 2021: Meeting Times changed.",Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,10:00,11:00,—,of  available,0,30,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Thursday,—,10:00,11:00,,—,of  available,0,30,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0103,Thursday,—,10:00,11:00,—,of  available,1,30,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0104,Thursday,—,10:00,11:00,—,of  available,0,30,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0105,Thursday,—,10:00,11:00,MY 320,UC A101,—,of  available,0,30,No,In Person,IN 204,RW 140,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494517,https://map.utoronto.ca/?id=1809#!m/494541,https://map.utoronto.ca/?id=1809#!m/494515,Room,Room,Room,Room,Room,Room
MAT,Calculus with Proofs,MAT137Y1-Y,"A conceptual approach for students with a serious interest in mathematics. Attention is given to computational aspects as well as theoretical foundations and problem solving techniques. Review of Trigonometry. Limits and continuity, mean value theorem, inverse function theorem, differentiation, integration, fundamental theorem of calculus, elementary transcendental functions, Taylor's theorem, sequence and series, power series. Applications.",High school level calculus,Prerequisite:,"MAT135H1, MAT135H5, MAT136H1, MAT136H5, MAT157Y1,  MATA35H3, MATA36H3, MATA37H3,  MAT135Y5, MAT137Y5, MAT138Y5, MAT187H, MAT196H, MAT197H, ESC194H, ESC195H.
Students will receive credit for both MAT137Y1 and MAT138H1 if MAT138H1 is taken before or along with MAT137Y1.",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Monday,—,09:00,10:00,Tuesday,—,09:00,10:00,Thursday,—,09:00,10:00,LM 159,https://map.utoronto.ca/?id=1809#!m/494502,LM 159,https://map.utoronto.ca/?id=1809#!m/494502,—,LM 159,https://map.utoronto.ca/?id=1809#!m/494502,LM 159,https://map.utoronto.ca/?id=1809#!m/494502,"Cui, X.","Qian, Z.",of  available,0,207,Yes: 0 student,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 COMPUTER SCIENCE     (Faculty of Arts and Science),Year 1 SOCIAL SCIENCES     (Faculty of Arts and Science),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,Monday,—,10:00,11:00,of  available,1,196,Yes: 0 student,In Person (See Delivery Instructions.),Activity,Time,"September 3, 2021: Section added.",Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,13:00,14:00,—,of  available,0,49,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Tuesday,—,13:00,14:00,SS 1071,—,of  available,1,49,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0103,Tuesday,—,13:00,14:00,—,of  available,0,49,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0104,Tuesday,—,13:00,14:00,—,of  available,0,49,No,In Person (See Delivery Instructions.),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0201,Tuesday,—,14:00,15:00,MP 137,MP 137,—,of  available,0,49,No,In Person (See Delivery Instructions.),SS 1071,MP 134,https://map.utoronto.ca/?id=1809#!m/494473,https://map.utoronto.ca/?id=1809#!m/494473,https://map.utoronto.ca/?id=1809#!m/494517,https://map.utoronto.ca/?id=1809#!m/494517,,,,,,
MAT,Introduction to Proofs,MAT138H1-F,"The goal of this course is for students to become comfortable with abstraction, rigour, logic, and proofs. They will practice reading and understanding mathematical statements, analyzing definitions and properties, formulating conjectures and generalizations, providing and writing reasonable and precise arguments, writing and critiquing proofs. The instructor may use specific mathematical content, which could vary from year to year, to practice these skills. The course is aimed at students interested in the creative character of mathematics, particularly those planning to take any of our proof-oriented courses, and is an excellent preparation for MAT137Y1, MAT157Y1, or MAT240H1.","Note: students may take this course concurrently with MAT157Y1 or MAT137Y1, or prior to registering in MAT157Y1 or MAT137Y1. This course can also be used by students who have already taken MAT136H1 and wish to bridge the gap to MAT237Y1.",Prerequisite:,High school level calculus,Exclusion:,MAT157Y1,Distribution Requirement:,Science,Breadth Requirement:,LEC0101,Monday,—,16:00,17:00,Wednesday,—,15:00,17:00,,,,,GB 120,https://map.utoronto.ca/?id=1809#!m/494473,GB 120,https://map.utoronto.ca/?id=1809#!m/494473,,,,,,"Constantin, H.",,of  available,5,100,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Monday,—,10:00,11:00,—,of  available,13,35,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0201,Monday,—,14:00,15:00,,—,of  available,0,35,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0301,Monday,—,15:00,16:00,—,of  available,2,35,No,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SS 2111,BL 112,,,,,,,HS 108,,https://map.utoronto.ca/?id=1809#!m/494510,https://map.utoronto.ca/?id=1809#!m/494536,https://map.utoronto.ca/?id=1809#!m/494459,,Room,,Room,Room,Room,
MAT,Analysis I,MAT157Y1-Y,"A theoretical course in calculus; emphasizing proofs and techniques, as well as geometric and physical understanding. Trigonometric identities. Limits and continuity; least upper bounds, intermediate and extreme value theorems. Derivatives, mean value and inverse function theorems. Integrals; fundamental theorem; elementary transcendental functions. Techniques of integration. Taylor's theorem; sequences and series; uniform convergence and power series.",High school level calculus,Prerequisite:,"MAT137Y1, MATA37H3, MAT137Y5, MAT157Y5, MAT197H1, ESC195H1.",Exclusion:,Students should consider taking the Preparing for University Math Level II in order to prepare in advance for MAT157Y1. Students may also take MAT138H1 concurrently with MAT157Y1. Students will receive credit for both MAT157Y1 and MAT138H1 if MAT138H1 is taken before or along with MAT157Y1.,Recommended Preparation:,Science,Distribution Requirement:,LEC0101,Monday,—,10:00,11:00,Wednesday,—,10:00,11:00,Friday,—,10:00,11:00,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,MC 102,https://map.utoronto.ca/?id=1809#!m/494474,,MC 102,https://map.utoronto.ca/?id=1809#!m/494474,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,"Meinrenken, E.",,of  available,37,300,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",AS   HBSCT Science Tranfser Degree Program,AS   MPS1 A&S Yr 1 Math & Phys Sciences,,,,,,,,,,,,,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,09:00,11:00,—,of  available,16,40,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0102,Tuesday,—,09:00,11:00,UC 256,—,of  available,39,50,No,Online - Synchronous,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0103,Monday,—,16:00,18:00,—,of  available,1,41,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0201,Monday,—,16:00,18:00,—,of  available,38,40,No,In Person,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0202,Monday,—,16:00,18:00,UC 87,UC 87,—,of  available,0,40,No,In Person,BA 2195,BA 2195,,,,,,,,,,
MAT,Liberating Mathematics,MAT192H1-S,"Currently, mathematics is at a crossroads between tradition and progress. Progress has been led in large part by women mathematicians, in particular Black women, Indigenous women, and women from visible minorities. Intertwined in their studies of mathematics is a daring critique of traditional mathematics, re-imagining of mathematics culture, and more. This course will compare and contrast new forms of accessible mathematics with standard sources that draw dominantly on the experiences and narratives of men. Restricted to first-year students. Not eligible for CR/NCR option.",High school level algebra.,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,,,LEC0101,Thursday,—,13:00,15:00,,,,,,,,,BL 113,https://map.utoronto.ca/?id=1809#!m/494536,,,,,,,,"Harron, P.",,of  available,6,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
MAT,Women’s Mathematics,MAT193H1-F,"Mathematics has been shaped in significant ways by the work of outstanding female mathematicians such as Hypatia, Emmy Noether, Sofia Kovalevskaya, and Maryam Mirzakhani. Despite these successes, women still experience barriers to entering the field and participating at the highest levels. This course will blend an exploration of mathematics created by women with a study of the issue of women in mathematics. Students will have the opportunity to examine the complex factors that impact women’s participation in STEM, learn about the lives of female mathematicians, create their own mathematics, and sharpen their spatial cognition and logical thinking skills.",High school level algebra.,Prerequisite:,Not intended for students in a Mathematics Specialist or Major program.,Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Wednesday,—,09:00,12:00,,,,,,,,,SS 2114,https://map.utoronto.ca/?id=1809#!m/494510,,,,,,,,"Mayes-Tang, S.",,of  available,20,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,,
