resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,colSectionLocRoomTitle,colSectionLocRooms,colSectionLocRooms 2,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay href,weekDay 4,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,headerSect 13,alignC,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14
NEW,Academic Listening & Speaking,IFP010Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC0101,Monday,—,09:00,12:00,Tuesday,—,09:00,12:00,WE 54C,https://map.utoronto.ca/?id=1809#!m/494509,WE 54C,https://map.utoronto.ca/?id=1809#!m/494509,"Toth, Z.",of  available,20,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AH   NDEGE International Foundation Prg,AS   NDEGE International Foundation Prg,Activity,,,,,,,,,,,
NEW,Academic Listening & Speaking,IFP011Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC0101,Thursday,—,09:00,12:00,Friday,—,09:00,12:00,WE 51C,https://map.utoronto.ca/?id=1809#!m/494509,LM 123,https://map.utoronto.ca/?id=1809#!m/494502,"Haller, J.",of  available,20,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AE   NDEGE International Foundations Prog,,,,,,,,,,,,,
NEW,Written English Discourse,IFP012Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC0101,Tuesday,—,09:00,12:00,Wednesday,—,09:00,12:00,WE 54E,https://map.utoronto.ca/?id=1809#!m/494509,WE 54E,https://map.utoronto.ca/?id=1809#!m/494509,"Anderson, K.",of  available,20,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AE   NDEGE International Foundations Prog,,,,,,,,,,,,,
NEW,University Skills & Strategies,IFP013Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC0101,Tuesday,—,13:00,16:00,,,,,WE 54D,https://map.utoronto.ca/?id=1809#!m/494509,WE 54D,https://map.utoronto.ca/?id=1809#!m/494509,"Anderson, K.",of  available,20,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AE   NDEGE International Foundations Prog,,,,,,,,,,,,,
NEW,Foundations of Mathematics,IFP014Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC0101,Monday,—,12:00,14:00,,,,,WE 76,https://map.utoronto.ca/?id=1809#!m/494509,WE 76,https://map.utoronto.ca/?id=1809#!m/494509,"Parnell-Hendrickson, S.",of  available,20,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AE   NDEGE International Foundations Prog,,,,,,,,,,,,,
NEW,Critical Reading & Writing,IFP020Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC0101,Monday,—,09:00,12:00,Tuesday,—,09:00,12:00,UC A101,https://map.utoronto.ca/?id=1809#!m/494517,UC 248,https://map.utoronto.ca/?id=1809#!m/494517,"Cardenas, C.",of  available,6,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AH   NDEGE International Foundation Prg,AS   NDEGE International Foundation Prg,Activity,,,,,,,,,,,
NEW,Academic Literacies & Identities,IFP030Y1-Y,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,Room,1st Term,2nd Term,LEC0101,Monday,—,09:00,12:00,Monday,—,09:00,12:00,WE 76,https://map.utoronto.ca/?id=1809#!m/494509,WE 76,https://map.utoronto.ca/?id=1809#!m/494509,"Riviere, J.",of  available,20,20,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AH   NDEGE International Foundation Prg,AS   NDEGE International Foundation Prg,Activity,,,,,,,,,,,
NEW,Applied Concepts in Economics,IFP040H1-S,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,,,,LEC5101,Monday,—,17:00,20:00,,,,,BL 325,https://map.utoronto.ca/?id=1809#!m/494536,,,,of  available,60,60,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AH   NDEGE International Foundation Prg,AS   NDEGE International Foundation Prg,Room,—,,,,,,,,,,
NEW,Reading and Writing in Mathematics,IFP050H1-S,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,,,,LEC5101,Monday,—,17:00,20:00,Wednesday,—,17:00,20:00,WI 1017,https://map.utoronto.ca/?id=1809#!m/494503,WI 1017,https://map.utoronto.ca/?id=1809#!m/494503,,of  available,60,60,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AH   NDEGE International Foundation Prg,AS   NDEGE International Foundation Prg,Room,—,,,,,,,,,,
NEW,Problem Solving in the Sciences,IFP070H1-S,Timetable instructions,Note:,"For more information, please contact  or 416-946-5146.",foundation.program@utoronto.ca,,,,LEC5101,Monday,—,17:00,20:00,,,,,BL 114,https://map.utoronto.ca/?id=1809#!m/494536,,,,of  available,40,40,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AH   NDEGE International Foundation Prg,AS   NDEGE International Foundation Prg,Room,—,,,,,,,,,,
