resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt href,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,extraTxt 14,extraTxt 15,legendControl 5,extraTxt 16,weekDay 3,enConList 3,enConList 4,headerSect 8,headerSect 9,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,weekDay href 2,alignC,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,extraTxt 17,weekDay 6,dayInfo 7,dayInfo 8,dayInfo 9,colInst 2
GLAF,Global Innovation I: Issues and Perspectives,MUN101H1-F,Timetable instructions,Note:,Students must have been accepted into the Munk One Program in order to enroll. Information on the application process can be found on our website:  Queries can be directed to munk.one@utoronto.ca,http://munkschool.utoronto.ca/one/,http://munkschool.utoronto.ca/one/,"Innovation has always been a key driver of economic growth, population health, and societal success. Transformative change has historically been linked to major innovations such as urban sanitation, pasteurization, the printing press and the industrial revolution. Currently, the opportunity to enhance life chances worldwide relies on innovating for the poor, social innovation, and the ability to harness scientific and technological knowledge. What precisely is innovation? When does innovation happen? Who benefits from innovation? How can innovation be fostered, and how do innovations spread? Relying on major global transformations and country-specific case studies (for example, South Korea, Taiwan, Israel and India); this course examines the drivers of innovation, the political, social, economic, and scientific and technological factors that are critical to promoting innovation and addressing current global challenges, and the consequences of innovation. Restricted to first-year students. Not eligible for CR/NCR option.",Admission to Munk One,Prerequisite:,"Innis One, New One, St. Mike's One, Trinity One, UC One, Vic One, Woodsworth One",Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,08:00,10:00,CG 160,https://map.utoronto.ca/?id=1809#!m/494505,"Wong, J.",8,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,,,,,,,
GLAF,Global Innovation II: Challenges and Solutions,MUN102H1-S,Timetable instructions,Note:,Students must have been accepted into the Munk One Program in order to enroll. Information on the application process can be found on our website:  Queries can be directed to munk.one@utoronto.ca,http://munkschool.utoronto.ca/one/,http://munkschool.utoronto.ca/one/,"Governing public goods has been an age-old concern for social scientists and policymakers alike. This is not surprising since the provision of global public goods is riddled by problems of collective action. In this course, we focus on how to implement solutions through states, markets and communities.","The first objective is to familiarize students with the concept of global public goods, the different mechanisms that can provide these goods and the challenges that emerge from lacking incentives to secure their provision. To this end, the course will introduce theories from sociology, political science, philosophy, and history to help us understand different types of governance mechanisms and how they may be used to scale global solutions. Theories can help us explain the tensions between cooperating for the public good at the expense of sacrificing individual goals, or why certain areas of our lives, like the Internet, seem to produce public goods without any formal mechanism of cooperation.",Prerequisite:,"The second objective is to use the class and subject of study as an arena to model and practice the kind of learning that is expected of university students. The main skills that the course will help students target and develop are: research (finding, evaluating and assimilating reliable information); writing (developing ideas into logically written arguments); and critical analysis of arguments presented in the readings and debated in class (this includes identifying the key assumptions that are implicit in different theories as well as inherent in our own positions on various questions related to governance). Restricted to first-year students. Not eligible for CR/NCR option.",Exclusion:,Admission to Munk One,Distribution Requirement:,"Innis One, New One, St. Mike's One, Trinity One, UC One, Vic One, Woodsworth One",Breadth Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,OI 8201,https://map.utoronto.ca/?id=1809#!m/494563,"Kramarz, T.",8,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Social Science,Society and its Institutions (3),,,,,,,,,,,,,,,,,,,,,,,,,
PCL,The Art of Drug Discovery,PCL102H1-S,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Rebecca Laposa, .",rebecca.laposa@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/rebecca.laposa@utoronto.ca,This course introduces students to the processes and strategies for discovering new drugs with a special focus on current and emerging approaches for the rational design of drugs that are both effective and safe.,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,,,Room,LEC0101,2.0 hours / week,,,,,,"Laposa, R.",0,500,Yes: 182 students,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,Note:,Delivery instructions,Lectures will be delivered fully online via asynchronous components (per the course syllabus). Students will be expected to watch asynchronous lecture videos prior to class meetings. All term assessments will take place in-person during scheduled tutorial time.,—,AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,https://map.utoronto.ca/?id=1809#!m/494491,—,of  available,39,500,No,In Person (See Delivery Instructions.),,,,,,
GLAF,Global Problem-Solving: Laboratory Opportunities,MUN105Y1-Y,Timetable instructions,Note:,Students must have been accepted into the Munk One Program in order to enroll. Information on the application process can be found on our website: .,http://munkschool.utoronto.ca/one,http://munkschool.utoronto.ca/one/,"This course teaches students how to conduct analytically rigorous social science research to improve their insights into complex global problems and devise innovative solutions to address them. A unique feature of this class is that students have the opportunity to learn by doing. Students work hands-on in one of several labs dealing with some of the most intractable global problems of our time in the areas of the environment, health, digital governance, security and the gap between rich and poor. By the end of this course students will be able to:","Students will work with their peers in small seminar classes and lab group settings, mentored by graduate teaching assistants specializing in global affairs, expert faculty and senior policy advisors dedicated to addressing global issues in the fields of the environment, health, security, digital governance and political economy. Restricted to first-year students. Not eligible for CR/NCR option.",Prerequisite:,Admission to Munk One,Exclusion:,"Exclusion: Innis One, New One, St. Mike's One, Trinity One, UC One, Vic One, Woodsworth One",Distribution Requirement:,Social Science,Breadth Requirement:,,LEC0101,Thursday,—,10:00,12:00,SK 218,https://map.utoronto.ca/?id=1809#!m/494564,"Kramarz, T.",8,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),munk.one@utoronto.ca,,Queries can be directed to .,SK 218,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494564,,,,,,,Experience and practice the process of social science,,,,,
PCL,Drugs & the Brain,PCL200H1-F,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Amy Ramsey, . Please note this is a breadth course for students either outside of the Life Sciences or for students in year 1 interested in gaining an appreciation for drugs and the brain.",a.ramsey@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/a.ramsey@utoronto.ca,"Lectures introduce students to prescribed and illicit drugs that affect the brain. Lectures cover drug pharmacology and explain how drugs alter mood, perception, cognition, and arousal by affecting different aspects of brain function. The societal impact of these prescribed and illicit drugs is also discussed.",This course is not intended for upper year students who have already completed BCH210H1 or other exclusion courses. Upper year Life Science students who are excluded and are interested in this content should look into PCL475H1 and/or PCL476H1 as the more appropriate choice.,Note:,None,Prerequisite:,"PSY396H1, PCL302H1, BCH210H1, BCH242Y1",Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,HS 610,https://map.utoronto.ca/?id=1809#!m/494459,"Ramsey, A.",0,250,Yes: 0 student,In Person,,,,,,Living Things and Their Environment (4),,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,https://map.utoronto.ca/?id=1809#!m/494459,—,of  available,14,250,No,In Person,Breadth Requirement:,,,,,
GLAF,Microeconomics for Policy Analysis,PPG200H1-F,,,,,,"The objectives are: (1) To provide students with a foundation in microeconomic analysis and; (2) To demonstrate how this foundation can be applied to design, predict the effects of and evaluate public policies.","Students will be equipped to understand the main issues on a range of policy topics such as taxation, social insurance, welfare and income support programs.",Prerequisite:,ECO100Y1 / ECO101H1&ECO102H1 / ECO105Y1,Exclusion:,"ECO200Y1, ECO204Y1, ECO206Y1",Recommended Preparation:,POL101Y1,Breadth Requirement:,Room,LEC5101,Tuesday,—,18:00,20:00,CG 160,https://map.utoronto.ca/?id=1809#!m/494505,"Oschinski, M.",10,40,Yes: 0 student,In Person,,,,,,Society and its Institutions (3),,,,,,,,,,,,,,,,,,,,,,,,,,
PCL,Introduction to Pharmacology and Pharmacokinetic Principles,PCL201H1-S,Timetable instructions,Note:,"Student inquiries should be directed to the course coordinator: Dr. Cindy Woodland, . Students in either Subject POsT code AEESCBASCO BASc-Engineering Sci (Nano Eng) or AEESCBASEB BASc in Eng Sci (Biomedical) will be provided exemption from required pre-requisite courses.",cindy.woodland@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/cindy.woodland@utoronto.ca,"A general introduction to the principles of pharmacology and pharmacokinetics. Topics include chemical (drug) absorption, distribution, biotransformation, elimination; the calculation of dosages and pharmacokinetic parameters, variability in drug response, adverse drug reactions and special interest topics.",BIO130H1/BIOA01H3/BIO152H5,Prerequisite:,"Recommended Co-requisites: BIO230H1/BIO255H1, PSL300H1/PSL301H1",Corequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,11:00,13:00,HS 610,https://map.utoronto.ca/?id=1809#!m/494459,"Riddick, D.",0,244,Yes: 3 students,In Person (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Department of Pharmacology   (Faculty of Arts and Science),ASSPE0605 SP ENVIRONMENT & TOXICOLOGY,,Note:,Delivery instructions,Lectures will be delivered in-person on Mondays from 11:00-13:00 and online (synchronously) on Wednesdays from 15:00-17:00. All term assessments will take place in-person during scheduled course time.,Online Synchronous,ASSPE1211 SP PHARMACEUTICAL CHEMISTRY,(Faculty of Applied Science & Engineering),Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC2001,https://map.utoronto.ca/?id=1809#!m/494459,,of  available,1,6,Yes: 0 student,In Person (See Delivery Instructions.),,Wednesday,—,15:00,17:00,"Woodland, C."
PCL,Cannabis the Drug,PCL218H1-S,Timetable instructions,Note:,Student inquiries should be directed to the undergraduate office: .,undergrad.pharmtox@utoronto.ca,https://timetable.iit.artsci.utoronto.ca/undergrad.pharmtox@utoronto.ca,"There is a critical need for a breadth of understanding regarding its mechanism of action, pharmacological effects and its potential benefits and harms (short- and long-term). Students will gain a breadth of understanding in cannabis-related topics including pharmacology and toxicology, its role in mental health and addictions, medical use, drug policy and new drug development that stems from increased access to cannabis constituents. They will learn to differentiate myths and anecdotes from evidence-based knowledge. Going forward it is imperative that students spanning basic sciences through business, arts and engineering have a comprehensive understanding of these topics. PCL218H1 will give students for a variety of academic backgrounds a basic understanding of the health implications of cannabis which have broad implications for both our professional and personal lives.",Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Lectures will be delivered fully online per the course schedule (synchronous). All term assessments will take place during scheduled course time.,,,,Room,LEC9901,Monday,—,15:00,17:00,,,"Ross, R.",0,250,Yes: 59 students,Online - Synchronous (See Delivery Instructions.),,,,,,,Note:,Delivery instructions,Please note this is a breadth course for students either outside of the Life Sciences or for students in year 1 interested in gaining an appreciation for cannabis and its pharmacology and toxicology.,—,,,,,,,,,,,,,,,,,,Wednesday,—,12:00,13:00,
GLAF,Introduction to Peace and Conflict Studies,PCJ260Y1-Y,Timetable instructions,Note:,This course is restricted to students accepted to the  Major and Specialist programs.,,,"The course reviews theories exploring the causes of conflict, the possibilities for the pursuit of peace, and the role of justice in both. Drawing on a wide range of disciplines and perspectives, including political science, psychology, sociobiology, economics, and religion, it offers an introduction to diverse approaches to conflict resolution and peace-building. After examining the role of individual characteristics, social group dynamics, and structural processes in generating conflict, the course interrogates different conceptions of peace and justice as well as the dilemmas involved in pursuing them in practice. Case studies and examples are used to help students apply the conceptual tools they acquire to prominent world conflicts.",Only for current PCJ program students in second year and higher/permission of the Program Director,Prerequisite:,"PCS260Y1, UNI110Y1, UNI260Y1",Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,LEC0101,Tuesday,—,12:00,14:00,SS 1085,https://map.utoronto.ca/?id=1809#!m/494510,"Winward, M.",12,50,No,In Person,"Priority, then Enrol at Department (PE)",Enrolment Controls:,"Priority enrolment on ACORN is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all students must request permission to enrol in this section by contacting the sponsoring department. Please see Timetable Instructions tab for contact information. The following groups of students are given priority access on ACORN until July 28:","ASMAJ1228 MA PEACE, CONFLICT & JUSTICE","ASSPE0575 SP IR/PEACE,CONFLICT & JUSTICE",,"Peace, Conflict and Justice",,,HA 401,"ASSPE1228 SP PEACE, CONFLICT & JUSTICE",,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,https://map.utoronto.ca/?id=1809#!m/494475,—,of  available,2,25,No,In Person,,AH 306,,,,
NUSCI,Basic Human Nutrition,NFS284H1-F,Timetable instructions,Note:,Online- Asynchronous,,,"An introductory course to provide the fundamentals of human nutrition to enable students to understand and think critically about the complex interrelationships between food, nutrition, health and the environment.",HLTB11H3,Exclusion:,"(BIO120H1, BIO130H1)/BIO150Y1; (CHM138H1,CHM139H1)/(CHM135H1,CHM136H1)/CHM151Y1",Recommended Preparation:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC9901,3.0 hours / week,,,,,,"Schwartz, A.",7,1020,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ1068 MA NUTRITIONAL SCIENCES  - Year 2,ASMAJ1068 MA NUTRITIONAL SCIENCES  - Year 3,,Note:,Delivery instructions,"Lectures will be delivered online; learning is self paced and not reliant on a meeting schedule. There will be a scheduled test during the final assessment period, also to be delivered online.",—,ASMAJ1068 MA NUTRITIONAL SCIENCES  - Year 4,,,,,,,,,,,,,,,,,,,,,
