resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay href,weekDay 4,weekDay href 2,weekDay 5,weekDay 6,colInst,colInst 2,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,headerSect 7,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,colCode 2,weekDay 7,dayInfo 7,dayInfo 8,dayInfo 9,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,headerSect 13,weekDay href 8,weekDay 14,dayInfo 31,alignC 9,extraTxt 9,headerSect 79,legendControl 4,extraTxt 10,extraTxt 11,extraTxt 13
PHL,Introduction to Philosophy (Historical),PHL100Y1-Y,"An introduction to the central branches of philosophy, such as logic, theory of knowledge, metaphysics, ethics, and political philosophy. Writings from the central figures in the history of Western and non-Western philosophy, as well as contemporary philosophers, may be considered.","PHL101Y1, PHL201H1, PHLA10H3, PHLA11H3, PHL101H5, PHL102H5, PHL105Y5",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Tuesday,—,11:00,12:00,Thursday,—,11:00,12:00,NF 003,https://map.utoronto.ca/?id=1809#!m/494600,BT 101,https://map.utoronto.ca/?id=1809#!m/494605,BT 101,BT 101,"King, P.","Smith, J.",of  available,4,300,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,12:00,13:00,of  available,0,25,No,In Person,Activity,https://map.utoronto.ca/?id=1809#!m/494510,UC 65,—,—,,,,,,
PHY,The Magic of Physics,PHY100H1-F,"This course provides a survey of Physics, including both Classical and Modern Physics. It is designed for non-scientists, and assumes no background in either science or mathematics. The approach to the course is broad rather than deep. We will concentrate on the concepts underlying such fascinating topics as planetary motion, chaos, the nature of light, time travel, black holes, matter waves, Schrodinger's cat, quarks, and climate change. We will uncover the wonders of the classical and the quantum worlds courtesy of Galileo, Newton, Maxwell, Einstein, Heisenberg and many others.",(PHY100H1 is primarily intended as a Breadth Requirement course for students in the Humanities and Social Science),Exclusion:,PHY131H1/PHY132H1/PHY151H1/PHY152H1 (or equivalent) taken previously or concurrently,Distribution Requirement:,Science,Breadth Requirement:,LEC0101,Thursday,—,13:00,15:00,,,,,MP 103,https://map.utoronto.ca/?id=1809#!m/494490,LM 155,https://map.utoronto.ca/?id=1809#!m/494502,UC 152,UC 330,"Goyal, S.",,of  available,13,196,Yes: 0 student,In Person,,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,15:00,16:00,of  available,3,33,No,In Person,Activity,,,,,The Physical and Mathematical Universes (5),Room,,,,
PHL,Introduction to Philosophy (Thematic),PHL101Y1-Y,An introduction to some of the central problems of philosophy. Examples of questions that may be considered include: What is sound reasoning? What can we know? What is ultimately real? Is morality rational? Do humans have free will? Is there a God? What is consciousness? Should we fear death? What is justice?,"PHL100Y1, PHL201H1, PHLA10H3, PHLA11H3, PHL101H5, PHL102H5, PHL105Y5",Exclusion:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC0101,Monday,—,10:00,11:00,Wednesday,—,10:00,11:00,BT 101,https://map.utoronto.ca/?id=1809#!m/494605,BT 101,https://map.utoronto.ca/?id=1809#!m/494605,BT 101,BT 101,"John, J.",,of  available,75,500,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Wednesday,—,12:00,13:00,of  available,0,22,No,In Person,Activity,https://map.utoronto.ca/?id=1809#!m/494517,WE 74,—,—,,Activity,,,,
PHY,Introduction to Physics I,PHY131H1-F,"A first university physics course primarily for students not intending to pursue a Specialist or Major program in Physical or Mathematical Sciences. Topics include: classical kinematics & dynamics, momentum, energy, force, friction, work, power, angular momentum, oscillations, waves, sound.","MAT135H1/MAT137Y1/MAT157Y1 recommended, but may be required prerequisite in 2nd year Physics courses",Corequisite:,PHY151H1,Exclusion:,"MCV4U Calculus & Vectors / MHF4U Functions & Calculus, SPH4U Physics",Recommended Preparation:,LEC9901,Monday,—,11:00,12:00,Wednesday,—,11:00,12:00,—,,—,,—,Monday,"Harlow, J.","Sealfon, C.",of  available,144,1000,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,PRA0101,—,—,13:00,15:00,of  available,1,90,No,Online - Synchronous (See Delivery Instructions.),Status / Notes,,—,—,—,Science,Room,Delivery instructions,Note:,"Lectures and Practicals will be Online Synchronous. Synchronous participation will be required for Practicals every week. Students cannot alternate their Practical, on the same day, with any 100‐level BIO or CHM course lab. Students may add or change a Practical (P) section via ACORN until September 12, 2021. Starting September 13, 2021, adding or changing of Practical sections must be requested online at: .",Distribution Requirement:
PHY,Introduction to Physics I,PHY131H1-S,"A first university physics course primarily for students not intending to pursue a Specialist or Major program in Physical or Mathematical Sciences. Topics include: classical kinematics & dynamics, momentum, energy, force, friction, work, power, angular momentum, oscillations, waves, sound.","MAT135H1/MAT137Y1/MAT157Y1 recommended, but may be required prerequisite in 2nd year Physics courses",Corequisite:,PHY151H1,Exclusion:,"MCV4U Calculus & Vectors / MHF4U Functions & Calculus, SPH4U Physics",Recommended Preparation:,LEC0101,Monday,—,11:00,12:00,Wednesday,—,11:00,12:00,MP 102,https://map.utoronto.ca/?id=1809#!m/494490,MP 124,https://map.utoronto.ca/?id=1809#!m/494490,MP 124,Wednesday,,,of  available,0,196,Yes: 14 students,In Person (See Delivery Instructions.),,,,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,PRA0101,MP 124,—,12:00,14:00,of  available,5,36,No,In Person (See Delivery Instructions.),Status / Notes,https://map.utoronto.ca/?id=1809#!m/494490,MP 102,—,—,Science,Room,Delivery instructions,Note:,"Students cannot alternate their Practical, on the same day, with any 100‐level BIO or CHM course lab. Students may add or change a Practical (P) section via ACORN until January 16, 2022. Starting January 17, 2022, adding or changing of Practical sections must be requested online at:",Distribution Requirement:
PHY,Introduction to Physics II,PHY132H1-S,"The second university physics course primarily for students not intending to pursue a Specialist or Major program in Physical or Mathematical Sciences. Topics include: electricity, magnetism, light, optics, special relativity.",PHY131H1/PHY151H1,Prerequisite:,"MAT136H1/MAT137Y1/MAT157Y1 recommended, but may be required prerequisite in 2nd year Physics courses",Corequisite:,PHY152H1,Exclusion:,LEC9901,Monday,—,11:00,12:00,Wednesday,—,11:00,12:00,—,,—,,—,Monday,"Harlick, A.","Sealfon, C.",of  available,292,1000,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,PRA0101,—,—,13:00,15:00,of  available,0,72,No,Online - Synchronous (See Delivery Instructions.),Status / Notes,,—,—,—,Science,Room,Delivery instructions,Note:,"Lectures and Practicals will be Online Synchronous. Synchronous participation will be required for Practicals every week. Students cannot alternate their Practical, on the same day, with any 100‐level BIO or CHM course lab. Students may add or change a Practical (P) section via ACORN until January 16, 2022. Starting January 17, 2022, adding or changing of Practical sections must be requested online at: .",Distribution Requirement:
PHY,Foundations of Physics I,PHY151H1-F,"The first physics course in many of the Specialist and Major Programs in Physical Sciences. It provides an introduction to the concepts, approaches and tools the physicist uses to describe the physical world while laying the foundation for classical and modern mechanics. Topics include: mathematics of physics, energy, momentum, conservation laws, kinematics, dynamics, and special relativity.",MCV4U Calculus & Vectors / MCB4U Functions & Calculus; SPH4U Physics,Prerequisite:,MAT137Y1/MAT157Y1,Corequisite:,PHY131H1,Exclusion:,LEC0101,Monday,—,12:00,13:00,Wednesday,—,12:00,13:00,MP 102,https://map.utoronto.ca/?id=1809#!m/494490,MP 127,https://map.utoronto.ca/?id=1809#!m/494490,MP 127,Tuesday,"Harlow, J.","Julian, S.",of  available,14,196,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,PRA0101,MP 127,—,09:00,12:00,of  available,2,32,No,In Person (See Delivery Instructions.),Status / Notes,https://map.utoronto.ca/?id=1809#!m/494490,MP 102,—,—,Science,Room,Delivery instructions,Note:,"Students may add or change a Practical (P) section via ACORN until September 12, 2021. Starting September 13, 2021, adding or changing of Practical sections must be requested online at: .",Distribution Requirement:
PHY,Foundations of Physics II,PHY152H1-S,"The concept of fields will be introduced and discussed in the context of gravity and electricity. Topics include rotational motion, oscillations, waves, electricity and magnetism.",PHY131H1/PHY151H1/PHY180H1,Prerequisite:,MAT137Y1/MAT157Y1,Corequisite:,PHY132H1,Exclusion:,LEC0101,Monday,—,12:00,13:00,Wednesday,—,12:00,13:00,MP 102,https://map.utoronto.ca/?id=1809#!m/494490,MP 127,https://map.utoronto.ca/?id=1809#!m/494490,MP 127,Monday,"Harlow, J.","Julian, S.",of  available,13,196,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,PRA0101,MP 127,—,14:00,17:00,of  available,2,32,No,In Person (See Delivery Instructions.),Status / Notes,https://map.utoronto.ca/?id=1809#!m/494490,MP 102,—,,Science,Room,Delivery instructions,Note:,"Students may add or change a Practical (P) section via ACORN until January 16, 2022. Starting January 17, 2022, adding or changing of Practical sections must be requested online at: .",Distribution Requirement:
PSL,Biomedical Research at the Cutting Edge,PSL190H1-S,"Explore the thought processes, logic, motivation, techniques, analysis and impact of recent high-profile publications to gain insight into the enterprise of science. Outstanding scientists present recent high-impact papers, and students will examine the research in depth, focusing on the underlying questions, experimental approach, results and significance. Restricted to first-year students. Not available for CR/NCR option.",SBI4U and SCH4U (Grade 12 University Preparation Biology and Chemistry); permission of Department,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,LEC0101,Monday,—,12:00,13:00,Wednesday,—,12:00,13:00,HA 401,https://map.utoronto.ca/?id=1809#!m/494475,,,,,"French, M.",,of  available,0,30,Yes: 12 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494475,HA 401,—,,,Room,,,,
PHL,"Multiculturalism, Philosophy and Film",PHL196H1-S,"This course will critically examine the role of cinema in the construction and exploration of the figure of the racial, ethnic, cultural and social ""other"". Our topics will include (1) racial, ethnic and cultural identity and its reciprocal relationship with cinema, (2) the notion of realism in relation to the representation of race and ethnicity in film, (3) the cinematic representation of inter-ethnic and intra-ethnic conflict, (4) the position of cinema in the debate between assimilation and multiculturalism, and (5) the ways in which cinema can help illuminate a cluster of relevant notions in political philosophy including citizenship, communitarianism, cosmopolitanism, and the relation between individual rights and group rights. Films will be screened in class and discussed against the background of focused critical readings. Restricted to first-year students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,LEC0101,Monday,—,10:00,12:00,Wednesday,—,10:00,12:00,SS 2101,https://map.utoronto.ca/?id=1809#!m/494510,,,,,"Gagliardi, F.",,of  available,0,22,Yes: 17 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494510,SS 2101,,,,Room,,,,
