resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,headerSect 3,colCode,weekDay,weekDay 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,extraTxt 13,legendControl 7,extraTxt 16,headerSect 15,alignC,weekDay 55,dayInfo 94,dayInfo 95,dayInfo 96,weekDay href 22
PSY,Introductory Psychology,PSY100H1-F,Delivery instructions,Note:,"Lectures will be delivered online.  Learning is self-paced and not reliant on a meeting schedule.  Opportunities for synchronous activity with instructors and classmates (e.g., virtual office hours) will be made available, but will not be required.  All course assessments will be conducted online.",Course Description:,"A brief introductory survey of psychology as both a biological and social science. Topics will include physiological, learning, perceptual, motivational, cognitive, developmental, personality, abnormal, and social psychology.",None,Prerequisite:,PSY100Y5/PSYA01Y3/(PSYA01H3 + PSYA02H3),Exclusion:,Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC9901,3.0 hours / week,—,"Waggoner Denton, A.",of  available,2,1500,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBSCT Science Tranfser Degree Program,ASCRSHBSCT Science Tranfser Degree Program,ASPRGHBSCT Science Tranfser Degree Program,,,,,,,,,,
PSY,Introductory Psychology,PSY100H1-S,Delivery instructions,Note:,"Lectures will be delivered online.  Learning is self-paced and not reliant on a meeting schedule.  Opportunities for synchronous activity with instructors and classmates (e.g., virtual office hours) will be made available, but will not be required.  All course assessments will be conducted online.",Course Description:,"A brief introductory survey of psychology as both a biological and social science. Topics will include physiological, learning, perceptual, motivational, cognitive, developmental, personality, abnormal, and social psychology.",None,Prerequisite:,PSY100Y5/PSYA01Y3/(PSYA01H3 + PSYA02H3),Exclusion:,Science,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,Room,LEC9901,3.0 hours / week,—,"Waggoner Denton, A.",of  available,0,1500,Yes: 246 students,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBSCT Science Tranfser Degree Program,ASCRSHBSCT Science Tranfser Degree Program,ASPRGHBSCT Science Tranfser Degree Program,,,,,,,,,,
POL,The Real World of Politics: An Introduction,POL101H1-F,Timetable instructions,Note:,Delivery Method:,Course Description:,"This course introduces students to compelling issues of contemporary politics through the lens of classic and important texts in political science. The course covers the politics of climate change, Indigenous rights, elections and electoral systems, terrorism, social movements and political activism, voting, democracy, and power.",POL101Y1,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,3.0 hours / week,—,"Jung, C.",of  available,10,1140,Yes: 0 student,Asynchronous (See Delivery Instructions.),,,,,,,,,LEC0101,Delivery instructions,Note:,Activity,—,Thursday,—,11:00,12:00,
POL,The Real World of Politics: An Introduction,POL101H1-S,Timetable instructions,Note:,Delivery Method:,Course Description:,"This course introduces students to compelling issues of contemporary politics through the lens of classic and important texts in political science. The course covers the politics of climate change, Indigenous rights, elections and electoral systems, terrorism, social movements and political activism, voting, democracy, and power.",POL101Y1,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Monday,,"Jung, C.",of  available,0,150,Yes: 64 students,In Person (See Delivery Instructions.),,,,,,,,,LEC0101,Delivery instructions,Note:,Activity,—,SS 2118,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510
RLG,Reason and Religion in the Modern Age,RLG101H1-F,,,,Course Description:,"An introduction to critical thinking about religion as it took shape in modern European thought. We examine major thinkers such as Baruch Spinoza, David Hume, Immanuel Kant, Friedrich Nietzsche, Hannah Arendt, and others. Issues covered include freedom of thought, the relationship between religion and politics, belief and truth, rational ethics in relation to religious ethics. We explore how issues addressed by these classical authors remain relevant in today's world.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC0101,Wednesday,,"Goldberg, S.",of  available,13,150,Yes: 0 student,In Person,,,,,,,,,,,,Activity,—,SS 2117,—,13:00,15:00,https://map.utoronto.ca/?id=1809#!m/494510
RLG,"Conspiracies, Social Media, and the Rise of New Religious Movements",RLG104H1-F,Delivery instructions,Note:,"This is an online synchronous course. Lectures and class meetings will be livestreamed to enable real-time contact with the professor and classmates. Lectures will also normally be recorded and available asynchronously, so that registered students can access them on their own time. Tutorials will be held online with synchronous meetings to enable real-time class discussion and contact with the teaching assistant or instructor. Asynchronous tutorial participation will be accessible to students on their own time. Students will have the opportunity for weekly online office hours to ask questions and clarifications about course content and assignments. Students need the ability to view PDFs or PowerPoint slides and to access online library resources and Quercus tools, including Bb Collaborate and Microsoft Teams.",Course Description:,"Conspiracy theories are nothing new, but in the past few years we have all witnessed the meteoric rise of conspiracies such as QAnon via social media, which have taken on the elements of New Religious Movements. This course examines recent examples of new religious movements that might be thought of as “conspiritualities,” that is, conspiracies with strong cult and religious overtones.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC9901,Tuesday,—,"Harris, J.",of  available,18,162,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,,,,Activity,—,,—,10:00,12:00,
POL,Contemporary Challenges to Democracy: Democracy in the Social Media Age,POL106H1-S,Timetable instructions,Note:,Delivery Method:,Course Description:,"This course examines the latest evidence-based research on the effects of social media on democracy. We cover surveillance capitalism, privacy, disinformation, and the often-overlooked ecological implications of data consumption. We also examine targeted digital espionage against civil society, Citizen Lab research reports, and explore solutions and alternatives to social media.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,,,Room,LEC0101,3.0 hours / week,—,"Deibert, R.",of  available,0,900,Yes: 26 students,Asynchronous (See Delivery Instructions.),,,,,,,,,LEC0101,Delivery instructions,Note:,Activity,—,Thursday,—,13:00,14:00,
RLG,Happiness,RLG106H1-S,,,,Course Description:,"Are you happy? Today happiness is a metric by which a growing number of people assess the quality of their lives, with a range of experts offering innumerable life hacks and opportunities to optimize life. But what does it mean to be happy? And how have people tried to achieve this ever-elusive state? Situated squarely within the study of religion, this course considers how different traditions from around the world and for thousands of years have raised similar questions about happiness—not simply for the sake of reflection but also to do something about it. And their answers have varied: fast, meditate, pray, go to the desert, come together, get high, suffer, renounce God, and/or make lots of money. Readings will include selections from social theory and religious texts as well as a few authors who seem to be (against all odds) kind of happy.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC0101,Tuesday,,"O'Neill, K.",of  available,79,350,Yes: 0 student,In Person,,,,,,,,,,,,Activity,—,MC 102,—,13:00,15:00,https://map.utoronto.ca/?id=1809#!m/494474
POL,"What Went Wrong? A Post Mortem of Political Disasters, Catastrophic Policy Failures, and Epic Marches of Folly",POL107H1-F,Timetable instructions,Note:,Delivery Method:,Course Description:,"Why do individuals, groups, and societies make repeated, and often easily predictable mistakes? Why do they persist in courses of action that produce disastrous results? Why is it that in the political world good intentions are insufficient to ensure good results? This course employs the political science analytical toolkit to answer these questions and examines an array avoidable disasters, from the local to the international.","POL486H1 (Topics in International Politics I: What Went Wrong? A Post Mortem of Political Disasters, Policy Failures and Marches of Folly); offered in Winter 2019 and Winter 2020; POL487H1 (Topics in International Politics II: What Went Wrong? A Post Mortem of Political Disasters, Catastrophic Policy Failures); offered in Winter 2018",Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC5101,3.0 hours / week,—,"Gilady, L.",of  available,2,575,Yes: 0 student,Asynchronous (See Delivery Instructions.),,,,,,,,,LEC5101,Delivery instructions,Note:,Activity,—,,,,,
RLG,"""It's the End of the World as We Know It""",RLG107H1-S,,,,Course Description:,"Throughout history, many religious movements have envisioned the end of the world. This course will explore the ways in which different religious movements have prepared for and expected an end time, from fears, symbols, and rituals to failed prophecies and social violence. By examining traditions such as Jewish and Christian apocalyptic texts through to fears of nuclear apocalypse and zombies, the course seeks to understand the ways in which ancient and modern claims of “the end” reflect the aspirations, anxieties, and religious concerns of communities.",Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,,,Room,LEC0101,Wednesday,,"Bugg, L.",of  available,0,150,Yes: 7 students,In Person,,,,,,,,,,,,Activity,—,OI 2212,—,13:00,15:00,https://map.utoronto.ca/?id=1809#!m/494563
