resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay href,weekDay 4,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,weekDay 5,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,colInst 2,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,legendControl 4,legendControl 5,enConDesc 2,headerSect 15,headerSect 16,headerSect 17,headerSect 18,headerSect 19,headerSect 20,headerSect 21,colCode 3,weekDay 6,dayInfo 7,dayInfo 8,dayInfo 9,colInst 3,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,legendControl 6,legendControl 7,enConDesc 3,enConList 3,extraTxt 12,weekDay 7,weekDay href 3,extraTxt 13,alignC,enConList 4
SLA,Elementary Estonian Language and Culture I,EST100H1-F,"Learn essential Estonian vocabulary, basic grammar and develop elementary conversational competence. Popular songs, poetry, and structured dialogue are among the various tools for achieving these objectives. Students will learn commonly used phrases and expressions used in everyday situations, from greeting people to making purchases in stores, and ordering meals in cafes. The course is designed for students with either no fluency or minimum fluency in Estonian.",EST100Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC5101,Monday,—,18:00,20:00,Thursday,—,18:00,20:00,AH 105,https://map.utoronto.ca/?id=1809#!m/494578,AH 105,https://map.utoronto.ca/?id=1809#!m/494578,"Toomsalu, M.",of  available,22,25,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Fundamentals of Management,MGT100H1-F,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Not open to Rotman Commerce students.","RSM100H1, RSM100Y1",Exclusion:,,,,,Room,LEC9901,Tuesday,—,11:00,13:00,,,,,,,,,"Khan, M.",of  available,13,380,Yes: 0 student,Online - Synchronous,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Arts and Science),"(John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Fundamentals of Management,MGT100H1-S,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Not open to Rotman Commerce students.","RSM100H1, RSM100Y1",Exclusion:,,,,,Room,LEC0101,Wednesday,—,09:00,11:00,,,,,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,,,"Khan, M.",of  available,30,380,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Arts and Science),"(John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Introduction to Management,RSM100H1-F,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Enrolment limited to students entering the University with an expressed interest in studying at Rotman Commerce.","MGT100H1, RSM100Y1",Exclusion:,,,,,Room,LEC0201,Wednesday,—,13:00,15:00,Wednesday,—,15:00,17:00,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,OI G162,https://map.utoronto.ca/?id=1809#!m/494563,"Khan, M.",of  available,0,375,Yes: 0 student,In Person,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1 COMMERCE     (Faculty of Arts and Science),Year 1 COMMERCE     (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,"Khan, M.",of  available,21,375,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC9901,Tuesday,—,09:00,11:00,"Khan, M.",of  available,81,260,Yes: 0 student,Online - Synchronous,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1 COMMERCE     (Faculty of Arts and Science),,,,,,
COMPG,Introduction to Management,RSM100H1-S,"Introduction to management and its subdisciplines. Themes include business in a Canadian context, the nature of corporations, corporate governance, organizational behavior, operations, and strategy. Enrolment limited to students entering the University with an expressed interest in studying at Rotman Commerce.","MGT100H1, RSM100Y1",Exclusion:,,,,,Room,LEC0101,Wednesday,—,11:00,13:00,,,,,OI 2212,https://map.utoronto.ca/?id=1809#!m/494563,,,"Khan, M.",of  available,100,100,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1 COMMERCE     (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Elementary Russian I,SLA100H1-F,"Basic features of the grammar. Acquisition of essential vocabulary for practical conversation and for comprehension. Development of reading and writing skills. (May not be taken by students who, in the judgment of the Department, qualify for entry into SLA210H1 or SLA220Y1).",native speakers of Russian and heritage speakers of Russian (unless permitted by the instructor).,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0102,Monday,—,10:00,12:00,Wednesday,—,10:00,12:00,OI 3310,https://map.utoronto.ca/?id=1809#!m/494563,OI 3310,https://map.utoronto.ca/?id=1809#!m/494563,"Aulen, A.",of  available,3,25,Yes: 0 student,In Person (See Delivery Instructions.),—,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,"Aulen, A.",of  available,1,33,Yes: 0 student,In Person (See Delivery Instructions.),,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC9901,Thursday,—,10:00,11:00,"Boyer, B.",of  available,0,25,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,LEC9901: Online delivery. Synchronous classes will be recorded and available for students after each class as a review.  Students need a personal computer with a microphone and a web camera in order to participate in online activities. Stable high speed internet connection is recommended.,OI 3310,https://map.utoronto.ca/?id=1809#!m/494563,,,
SLA,Elementary Estonian Language and Culture II,EST101H1-S,"This course expands the student’s command of Estonian from the introductory level. The course will consist of themed sessions using language for travel in Estonia, savouring the language of Estonian cuisine, and the lyrics of popular, folk and classical Estonian music. These themed sessions will also enable students to better understand the proper inflections of nouns and tenses of verbs in both dialogue and written exercises. This course is open to students with minimum fluency in Estonian.",EST100H1 / Permission of instructor,Prerequisite:,EST100Y1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC5101,Monday,—,18:00,20:00,Thursday,—,18:00,20:00,AH 302,https://map.utoronto.ca/?id=1809#!m/494578,AH 302,https://map.utoronto.ca/?id=1809#!m/494578,"Toomsalu, M.",of  available,23,25,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,,
SLA,Elementary Russian II,SLA101H1-S,"Basic features of the grammar. Acquisition of essential vocabulary for practical conversation and for comprehension. Development of reading and writing skills. (May not be taken by students who, in the judgment of the Department, qualify for entry into SLA210H1 or SLA220Y1).",SLA100H1 or permission of instructor,Prerequisite:,native speakers of Russian and heritage speakers of Russian (unless permitted by the instructor).,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,10:00,12:00,Wednesday,—,10:00,12:00,TF 102,https://map.utoronto.ca/?id=1809#!m/494581,TF 102,https://map.utoronto.ca/?id=1809#!m/494581,"Khometa, O.",of  available,14,33,Yes: 0 student,In Person,,,,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,"Boyer, B.",of  available,13,33,Yes: 0 student,In Person,,,,,,,,,,,,Friday,—,10:00,11:00,,,,,,,,,,,Creative and Cultural Representations (1),TF 102,https://map.utoronto.ca/?id=1809#!m/494581,Breadth Requirement:,,
SLA,Slavic Civilizations,SLA103H1-F,"A survey of Slavic civilizations through literature, art, architecture, and film. Key moments in the development of the cultures of Slavic countries are examined in a comparative framework, juxtaposing the varied historical, cultural, linguistic, religious, social, and political developments of the countries involved. Taught in English, all readings in English.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC9901,Tuesday,—,12:00,14:00,,,,,,,,,"Obradovic, D.",of  available,44,100,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Cities of the Mediterranean,SLA104H1-S,"This course examines the cultural history of Mediterranean ports and cities, with particular emphasis on Croatian cities in dialogue with cities in Italy and Greece, through works of art, architecture, and literature. Readings in English.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Monday,—,14:00,16:00,,,,,AH 107,https://map.utoronto.ca/?id=1809#!m/494578,,,,of  available,6,50,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,
