resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt 5,extraTxt 6,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,extraTxt 15,extraTxt 16,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,colInst 2,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,headerSect 8,headerSect 9,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,weekDay 3,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 4,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,enConList 6,weekDay 5,weekDay 6,enConList 7,enConList 8,enConList 9,enConList 10,alignC,weekDay href,weekDay href 2
CSB,Molecular and Cell Biology,BIO130H1-S,Timetable instructions,Note:,"Please refer to the BIO130 description on the Undergraduate course section of the CSB website at http://csb.utoronto.ca for more information on labs. Laboratory enrolment can be done on ACORN until Friday, January 7th. Late lab enrolment or lab changes must be done by contacting the BIO130H1 Office at bio130@utoronto.ca starting January 10th until January 14th. If you plan to take BIO130H1S and any other course with labs on the same day in alternating weeks, please check the dates of all labs in the corresponding cycles in both courses.",Note:,Mid-terms and the final exam will be in-person with scheduled dates to be announced,Laboratory sections (PRA) meet in-person on alternate weeks.,"One of the goals of modern biology is to understand how the basic building blocks of life give rise to biological form and function. This course provides students with a common lexicon to understand the key principles and concepts in molecular and cell biology, with a focus on how the building blocks of life lead to functioning cells. (Lab Materials Fee: $10). Lab coat and safety glasses are required for use in laboratories; students are responsible for purchasing these items (approximate cost is $25).",SBI4U and SCH4U (Grade 12 University Preparation Biology and Chemistry) or permission of department. Please contact bio130@utoronto.ca for more information.,Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Thursday,—,10:00,12:00,—,"Goring, D.","Neumann, M.",0,1314,Yes: 218 students,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 COMPUTER SCIENCE     (Faculty of Arts and Science),Year 1 SCIENCE     (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program,ASCRSHBSCT Science Tranfser Degree Program,ASPRGHBSCT Science Tranfser Degree Program,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC2000,Thursday,—,10:00,12:00,—,of  available,4,10,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),(Transitional Year Programme),Thursday,—,(Faculty of Kinesiology and Physical Education),Year 1 COMPUTER SCIENCE     (Faculty of Arts and Science),Year 1 SCIENCE     (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program,—,,
CSB,"Genes, Genomes and Us",CSB196H1-S,,,,,,,"With the completion of the human genome sequence, we now have access to more information than ever before about our genetic make-up. This course addresses topics such as what are genes, how are they identified and how does knowledge about genes impact society. Students will learn basic concepts in genetics. Using this conceptual foundation, the significance of genomic research for understanding human biology, and the social consequences that may result from it, will be discussed. Evaluation is based on class discussions, homework, oral presentation and written assignments. Restricted to first-year students. Not eligible for CR/NCR option.",Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Thursday,—,14:00,16:00,SK 218,"Ringuette, M.",,0,25,Yes: 14 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 1    Innis College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494564,
CSB,Human Viruses,CSB197H1-S,,,,,,,"This course allows students to broaden their knowledge about the most important human viruses and prions. In essence, what viruses are, what they do, what are the diseases caused by viruses and how they are transmitted, etc., and what can be done about them (vaccines, antiviral treatments, etc.). Viruses cause many diseases ranging from a benign rash to severe hemorrhages and death. Each student will select a specific topic in Virology and write an essay and present a seminar for the rest of the class. Major ""hot"" problems in Virology from pandemics to controversial vaccines will also be discussed. Two tests covering all materials presented by all the students' seminars will be conducted. Restricted to first-year students. Not eligible for CR/NCR option.",Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Monday,—,10:00,12:00,ES 4000,"AbouHaidar, M.",,0,25,Yes: 18 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494499,
CSB,Biotechnology and Society,CSB199H1-F,,,,,,,"From the manipulation of genes of plants for improved food production through to human tissue engineering and stem cell research, biotechnology is increasingly playing a major role in our world. Society, however, is often challenged by the rapid advances in our knowledge in these areas, and how to best apply these technologies in a manner that is socially responsible and economically viable. In this seminar course, students will research and describe various applications of biotechnology using information obtained from reputable sources, and lead discussions on the benefits and concerns that arise from this research. Restricted to first-year students. Not eligible for CR/NCR option.",Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,11:00,13:00,ES 3087,"Berleth, T.","Coleman, J.",0,25,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,Monday,—,18:00,20:00,ES B149,of  available,1,25,Yes: 0 student,In Person,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494499,https://map.utoronto.ca/?id=1809#!m/494499
CSB,"Molecular Biology, Biotechnology and You",CSB201H1-F,Delivery instructions,Note:,LEC0101 may require attendance at a specific time and location for the final exam or final assessment (subject to adjustments imposed by public health requirements). Attendance at a specific time or location is not required for any other activities.,,,,"An online course intended to provide non-science students with an understanding of basic concepts in molecular biology and genetics, with particular emphasis on humans. Students will work online in groups on problem sets. The course will end with an introduction to biotechnology, including an opportunity for students to use their new knowledge to explore a real, multi-dimensional problem (e.g., cancer). Lectures will be delivered via the web and mandatory tutorials will require live webinar participation. The final exam will require attendance on the St. George campus. This course does not count towards CSB programs.","BIO130H1, BIO230H1, BIO255H1",Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,2.0 hours / week,,,,—,"Neumann, M.","Yip, K.",5,96,Yes: 0 student,Asynchronous (See Delivery Instructions.),,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT9901,—,,,,—,of  available,4,24,No,Online - Synchronous (See Delivery Instructions.),,—,Thursday,,,,,—,,
CSB,Further Exploration in Biotechnology,CSB202H1-S,,,,,,,"Provides non-science students with an additional opportunity to explore biotechnology and its applications in agriculture, the environment, and human health including: genetically modified organisms, drug discovery and aging. Most lectures are viewed online before class and students work in groups during class on problem sets and case studies designed to stimulate further learning, enhance evidence-based reasoning, and promote reflection on the role of biotechnology in society. This course does not count towards CSB programs. CSB201H1 is not a prerequisite for this course.","BIO230H1, BIO255H1",Exclusion:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,Room,LEC0101,Monday,—,13:00,14:00,WI 524,"Yip, K.",,0,40,Yes: 0 student,In Person,,,,,,,,,,,,,,,,Thursday,—,13:00,14:00,WI 524,,,,,,,Thursday,,,,,,,https://map.utoronto.ca/?id=1809#!m/494503,https://map.utoronto.ca/?id=1809#!m/494503
BCH,"Biochemistry I: Proteins, Lipids and Metabolism",BCH210H1-F,Delivery instructions,Note:,"Online - Asynchronous: Lectures will be delivered asynchronously online. 10% of the assessments will be for tutorial participation, which will be delivered synchronously online and recorded for later asynchronous viewing; 65% of the assessments will be ""take-home"" assessments submitted at various way points throughout the course. 25% of the assessments will take the form of online questions and quizzes that will be completed on a weekly basis throughout the term. Students need access to Quercus and the ability to use Blackboard Collaborate. The detailed course schedule and assessment breakdown will be provided on Quercus.",,The Physical and Mathematical Universes (5),Breadth Requirement:,"This introductory course in biochemistry will cover the fundamentals of proteins, enzymes, biological membranes and the metabolism of carbohydrates and lipids for energy production. This course is intended for students who are NOT taking BCH242Y1 as part of their program.","Successful completion of (CHM135H1, CHM136H1)/CHM151Y1  NOTE: CHM1** with COURSE EXCLUSION TO CHM135H1 AND CHM136H1 meet the Prerequisite requirement for BCH210H1. Students with a SDF in CHM135H1/CHM136H1 are not permitted to enrol in BCH210H1 until a final passing grade (50%) appears on the transcript. UTM students who have completed CHM110H5 (exclusion to CHM135H1) & CHM242H5 (exclusion to CHM136H1) will be permitted to enrol in BCH210H1. UTSC students who have completed CHMA11H3 (exclusion to CHM135H1) & CHMB41H3 (exclusion to CHM136H1) will be permitted to enrol in BCH210H1.",Prerequisite:,"BCH242Y1, [CHM361H5(UTM) and CHM362H5(UTM)], [BIOC12H3(UTSC) and BIOC13H3(UTSC)], CHMB62H3(UTSC)",Exclusion:,Science,Distribution Requirement:,Room,LEC9901,4.0 hours / week,,,,—,"Patterson, S.",,265,1400,Yes: 0 student,Asynchronous (See Delivery Instructions.),,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,—,,,,—,of  available,52,350,No,Online - Synchronous (See Delivery Instructions.),,—,Thursday,,,,,—,,
CSB,From Genes to Organisms,BIO230H1-F,Timetable instructions,Note:,"Practical sections (PRA) meet in alternate weeks: practical meeting section numbers that end with 1 will be taking place on the weeks of: September 20th, October 4th, October 18th, November 1st, and November 22nd. Practical meeting section numbers that end with 2 will be taking place on the weeks of: September 27th, October 11th, October 25th, November 15th, and November 29th. Check Quercus for more information. Laboratory enrolment can be done on ACORN until the evening of Friday, September 10th. Late lab enrolment or lab changes must be done by emailing the BIO230H1 Office at bio230@utoronto.ca starting September 13th until September 17th. For your BIO230H1 laboratory sessions, if you plan to take any other course laboratory on the same day in alternating weeks, check the dates of all labs in the corresponding cycles in both courses.",Note:,Living Things and Their Environment (4),Breadth Requirement:,"The genome is the ""book of life,"" providing instructions to construct an organism. This course introduces genome biology and explores how the building blocks of life are networked into functioning organisms. We will investigate how cells perceive internal and external cues, how gene expression is shaped by this perception, and how these events give rise to tissues, organs, and whole organisms. (Lab Materials Fee: $15). Lab coat and safety glasses are required for use in laboratories; students are responsible for purchasing these items (approximate cost is $25).","BIO130H1, (CHM135H1, CHM136H1)/(CHM138H1, CHM139H1)/CHM151Y1",Prerequisite:,BIO255H1,Exclusion:,Science,Distribution Requirement:,Room,LEC9901,Tuesday,—,12:00,14:00,—,"McFarlane, H.","Yip, K.",15,1015,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC9902,Thursday,—,13:00,14:00,—,of  available,0,350,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),,Tuesday,—,,,,,—,,
BCH,Introduction to Biochemistry,BCH242Y1-Y,,,,Breadth Requirement:,"Living Things and Their Environment (4), The Physical and Mathematical Universes (5)",Distribution Requirement:,"This introductory course in biochemistry will serve as the foundation for upper-level BCH courses taken by students specializing in biochemistry and related specialist programs. The major topics include protein structure, enzyme mechanisms and function, gene expression, lipid and membrane structure and function, and the metabolism of carbohydrates, lipids and amino acids for energy production. Laboratory techniques will also be introduced to understand the role of biochemistry for research. Please note that there are five laboratories accompanying this course.","(CHM135H1, CHM136H1)/CHM151Y1",(Lab fees:$10),"BCH210H1 and BCH311H1,  [CHM361H5(UTM) and CHM362H5(UTM)], [BIOC12H3 (UTSC) and BIOC13H3 (UTSC)], CHMB62H3(UTSC)",Prerequisite:,Science,Exclusion:,,LEC0101,Monday,—,10:00,11:00,MS 4279,"Maxwell, K.","Patterson, S.",12,80,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,MOLECULAR GENETICS AND MICROBIOLOGY  Department of Molecular Genetics  Specialist (Faculty of Arts and Science),ASSPE1002 SP IMMUNOLOGY,ASSPE1762 SP BIOCHEMISTRY,ASSPE1868 SP BIOINFO & COMPUT BIOLOGY,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Wednesday,—,09:00,12:00,MS 4279,,,,,,,Friday,MS 4279,,,,,—,https://map.utoronto.ca/?id=1809#!m/494491,https://map.utoronto.ca/?id=1809#!m/494491
CSB,Concepts in Genetics,BIO260H1-S,Timetable instructions,Note:,"<p> Tutorial enrolment can be done on ACORN until Wednesday, January 5th. For late tutorial enrolment or changes, please email Nalini Dominique at nalini.dominique@utoronto.ca before Friday January 7th.</p>",,Living Things and Their Environment (4),Breadth Requirement:,"This is a problem based course which discusses classical, molecular, developmental, and population genetics and genomics with emphasis on model organisms for genetic analysis.",BIO230H1/BIO255H1,Prerequisite:,HMB265H1,Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,10:00,11:00,MC 102,"Guttman, D.","McCourt, P.",3,300,Yes: 0 student,In Person,,,,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Wednesday,—,10:00,11:00,MC 102,of  available,0,40,No,In Person,,Friday,Wednesday,,,,,—,https://map.utoronto.ca/?id=1809#!m/494474,https://map.utoronto.ca/?id=1809#!m/494474
