resultDept,pbot15,hiCC,extraTxt,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,headerSect 3,colCode,weekDay,weekDay 2,colInst,numCurr,numTot,numWait,onlineMeeting,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 8,alignC,dayInfo 20,dayInfo 21,weekDay href 7,extraTxt 13,extraTxt 14,extraTxt 15,extraTxt 16,colTitle
SOC,Introduction to Sociology I: Sociological Perspectives,SOC100H1-F,Note:,"This course will challenge your views on a wide range of issues that affect us all. It will also excite your interest in a unique sociological way of understanding your world. We will analyze the globalization of culture, emerging patterns of class, race, and gender inequality in Canada and internationally, criminal and deviant behaviour, and so on. You will learn to understand these and other pressing social issues by analyzing the way the social world is organized. These topics are further taken up in the sequel to this course, SOC150: Introduction to Sociology II: Sociological Inquiries.","SOC101Y1, SOC102H1, SOC103H1, SOCA01H3, SOCA02H3; SOC100H5",Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,2.0 hours / week,—,"Brym, R.",13,1502,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,Activity,—,16:00,17:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,
SOC,Introduction to Sociology I: Sociological Perspectives,SOC100H1-S,Note:,"This course will challenge your views on a wide range of issues that affect us all. It will also excite your interest in a unique sociological way of understanding your world. We will analyze the globalization of culture, emerging patterns of class, race, and gender inequality in Canada and internationally, criminal and deviant behaviour, and so on. You will learn to understand these and other pressing social issues by analyzing the way the social world is organized. These topics are further taken up in the sequel to this course, SOC150: Introduction to Sociology II: Sociological Inquiries.","SOC101Y1, SOC102H1, SOC103H1, SOCA01H3, SOCA02H3; SOC100H5",Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,2.0 hours / week,—,"Tepperman, L.",1,650,Yes: 0 student,Asynchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,Activity,—,16:00,17:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,
SAS,Introduction to South Asian Studies,SAS114H1-F,,"An interdisciplinary introduction to South Asian Studies emphasizing inquiry and critical analysis, drawing attention to the specificities of individual nations as well as the factors (historical, political, economic and cultural) that define South Asia as a region. Some attention will be paid to the South Asian Diaspora.","NEW114Y1, SAS114Y1",Exclusion:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,SS 2108,"Acharya, P.",30,50,Yes: 0 student,In Person,,,,,,,,,,12:00,14:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,
SOC,Introduction to Sociology II: Sociological Inquiries,SOC150H1-S,Note:,"In the sequel to SOC100H1: Introduction to Sociology I: Sociological Perspectives, this course will explore in more depth the topic of social inequality and the contemporary debates that animate sociology. We may like to think of ourselves as perfectly free but powerful social forces open up some opportunities and close off others, constraining our freedom and helping to make us what we are. By examining the operation of these social forces, sociology can help us know ourselves. The course is also about skills-building, skills useful not only for success at U of T, but beyond the walls of the university.",SOC100H1,Prerequisite:,"SOC101Y, (SOC102H + SOC103H); SOC200H1, SOC200Y1, SOCB05H3, SOC221H5, SOC200Y5",Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,2.0 hours / week,—,"McIvor, M.",11,900,Yes: 0 student,Asynchronous,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,ASPRGHBA T Arts Transfer Degree Program,Activity,—,10:00,11:00,https://map.utoronto.ca/?id=1809#!m/494510,Society and its Institutions (3),Breadth Requirement:,,,
SOC,Global Cities and Urban Refugees: Connecting South and North,SOC196H1-F,,"The majority of refugees and asylum seekers today live in cities, above all, in the Global South. This course will introduce and critically assess key theories and concepts on forced migration in relation to cities from a global perspective. By drawing on a wide range of literature and case studies from around the world, the course will explore and compare cities across the Global South and North around questions of law, governance, and politics related to urban refugees and asylum seekers. Restricted to first-year students. Not eligible for CR/NCR option.",None,Prerequisite:,Social Science,Distribution Requirement:,,,Room,LEC0101,Tuesday,IN 204,"Johnson, J.",4,30,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 1    Innis College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),,,,,11:00,13:00,https://map.utoronto.ca/?id=1809#!m/494541,,,,,
SOC,"Future “Agents” & Social Relations: Considering Sociology in a World of Robots, Cyborgs, Bioengineered Agents & Tools",SOC197H1-F,,"Some people are worried that we risk becoming less human if we allow ourselves or others to engage is widespread self-transformation through the insertion of some kinds of devices into human bodies (e.g., computers, becoming cyborgs) or as a result of interventions such as genetic engineering , etc. Others are concerned that the use of some technologies, or barriers to their use, will increase global inequalities. In this course we will read, talk, and write about these and related issues. We will take a sociological approach, which means that we will attend to contextual forces that shape practices, and material flows, and the meaning of objects. Students will present their final paper in class. Restricted to first-year students. Not available for CR/NCR option.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Monday,SS 1088,"Magee, W.",7,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,,,,,
SOC,The Social Networks of Students,SOC198H1-F,,"This course is a First-Year Foundation Seminar and provides an opportunity for exploration of different topics and themes. Social networks are the webs of connections between people, the mesh that weaves people into communities and societies. In this course, you will learn about social networks by examining the ones around you: what do student's social networks look like? How do they change from high school, to university, and beyond? You will learn, first hand, how researchers study social networks, and how we work to understand their association with important outcomes like academic achievement, graduation, job-finding, and more. Restricted to first-year students. Not available for CR/NCR option.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Thursday,NF 006,"Tepperman, L.",1,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494600,,,,,
SOC,Classical Sociological Theory,SOC201H1-F,,"Introduction to the history, nature, and role of sociological theory, through an examination of the works of key classical theorists such as Karl Marx, Max Weber, Emile Durkheim, Georg Simmel, and others. Restricted to sociology majors and specialists.",SOC100H1+ SOC150H1,Prerequisite:,"SOC203H1, SOC231H5, SOCB42H3",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Wednesday,RW 110,"Guzman, C.",4,106,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,Activity,,14:00,17:00,https://map.utoronto.ca/?id=1809#!m/494515,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Classical Sociological Theory,SOC201H1-S,,"Introduction to the history, nature, and role of sociological theory, through an examination of the works of key classical theorists such as Karl Marx, Max Weber, Emile Durkheim, Georg Simmel, and others. Restricted to sociology majors and specialists.",SOC100H1+ SOC150H1,Prerequisite:,"SOC203H1, SOC231H5, SOCB42H3",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC5101,Thursday,SS 1070,,44,70,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,,—,18:00,21:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
SOC,Introduction to Quantitative Methods in Sociology,SOC202H1-F,Note:,Introduction in quantitative social science research from descriptive statistics to hypothesis testing using various strategies for the analysis of bivariate relationships. Restricted to sociology majors and specialists.,SOC100H1+ SOC150H1,Prerequisite:,"SOC200Y5, SOC222H5, ECO220Y1, ECO227Y1, GGR270H1, PSY201H1, STA220H1, STA248H1, POL222H1, POL232H1, POL242Y1, POL322H1, STA288H1",Exclusion:,SOC150H1,Recommended Preparation:,Room,LEC0101,Monday,SS 1071,"Dokshin, F.",34,100,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,ASMAJ1013 MA SOCIOLOGY,ASSPE1013 SP SOCIOLOGY,ASSPE1536 SP IND REL & HUM RES,ASSPE2085 SP HEALTH STUDIES,Activity,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494510,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,
