resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,headerSect 8,weekDay 3,weekDay 4,alignC,weekDay 10,alignC 4,weekDay 18,extraTxt 11,extraTxt 12,weekDay href,extraTxt 13,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,dayInfo 28,dayInfo 29,dayInfo 30,weekDay href 4
SMC,Introduction to Book & Media Studies,BMS100H1-F,Delivery instructions,Note:,"Lectures and tutorials will be delivered online per the meeting schedule. Students are expected to attend online lectures and participate in active learning activities. Lectures will be also recorded and shared on Quercus for students to review on their own time. Slides and other learning materials, such as weekly readings and case studies will be posted on Quercus.","Introduces the academic study of media in all its forms, including books and print media as well as modern electronic and digital media. Provides an overview of key theories of media, culture, and society and relates them to contemporary issues, enabling students to apply different critical approaches to their everyday experiences with media.",SMC219Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Wednesday,—,10:00,12:00,—,"Granata, P.",of  available,3,200,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Thursday,—,—,—,—,—,,,,,,,,,,,,,
SMC,Introduction to Book & Media Studies,BMS100H1-S,Delivery instructions,Note:,"Lectures and tutorials will be delivered online per the meeting schedule. Students are expected to attend online lectures and participate in active learning activities. Lectures will be also recorded and shared on Quercus for students to review on their own time. Slides and other learning materials, such as weekly readings and case studies will be posted on Quercus.","Introduces the academic study of media in all its forms, including books and print media as well as modern electronic and digital media. Provides an overview of key theories of media, culture, and society and relates them to contemporary issues, enabling students to apply different critical approaches to their everyday experiences with media.",SMC219Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC9901,Wednesday,—,10:00,12:00,—,"Granata, P.",of  available,0,200,Yes: 21 students,Online - Synchronous (See Delivery Instructions.),Activity,Thursday,—,—,—,—,—,,,,,,,,,,,,,
SPA,Portuguese for Beginners,PRT100Y1-Y,Delivery instructions,Note:,It is recommended that students have a computer with a microphone and camera in order to participate in online activities.,"An intensive basic course in spoken and written Portuguese for students who have no knowledge of this language or advanced Spanish. It aims to give students a basic knowledge of reading, listening, spoken and written skills in a dynamic and communicative way. Presentation of cultural aspects of the Portuguese-speaking world.",No previous knowledge of Portuguese or advanced Spanish.,Prerequisite:,"PRT110Y1, PRT120Y1, PRT219Y1, PRT220Y1, PRT320Y1, PRT420H1, PRT420Y1",Exclusion:,Humanities,Distribution Requirement:,,LEC0101,Monday,—,13:00,15:00,—,"de Almeida Graca, L.",of  available,12,60,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Wednesday,—,—,NF 332,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494600,,,,,,,,,,
SPA,Spanish for Beginners,SPA100Y1-Y,Timetable instructions,Note:,Students MUST enrol in a tutorial section according to their lecture. Students who enrol in a tutorial that does not correspond with their lecture WILL be moved.,"Introduction to the Spanish language for beginning students; overview of basic grammatical structures, development of vocabulary and oral and written expression. Not eligible for CR/NCR option.","No previous knowledge of Spanish, or placement test results.",Prerequisite:,"SPA120Y1, SPA219Y1, SPA319Y1, SPA220Y1, SPA320Y1, SPA420H1",Exclusion:,Humanities,Distribution Requirement:,Activity,LEC0201,Monday,—,11:00,13:00,—,"Jambrovic, S.",of  available,2,75,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Wednesday,—,—,NF 007,—,Tuesday,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494600,"For LEC9901, enrol in TUT0101, TUT0102 or TUT0103.For LEC0201, enrol in TUT0201, TUT0202 or TUT0203.For LEC0301, enrol in TUT0301, TUT0302 or TUT0303.For LEC0401, enrol in TUT0401, TUT0402 or TUT0403.For LEC5101, enrol in TUT5101, TUT5102 or TUT5103.For LEC5102, enrol in TUT5104, TUT5105 or TUT5106.For LEC5201, enrol in TUT5201, TUT5202 or TUT5203.For LEC9902, enrol in TUT5204, TUT5205 or TUT5206.",Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),AS   HBA T Arts Transfer Degree Program,—,10:00,12:00,https://map.utoronto.ca/?id=1809#!m/494602
STAT,An Introduction to Statistical Reasoning and Data Science,STA130H1-F,Delivery instructions,Note:,This course will be offered completely online.,"This course, intended for students considering a program in Statistical Sciences, discusses the crucial role played by statistical reasoning in solving challenging problems from natural science, social science, technology, health care, and public policy, using a combination of logical thinking, mathematics, computer simulation, and oral and written discussion and analysis.",MAT135H1/MAT136H1/MAT137Y1/MAT157Y1. Strongly recommended: CSC108H1/CSC110Y1/CSC120H1/CSC148H1,Corequisite:,Any of STA220H1/ STA255H1/ STA238H1/ STA248H1/ STA261H1/ ECO220Y1/ ECO227Y1/ STAB22H3/ STA220H5/ STAB57H3/ STA258H5/ STA260H5/ ECO220Y5/ ECO227Y5/ STAA57H3 taken previously or concurrently,Exclusion:,Science,Distribution Requirement:,Room,LEC9901,Monday,—,10:00,12:00,—,"Caetano, S.",of  available,2,288,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Friday,—,—,,,Monday,The Physical and Mathematical Universes (5),Breadth Requirement:,,"Lectures and tutorials will be delivered online for at least some, if not all, of the scheduled meeting times. Details about the online course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.",Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",—,14:00,16:00,
STAT,An Introduction to Statistical Reasoning and Data Science,STA130H1-S,Delivery instructions,Note:,This course will be offered completely online.,"This course, intended for students considering a program in Statistical Sciences, discusses the crucial role played by statistical reasoning in solving challenging problems from natural science, social science, technology, health care, and public policy, using a combination of logical thinking, mathematics, computer simulation, and oral and written discussion and analysis.",MAT135H1/MAT136H1/MAT137Y1/MAT157Y1. Strongly recommended: CSC108H1/CSC110Y1/CSC120H1/CSC148H1,Corequisite:,Any of STA220H1/ STA255H1/ STA238H1/ STA248H1/ STA261H1/ ECO220Y1/ ECO227Y1/ STAB22H3/ STA220H5/ STAB57H3/ STA258H5/ STA260H5/ ECO220Y5/ ECO227Y5/ STAA57H3 taken previously or concurrently,Exclusion:,Science,Distribution Requirement:,Room,LEC9901,Monday,—,10:00,12:00,—,"Caetano, S.",of  available,10,288,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Activity,Friday,—,—,,—,Monday,The Physical and Mathematical Universes (5),Breadth Requirement:,,"Lectures and tutorials will be delivered online for at least some, if not all, of the scheduled meeting times. Details about the online course meeting schedule, as well as other course activities and assessments, will be communicated in the course syllabus and/or on Quercus.",Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",—,14:00,16:00,
SMC,Introduction to the Irish Language,CLT141Y1-Y,,,,"This course in Modern Irish Language is designed for learners with no prior knowledge of the language. The course is intended to introduce students to and provide practice in the four language skills: listening, speaking, reading and writing.",SMC141Y1,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,LEC0101,Monday,—,12:00,14:00,CR 106,"SHEEHAN, P.",of  available,4,15,Yes: 0 student,In Person,Activity,Wednesday,CR 106,—,CR 405,,,,,https://map.utoronto.ca/?id=1809#!m/494580,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494580
SMC,SMC One: The McLuhan Seminar in Creativity and Technology,SMC155H1-S,Timetable instructions,Note:,This course is only open to first year students admitted to the McLuhan Seminar. The application can be found here: https://form.jotform.com/210184712279253,"This seminar is an interdisciplinary exploration of the relationship between creativity and technology. Inspired by the innovative thinking of Marshall McLuhan, it explores how the humanities relate to other fields of thought and research in addressing the individual, social and cultural experiences and effects of technological innovation. This course includes a mandatory travel component opportunity to Silicon Valley, California. Restricted to first-year students. Not eligible for CR/NCR option. (An ancillary fee of $1,000 is required to help cover some of the travel costs.)",Admission to SMC One,Prerequisite:,"Innis One, Munk One, New One, Trinity One, Vic One, UC One, Woodsworth One, SMC165H1, SMC188H1, SMC189H1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Friday,—,10:00,12:00,CR 106,"Granata, P.",of  available,0,20,No,In Person,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,For more information https://stmikes.utoronto.ca/program/smc-one-mcluhan-seminar,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
SMC,SMC One: The Boyle Seminar in Scripts and Stories,SMC165H1-F,Timetable instructions,Note:,This course is only open to first year students admitted to the Boyle Seminar. The application can be found here: https://form.jotform.com/210184712279253,"This seminar introduces students to university-level studies through an interdisciplinary exploration of Celtic influences in the mediaeval world, with a particular focus on early books and historical artifacts as physical objects and bearers of meaning. Students will learn how to read and analyse these books and artifacts to decode their meanings, and, in support of that, take introductory language instruction in Latin or Irish. Subjects discussed will include intercultural encounter and dialogue, research methods with historical sources, and the relationship between the written word and lived experience, then and now. There is a co-curricular travel opportunity to Dublin, Ireland associated with this course which takes place following the Winter term exam period. Restricted to first-year students. Not eligible for CR/NCR option. (If you choose to go on the trip to Ireland, an ancillary fee of $1,000 is required to help cover some of the travel costs.)",Admission to SMC One,Prerequisite:,"Innis One, Munk One, New One, Trinity One, Vic One, UC One, Woodsworth One, SMC155H1, SMC188H1, SMC189H1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,CR 106,"More, A.",of  available,3,20,No,In Person,Activity,Wednesday,,—,,,,Creative and Cultural Representations (1),Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,For more information https://stmikes.utoronto.ca/program/smc-one-boyle-seminar,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
SMC,SMC One: The Gilson Seminar in Faith and Ideas,SMC188H1-F,Timetable instructions,Note:,This course is only open to first year students admitted to the Gilson Seminar. The application can be found here: https://form.jotform.com/210184712279253,"This seminar is an interdisciplinary exploration of leading scholarly, intellectual and public questions related to ecology, science, literature, and public life. From a variety of perspectives, the seminar considers how religion, and how different kinds of religious experience, figure in the broader context of human affairs. Restricted to first-year students. Not eligible for CR/NCR option.",Admission to SMC One,Prerequisite:,"Innis One, Munk One, New One, Trinity One, Vic One, UC One, Woodsworth One, SMC155H1, SMC165H1, SMC188Y1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,CR 403,"Boyagoda, R.",of  available,10,25,No,In Person,Activity,Wednesday,,—,,,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,https://map.utoronto.ca/?id=1809#!m/494580,For more information https://stmikes.utoronto.ca/program/smc-one-gilson-seminar/,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,
