resultDept,pbot15,hiCC,colSectionLocRoomTitle,colSectionLocRooms,colSectionLocRooms 2,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,weekDay 3,alignC,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,extraTxt,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,headerSect 7,colInst,enConList,enConList 2,enConList 3,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 13,extraTxt 14
VIC,Vic One Plenary,VIC001Y1-Y,Room,1st Term,2nd Term,LEC0101,Wednesday,—,16:00,17:00,BT 101,https://map.utoronto.ca/?id=1809#!m/494605,BT 101,—,of  available,62,300,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,
UC,Discovering Global Health,PHS100H1-S,,,,LEC0101,Thursday,—,16:00,18:00,UC 179,https://map.utoronto.ca/?id=1809#!m/494517,,,of  available,0,90,Yes: 12 students,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course introduces students to basic public health-related concepts, significant aspects of the historical development of global health, and a selection of topics illustrating the broad and evolving nature of this field. In addition, it helps students explore the contributions that various disciplines/fields offer to global health.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,"Cortinois, A.",Group 1: Year 1      (Faculty of Arts and Science),"Group 1: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",Group 2: Year 1      (University of Toronto Mississauga),,,,,,,
UC,Citizenship in the Canadian City,UNI101H1-F,,,,LEC0101,Thursday,—,10:00,13:00,UC 52,https://map.utoronto.ca/?id=1809#!m/494517,,,of  available,13,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Course Description:,"Who belongs? Who governs? Who decides? In this course, you will examine the concepts of citizenship, public space, political membership, civic responsibility, and belonging. You will address topics such as Indigenous sovereignty claims, urban multiculturalism, public housing, and greening the city. Restricted to first-year students. Not eligible for CR/NCR option.","Innis One, Munk One, New One, St. Mike's One, Trinity One, Vic One, Woodsworth One",Exclusion:,Social Science,Distribution Requirement:,Room,"Micallef, S.",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,Note:,"Enrolment for Fall/Winter will open during regular course selection periods. For enquiries about the UC One program, please contact uc.one@utoronto.ca or 416-946-4025.",Society and its Institutions (3),Breadth Requirement:,,,
UC,Citizenship in the Canadian City,UNI101H1-S,,,,LEC0101,Thursday,—,10:00,13:00,UC 85,https://map.utoronto.ca/?id=1809#!m/494517,,,of  available,17,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Course Description:,"Who belongs? Who governs? Who decides? In this course, you will examine the concepts of citizenship, public space, political membership, civic responsibility, and belonging. You will address topics such as Indigenous sovereignty claims, urban multiculturalism, public housing, and greening the city. Restricted to first-year students. Not eligible for CR/NCR option.","Innis One, Munk One, New One, St. Mike's One, Trinity One, Vic One, Woodsworth One",Exclusion:,Social Science,Distribution Requirement:,Room,"Micallef, S.",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,Note:,"Enrolment for Fall/Winter will open during regular course selection periods. For enquiries about the UC One program, please contact uc.one@utoronto.ca or 416-946-4025.",Society and its Institutions (3),Breadth Requirement:,,,
UC,Performing the City I,UNI102H1-F,,,,LEC0101,Thursday,—,10:00,13:00,UC 330,https://map.utoronto.ca/?id=1809#!m/494517,,,of  available,19,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Course Description:,"In this course we learn about different practices of performative engagement with the city and experiment with them through exercises and creative activities. The goal is to gain, through this mode of embodied engagement with the city, a critical understanding of urban space as a diverse social, cultural, and physical environment. Restricted to first-year students. Not eligible for CR/NCR option.","Innis One, Munk One, New One, St. Mike's One, Trinity One, Vic One, Woodsworth One",Exclusion:,Humanities,Distribution Requirement:,Room,"Ashby, J.",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,Note:,"Enrolment for Fall/Winter will open during regular course selection periods. For enquiries about the UC One program, please contact uc.one@utoronto.ca or 416-946-4025.",Creative and Cultural Representations (1),Breadth Requirement:,,,
UC,Performing the City I,UNI102H1-S,,,,LEC0101,Thursday,—,10:00,13:00,SK 418,https://map.utoronto.ca/?id=1809#!m/494564,,—,of  available,9,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Course Description:,"In this course we learn about different practices of performative engagement with the city and experiment with them through exercises and creative activities. The goal is to gain, through this mode of embodied engagement with the city, a critical understanding of urban space as a diverse social, cultural, and physical environment. Restricted to first-year students. Not eligible for CR/NCR option.","Innis One, Munk One, New One, St. Mike's One, Trinity One, Vic One, Woodsworth One",Exclusion:,Humanities,Distribution Requirement:,Room,,Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,Note:,"Enrolment for Fall/Winter will open during regular course selection periods. For enquiries about the UC One program, please contact uc.one@utoronto.ca or 416-946-4025.",Creative and Cultural Representations (1),Breadth Requirement:,,,
VIC,Ethics and Choices in Times of Crisis,VIC102H1-F,,,,LEC0101,Tuesday,—,13:00,15:00,NF 235,https://map.utoronto.ca/?id=1809#!m/494600,,,of  available,1,25,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Course Description:,"This course examines a specific event, or events, in relation to the public sphere. The course will use events or an event as an entry point to discuss the nature of society including topics such as major revolutions, economic crises, the impact of the appearance of significant artistic or cultural works, and the impact of technological changes. Not eligible for CR/NCR option.",VIC102Y1,Exclusion:,"Humanities, Social Science",Distribution Requirement:,Room,"Jennings, E.",Group 1: Year 1    Victoria College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),"Group 2: Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,"Thought, Belief and Behaviour (2)",Breadth Requirement:,,,
UC,Gradients of Health in an Urban Mosaic,UNI103H1-F,,,,LEC0101,Thursday,—,10:00,13:00,LA 211,https://map.utoronto.ca/?id=1809#!m/494544,,,of  available,6,12,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Course Description:,"In this course, you will examine how Toronto’s varied communities access and use health care, and how they may encounter barriers in doing so. You will study how economic disparities, shifting demographics, and government policies affect health policy and the right to access resources. Restricted to first-year students. Not eligible for CR/NCR option.","Innis One, Munk One, New One, St. Mike's One, Trinity One, Vic One, Woodsworth One",Exclusion:,Social Science,Distribution Requirement:,Room,"Schluter, D.",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,Note:,"Enrolment for Fall/Winter will open during regular course selection periods. For enquiries about the UC One program, please contact uc.one@utoronto.ca or 416-946-4025.",Society and its Institutions (3),Breadth Requirement:,,,
UC,Gradients of Health in an Urban Mosaic,UNI103H1-S,,,,LEC0101,Thursday,—,10:00,13:00,LA 214,https://map.utoronto.ca/?id=1809#!m/494544,,,of  available,21,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Course Description:,"In this course, you will examine how Toronto’s varied communities access and use health care, and how they may encounter barriers in doing so. You will study how economic disparities, shifting demographics, and government policies affect health policy and the right to access resources. Restricted to first-year students. Not eligible for CR/NCR option.","Innis One, Munk One, New One, St. Mike's One, Trinity One, Vic One, Woodsworth One",Exclusion:,Social Science,Distribution Requirement:,Room,"Schluter, D.",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,Note:,"Enrolment for Fall/Winter will open during regular course selection periods. For enquiries about the UC One program, please contact uc.one@utoronto.ca or 416-946-4025.",Society and its Institutions (3),Breadth Requirement:,,,
UC,Sex in the City,UNI104H1-F,,,,LEC0101,Thursday,—,10:00,13:00,UC 85,https://map.utoronto.ca/?id=1809#!m/494517,,,of  available,9,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Course Description:,"You will learn about the sexual politics of the city and how cities and their neighbourhoods become sexualized and desexualized spaces. In Sex in the City, you will examine what “sex” means to Toronto’s varied, multicultural communities by looking at urban space, cultural productions, law enforcement, safety and health resources and more. Restricted to first-year students. Not eligible for CR/NCR option.","Innis One, Munk One, New One, St. Mike's One, Trinity One, Vic One, Woodsworth One",Exclusion:,Social Science,Distribution Requirement:,Room,"Lesk, A.",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,Note:,"Enrolment for Fall/Winter will open during regular course selection periods. For enquiries about the UC One program, please contact uc.one@utoronto.ca or 416-946-4025.","Thought, Belief and Behaviour (2)",Breadth Requirement:,,,
