resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,colSectionLocRoomTitle,colSectionLocRooms,colSectionLocRooms 2,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,weekDay 3,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,extraTxt 7,extraTxt 8,headerSect 7,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 4,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,headerSect 13,colCode 2,alignC,colNotes,extraTxt 9,extraTxt 10,weekDay 5,enConList 2,enConList 3,headerSect 14,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2
WDW,Introduction to Academic Studies,ABP100Y1-Y,"This interdisciplinary, skills-focused course parallels the other component courses of the full-time Academic Bridging Program, supplementing those courses and helping students integrate their entire Academic Bridging experience, while providing intensive, workshop-style training in the fundamental skills needed for success in further university studies in the Humanities and Social Sciences. The course will also provide academic advising and planning, to help students understand and navigate university culture. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Humanities,Distribution Requirement:,"Creative and Cultural Representations (1), Society and its Institutions (3)",Breadth Requirement:,Room,1st Term,2nd Term,LEC0101,Tuesday,—,10:00,13:00,WW 119,https://map.utoronto.ca/?id=1809#!m/494547,WW 119,https://map.utoronto.ca/?id=1809#!m/494547,"Shook, C.",of  available,7,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AS   NDEGB Academic Bridging Program,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDW,Introduction to Academic Studies in the Sciences,ABP101Y1-Y,"This interdisciplinary, skills-focused course parallels the other component courses of the full-time ABP Science Option, supplementing those courses and helping students integrate their entire Academic Bridging experience, while providing intensive, workshop-style training in the fundamental skills needed for success in further university studies in Mathematics and the Sciences. The course will also provide academic advising and planning, to help students understand and navigate university culture. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,1st Term,2nd Term,LEC0101,Wednesday,—,10:00,13:00,WW 119,https://map.utoronto.ca/?id=1809#!m/494547,WW 119,https://map.utoronto.ca/?id=1809#!m/494547,"Ghoshdastidar, A.",of  available,2,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AS   NDEGB Academic Bridging Program,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDW,Contemporary Canada,ABP102Y1-S,"This interdisciplinary, foundational course provides an introduction to contemporary Canadian society. The course includes the study of geography, politics, literature and culture through a historical framework of the twentieth century. It also emphasizes particular themes including indigenous issues, Quebec nationalism, gender/women's issues and immigration/multiculturalism. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.","JWU100Y1, WDW102Y1",Exclusion:,"Humanities, Social Science",Distribution Requirement:,,,,LEC5101,Tuesday,—,18:00,21:00,Thursday,https://map.utoronto.ca/?id=1809#!m/494547,WW 120,https://map.utoronto.ca/?id=1809#!m/494547,"Sanders, P.",of  available,29,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,"Creative and Cultural Representations (1), Society and its Institutions (3)",Breadth Requirement:,Room,—,18:00,21:00,WW 120,,,,,,,,,,,,,,,,,,,,
WDW,Contemporary Canada,ABP102Y1-Y,"This interdisciplinary, foundational course provides an introduction to contemporary Canadian society. The course includes the study of geography, politics, literature and culture through a historical framework of the twentieth century. It also emphasizes particular themes including indigenous issues, Quebec nationalism, gender/women's issues and immigration/multiculturalism. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.","JWU100Y1, WDW102Y1",Exclusion:,"Humanities, Social Science",Distribution Requirement:,Room,1st Term,2nd Term,LEC0101,Monday,—,10:00,13:00,WW 120,https://map.utoronto.ca/?id=1809#!m/494547,WW 120,https://map.utoronto.ca/?id=1809#!m/494547,"Lapointe, M.",of  available,7,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,"Creative and Cultural Representations (1), Society and its Institutions (3)",Breadth Requirement:,,,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,—,"Aug 27, 2021: Section cancelled.",,,,,,,,,,,
WDW,Introduction to the Study of Literature,ABP103Y1-Y,"This discipline based, writing intensive course introduces essential rhetorical and critical skills, focusing on how to recognize major literary forms and how to read and analyze outstanding classic and contemporary literary works of drama, poetry and fiction. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.","ENG185Y1, WDW103Y1",Exclusion:,Humanities,Distribution Requirement:,Room,1st Term,2nd Term,LEC5101,Wednesday,—,18:00,21:00,WW 120,https://map.utoronto.ca/?id=1809#!m/494547,WW 120,https://map.utoronto.ca/?id=1809#!m/494547,"Lapointe, M.",of  available,5,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,,,,,,,,,"Sept 16, 2021: Room changed.",,,,,,,,,,,
WDW,Introduction to Environmental Studies,ABP104Y1-Y,"This interdisciplinary course introduces the major issues regarding the sustainability of the global environment in the face of human development by integrating humanities and social science with the fundamental concept of environmental science. It examines major environmental problems, such as rapid climate change and land degradation as well as the role and impact of government, economics, and ethics on environmental issues. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",WDW104Y1,Exclusion:,Social Science,Distribution Requirement:,Room,1st Term,2nd Term,LEC0101,,,,,,,,,,,,,,,,,,,Society and its Institutions (3),Breadth Requirement:,,,,,,,,,,,,,—,"Aug 27, 2021: Section cancelled.",,,,,,,,,,,
WDW,"Media, Culture, and Society",ABP106Y1-S,"This interdisciplinary course provides an introduction to the cultural and social impacts of present-day popular mass media. Themes explored include the economic and political forces that shape the media world, the role of technology, and issues of representation, gender, and social justice. The course examines a wide range of texts, emphasizing popular culture produced in Canada, and students will have the opportunity to draw extensively on their own interactions with popular media. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",WDW106Y1,Exclusion:,Humanities,Distribution Requirement:,,,,LEC0101,Tuesday,—,13:00,16:00,Thursday,https://map.utoronto.ca/?id=1809#!m/494547,WW 120,https://map.utoronto.ca/?id=1809#!m/494547,"Lapointe, M.",of  available,30,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AS   NDEGB Academic Bridging Program,Creative and Cultural Representations (1),Breadth Requirement:,Room,—,13:00,16:00,WW 120,,,,,,,,,,,,,,,,,,,,
WDW,Introduction to University Studies in Mathematics,ABP107Y1-Y,"This course focuses on mathematical concepts and skills needed for success in First Year university Math and Science courses. Students will develop quantitative reasoning abilities required to critique arguments and make decisions, and will gain a deep understanding of functions modeling relationships. The course highlights multiple representations of each topic, emphasizing connections, and workshop-style sessions enable students to strengthen the skills they learn. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",WDW107Y1,Exclusion:,Science,Distribution Requirement:,Room,1st Term,2nd Term,LEC0101,Monday,—,10:00,13:00,LA 248,https://map.utoronto.ca/?id=1809#!m/494544,LA 248,https://map.utoronto.ca/?id=1809#!m/494544,"D'Elia, N.",of  available,2,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AS   NDEGB Academic Bridging Program,The Physical and Mathematical Universes (5),Breadth Requirement:,,,,,,,,,,,,,,,,,,,,,,,,,
WDW,Introduction to University Studies in Chemistry,ABP108Y1-Y,"This course covers the fundamental knowledge and skills needed for success in First Year university Chemistry and other Sciences such as Biology. Topics include atoms, elements, and compounds; the chemical and physical properties of gases, liquids, and solids; chemical reactions; and the importance of chemistry in understanding the world around us, with attention to how it can address issues in medicine, the environment, and sustainability. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",WDW108Y1,Exclusion:,Science,Distribution Requirement:,Room,1st Term,2nd Term,LEC0101,Tuesday,—,10:00,13:00,WW 121,https://map.utoronto.ca/?id=1809#!m/494547,WW 121,https://map.utoronto.ca/?id=1809#!m/494547,"Ghoshdastidar, A.",of  available,2,30,No,In Person,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,AS   NDEGB Academic Bridging Program,The Physical and Mathematical Universes (5),Breadth Requirement:,,,,,,,,,,,,,,,,,,,,,,,,,
WDW,"Decentring ""Canada""",ABP109Y1-Y,"This course centres diverse, under-acknowledged narratives of people, such as Indigenous and racialized peoples, within the territories of ""Canada"" to challenge monolithic, linear, and uncritical representations of this country's history and future. Archival materials, maps, place names, art, literature, film, and other texts will be approached from interdisciplinary perspectives to reveal different orientations to historical events, social injustices, and futures of this territory. Open only to Academic Bridging Program students. Not eligible for CR/NCR option.",WDW101Y1,Exclusion:,Humanities,Distribution Requirement:,Room,1st Term,2nd Term,LEC0101,,,,,,,,,,,,,,,,,,,Society and its Institutions (3),Breadth Requirement:,,,,,,,,,,,,,—,"Aug 27, 2021: Section cancelled.",,,,,,,,,,,
