resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 5,weekDay href,weekDay 6,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,alignC,extraTxt 9,extraTxt 10,legendControl 2,extraTxt 11,extraTxt 12,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2
CLAS,Introductory Ancient Greek I,GRK101H1-F,An intensive introduction to Ancient Greek for students who have no knowledge of the language; preparation for the reading of Ancient Greek literature.,GRK100Y1 Students who have studied Ancient Greek previously must obtain permission from the Undergraduate Coordinator before enrolling.,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,09:00,10:00,Tuesday,—,09:00,10:00,NF 006,https://map.utoronto.ca/?id=1809#!m/494600,NF 006,https://map.utoronto.ca/?id=1809#!m/494600,"Ludwig, M.",of  available,29,40,Yes: 0 student,In Person,,,,,,,,,,,
CLAS,Introductory Latin I,LAT101H1-F,An intensive introduction to Latin for students who have no knowledge of the language; preparation for the reading of Latin literature.,LAT100Y1. Students who have studied Latin previously must obtain permission from the Undergraduate Coordinator before enrolling.,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,09:00,10:00,Tuesday,—,09:00,10:00,NF 007,https://map.utoronto.ca/?id=1809#!m/494600,NF 007,https://map.utoronto.ca/?id=1809#!m/494600,"Bianchini, G.",of  available,10,35,Yes: 0 student,In Person,,,,,,,,,,,
CLAS,Introductory Latin I,LAT101H1-S,An intensive introduction to Latin for students who have no knowledge of the language; preparation for the reading of Latin literature.,LAT100Y1. Students who have studied Latin previously must obtain permission from the Undergraduate Coordinator before enrolling.,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,10:00,12:00,Wednesday,—,10:00,12:00,NF 119,https://map.utoronto.ca/?id=1809#!m/494600,NF 119,https://map.utoronto.ca/?id=1809#!m/494600,"Bayer, P.",of  available,0,35,Yes: 0 student,In Person,—,,,,,,,,,,
CLAS,Introductory Ancient Greek II,GRK102H1-S,"A continuation of the intensive introduction to Ancient Greek in GRK 101H1. Also appropriate for students who have some training in Ancient Greek, but have not completed a whole credit course at University or a final-year (Grade 12) course in secondary school.",GRK101H1/some background in Ancient Greek,Prerequisite:,GRK100Y1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,09:00,10:00,Tuesday,—,09:00,10:00,NF 006,https://map.utoronto.ca/?id=1809#!m/494600,NF 006,https://map.utoronto.ca/?id=1809#!m/494600,"Gerbasi, J.",of  available,31,40,Yes: 0 student,In Person,—,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,,,
CLAS,Introductory Latin II,LAT102H1-S,"A continuation of the intensive introduction to Latin in LAT 101H1. Also appropriate for students who have some training in Latin, but have not completed a whole credit course at University or a final-year (Grade 12) course in secondary school.",LAT101H1/some background in Latin,Prerequisite:,LAT100Y1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,09:00,10:00,Tuesday,—,09:00,10:00,NF 007,https://map.utoronto.ca/?id=1809#!m/494600,NF 007,https://map.utoronto.ca/?id=1809#!m/494600,"Ferentinou, G.",of  available,16,35,Yes: 0 student,In Person,—,Creative and Cultural Representations (1),Breadth Requirement:,,,,,,,,
CINE,Introduction to Film Study,CIN105Y1-Y,"Introduction to film form (including style and narration); different types of films, and popular approaches to the study of cinema. Topics include: narrative cinema, documentary, , genre, authorship, ideology, and representation.","INI115Y1, ENGB70H3, ENGB75H3, ENGB76H3, CIN101H5",Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,LEC9901,2.0 hours / week,,,,—,,,,—,,—,,"Columpar, C.",of  available,0,400,Yes: 0 student,Asynchronous (See Delivery Instructions.),—,,avant-garde,Delivery instructions,Note:,"Both lectures (LEC) and screenings (PRA) are delivered online asynchronous. Tutorials are delivered online synchronous, as per the meeting schedule. Students will be expected to watch asynchronous lecture videos and screenings prior to tutorials. It is recommended that students have a computer with a microphone and camera in order to participate in online activities.",,,,,
CHM,Chemistry: Physical Principles,CHM135H1-F,"Structure of matter, gases, liquids and solids; phase equilibria and phase diagrams; colligative properties; chemical equilibria; electrolyte solutions and electrochemistry; reaction kinetics; introduction to thermodynamics. Recommended for students in life and health science programs that involve a small amount of chemistry. (Lab Materials Fee: $25).","Chemistry SCH4U, Mathematics MHF4U + MCV4U",Prerequisite:,"(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1 recommended, but may be required prerequisite in 2nd year Chemistry courses; PHY131H1, PHY132H1)/(PHY151H1, PHY152H1) recommended",Corequisite:,"CHM139H1, CHM151Y1, CHMA11H3, CHM140Y5, CHM110H5",Exclusion:,Room,LEC9901,Monday,—,09:00,10:00,Tuesday,—,09:00,10:00,—,,—,,"Browning, S.",of  available,1,545,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),—,Science,Distribution Requirement:,Timetable instructions,Note:,"PRA sections ending in an odd number will begin the week of September 20, 2021, and will run on alternating weeks.  PRA sections ending in an even number will begin the week of September 27, 2021, and run on alternating weeks.",Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 SCIENCE     (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program
CHM,Chemistry: Physical Principles,CHM135H1-S,"Structure of matter, gases, liquids and solids; phase equilibria and phase diagrams; colligative properties; chemical equilibria; electrolyte solutions and electrochemistry; reaction kinetics; introduction to thermodynamics. Recommended for students in life and health science programs that involve a small amount of chemistry. (Lab Materials Fee: $25).","Chemistry SCH4U, Mathematics MHF4U + MCV4U",Prerequisite:,"(MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1 recommended, but may be required prerequisite in 2nd year Chemistry courses; PHY131H1, PHY132H1)/(PHY151H1, PHY152H1) recommended",Corequisite:,"CHM139H1, CHM151Y1, CHMA11H3, CHM140Y5, CHM110H5",Exclusion:,Room,LEC9901,Tuesday,—,12:00,13:00,Wednesday,—,12:00,13:00,—,,,,"Browning, S.",of  available,200,200,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),—,Science,Distribution Requirement:,Timetable instructions,Note:,PRA sections will run on the following weeks:,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,Year 1 SCIENCE     (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program
CHM,Introductory Organic Chemistry I,CHM136H1-S,"An introduction to principles of structure and their relation to reactivity of organic molecules: molecular structure, stereochemistry, functional groups, and reactions. Recommended for students in life and health science programs that involve a small amount of chemistry. (Lab Materials Fee: $25).","Chemistry SCH4U, Mathematics MHF4U + MCV4U, CHM135H1",Prerequisite:,"MAT135H1/MAT137Y1/MAT157Y1 recommended, but may be required prerequisite in 2nd year Chemistry courses;(PHY131H1, PHY132H1)/(PHY151H1, PHY152H1) recommended",Corequisite:,"CHM138H1, CHM151Y1, CHM242H5, CHMB41H3",Exclusion:,Room,LEC9901,Monday,—,16:00,17:00,Wednesday,—,16:00,17:00,—,,—,,"Browning, S.",of  available,0,495,Yes: 96 students,Online - Synchronous (See Delivery Instructions.),—,Science,Distribution Requirement:,Timetable instructions,Note:,"PRA sections ending in an odd number will begin the week of January 17, 2022, and will run on alternating weeks.  PRA sections ending in an even number will begin the week of January 24, 2022, and run on alternating weeks.",Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1 SCIENCE     (Faculty of Arts and Science),AS   HBSCT Science Tranfser Degree Program
CHM,Chemistry: The Molecular Science,CHM151Y1-Y,"An introduction to the major areas of modern chemistry, including organic and biological chemistry; physical chemistry and chemical physics; and inorganic/materials chemistry. The course is intended for students who will be following one of the chemistry specialist programs (including Biological Chemistry and Environmental Chemistry) or who will be including a substantial amount of chemistry in their degree (such as those following a chemistry major program). The combination of CHM151Y1 and CHM249H1 serves as a full year introductory course in organic chemistry with laboratory. (Lab Materials Fee: $50).","Note: CHM151Y1 has a unique Course Community where the undergraduate experience in chemistry is greatly enhanced through a series of workshops, research seminars, tours, outreach opportunities and social activities. Two hour biweekly Course Community meetings, during laboratory class hours will alternate weeks with the CHM151Y1 lab classes. The lab time is reserved for CHM151Y1 activities every week of each semester.",Prerequisite:,"Chemistry SCH4U, Mathematics MHF4U + MCV4U; Physics SPH4U recommended",Corequisite:,"PHY131H1, PHY132H1)/(PHY151H1, PHY152H1) recommended, but may be required prerequisites in 2nd year chemistry courses; (MAT135H1, MAT136H1)/MAT137Y1/MAT157Y1",Exclusion:,,LEC0101,Monday,—,12:00,13:00,Wednesday,—,12:00,13:00,Contact DEPT,https://map.utoronto.ca/?id=1809#!m/494502,Contact DEPT,https://map.utoronto.ca/?id=1809#!m/494502,"Dhirani, A.",of  available,1,144,Yes: 0 student,In Person,—,"CHM135H1, CHM136H1, CHM138H1, CHM139H1, CHMA10H3, CHMA11H3, CHMB41H3, CHM110H5, CHM120H5",Distribution Requirement:,,The Physical and Mathematical Universes (5),,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",AS   HBSCT Science Tranfser Degree Program,AS   MPS1 A&S Yr 1 Math & Phys Sciences  - Year 1
