resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 3,extraTxt 5,extraTxt 6,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,extraTxt 14,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay 4,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 4,legendControl 5,enConDesc,enConList,enConList 2,enConList 3,enConList 4,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,weekDay 5,dayInfo 7,dayInfo 8,dayInfo 9,weekDay 6,dayInfo 10,dayInfo 11,dayInfo 12,weekDay 7,colInst 2,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,legendControl 6,legendControl 7,enConDesc 2,headerSect 15,headerSect 16,headerSect 17,headerSect 18,headerSect 19,headerSect 20,headerSect 21,colCode 3,weekDay 9,dayInfo 13,dayInfo 14,dayInfo 15,weekDay 10,dayInfo 16,dayInfo 17,dayInfo 18,weekDay 12,colInst 3,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,legendControl 8,legendControl 9,enConDesc 3,headerSect 22,headerSect 23,headerSect 24,headerSect 25,headerSect 26,headerSect 27,headerSect 28,colCode 4,weekDay 13,dayInfo 19,dayInfo 20,dayInfo 21,weekDay 14,dayInfo 22,dayInfo 23,dayInfo 24,weekDay 15,weekDay 16,colAvail 4,numCurr 4,numTot 4,numWait 4,onlineMeeting 4,weekDay 17,dayInfo 25,dayInfo 26,dayInfo 27,weekDay 19,weekDay 20,weekDay 23,weekDay 24,weekDay 27,weekDay href,weekDay href 2,weekDay href 3,weekDay href 4,alignC,weekDay href 5,weekDay href 6,weekDay href 7,weekDay href 8,extraTxt 15,colNotes
CSC,Introduction to Computer Programming,CSC108H1-F,Timetable instructions,Note:,"If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.",Note:,All assessments will be fully online. Students must write an online test during their scheduled lecture time on at least two dates during the term.,"Students will need to be able to use videoconferencing tools, to watch videos hosted on MS Stream, and to install software on their own computer. Computers with limited capabilities, such as Chromebooks, or tablets like the iPad, are likely NOT sufficient.","Programming in a language such as Python. Elementary data types, lists, maps. Program structure: control flow, functions, classes, objects, methods. Algorithms and problem solving. Searching, sorting, and complexity. Unit testing. No prior programming experience required.NOTE: You may not take this course concurrently with CSC120H1/CSC148H1, but you may take CSC148H1 after CSC108H1.","CSC110Y1, CSC120H1, CSC121H1, CSC148H1",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC9901,Monday,—,09:00,10:00,Wednesday,—,09:00,11:00,—,—,"Craig, M.",of  available,1,200,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),ASMAJ0608 MA ACTUARIAL SCIENCE,ASMAJ1445 MA COGNITIVE SCIENCE(ARTS),ASMAJ1445A MA COG SCI: ARTS - PERC&ATTEN,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC9902,Monday,—,09:00,10:00,Wednesday,—,09:00,11:00,—,"Smith, J.",of  available,0,200,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC9903,Monday,—,12:00,13:00,Wednesday,—,12:00,14:00,—,"Smith, J.",of  available,2,200,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC9904,Monday,—,12:00,13:00,Wednesday,—,12:00,14:00,—,—,of  available,1,200,Yes: 0 student,Online - Synchronous (See Delivery Instructions.),Monday,—,12:00,13:00,—,—,—,—,—,,,,,,,,,,,
CSC,Introduction to Computer Programming,CSC108H1-S,Timetable instructions,Note:,"If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.",,,,"Programming in a language such as Python. Elementary data types, lists, maps. Program structure: control flow, functions, classes, objects, methods. Algorithms and problem solving. Searching, sorting, and complexity. Unit testing. No prior programming experience required.NOTE: You may not take this course concurrently with CSC120H1/CSC148H1, but you may take CSC148H1 after CSC108H1.","CSC110Y1, CSC120H1, CSC121H1, CSC148H1",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Monday,—,10:00,12:00,Wednesday,—,11:00,12:00,,,"Gries, P.",of  available,0,196,Yes: 21 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),ASMAJ0608 MA ACTUARIAL SCIENCE,ASMAJ1445 MA COGNITIVE SCIENCE(ARTS),ASMAJ1445A MA COG SCI: ARTS - PERC&ATTEN,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,Monday,—,14:00,16:00,Wednesday,—,15:00,16:00,,"Fairgrieve, T.",of  available,0,196,Yes: 23 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Monday,—,16:00,18:00,Wednesday,—,16:00,17:00,MY 150,"Fairgrieve, T.",of  available,0,196,Yes: 5 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC5101,Wednesday,—,18:00,21:00,Wednesday,—,18:00,21:00,MP 202,MP 202,of  available,1,234,Yes: 0 student,In Person,,,,,MP 202,MP 202,MP 202,MP 202,MY 150,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,—,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494495,,
CSC,Foundations of Computer Science I,CSC110Y1-F,Timetable instructions,Note:,"If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.",Note:,"Students will need to install software on their own computer; computers with limited capabilities, such as Chromebooks, or tablets like the iPad, are NOT sufficient. Students enrolled in an online lecture or tutorial will need to be able to use videoconferencing tools.","All graded assessments, regardless of section, will be completed online.","An introduction to the field of computer science combining the tools and techniques of programming (using the Python programming language) with rigorous mathematical analysis and reasoning. Topics include: data representations; program control flow (conditionals, loops, exceptions, functions); mathematical logic and formal proof; algorithms and running time analysis; software engineering principles (formal specification and design, testing and verification). Prior programming experience is not required to succeed in this course.","This course is restricted to students in the first year Computer Science admission stream, and is only offered in the Fall term. Other students planning to pursue studies in computer science should enrol in CSC108H1, CSC148H1, and CSC165H1/CSC240H1.",Exclusion:,"CSC108H1, CSC148H1, CSC165H1",Distribution Requirement:,Science,Breadth Requirement:,Room,LEC0101,Monday,—,11:00,13:00,Wednesday,—,11:00,13:00,—,—,"Badr, M.",of  available,4,400,No,In Person (See Delivery Instructions.),Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",AS   CMP1 A&S Yr 1 Studies in Comp. Sci.  - Year 1,ASCRSCMP1 A&S Yr 1 Studies in Comp. Sci.  - Year 1,ASPRGCMP1 A&S Yr 1 Studies in Comp. Sci  - Year 1,AS   CMP1 A&S Yr 1 Studies in Comp. Sci.  - Year 1,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC9901,Thursday,—,11:00,13:00,Monday,—,11:00,13:00,—,"Fairgrieve, T.",of  available,300,400,No,Online - Synchronous (See Delivery Instructions.),Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",,,,,,,,,Wednesday,—,11:00,13:00,Thursday,—,11:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,MY 150,MY 150,,,,,,,,,,MY 150,,,,,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494495,,,,,,,The Physical and Mathematical Universes (5),
CSC,Foundations of Computer Science II,CSC111H1-S,Timetable instructions,Note:,"If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.",Science,Breadth Requirement:,,A continuation of CSC110Y1 to extend principles of programming and mathematical analysis to further topics in computer science.,"Topics include: object-oriented programming (design principles, encapsulation, composition and inheritance); binary representation of numbers; recursion and mathematical induction; abstract data types and data structures (stacks, queues, linked lists, trees, graphs); the limitations of computation.",Prerequisite:,"This course is restricted to students in the first year Computer Science admission stream, and is only offered in the Winter term. Other students planning to pursue studies in computer science should enrol in CSC108H1, CSC148H1, and CSC165H1/CSC240H1.",Exclusion:,CSC110Y1 (70% or higher),Distribution Requirement:,Room,LEC0101,Monday,—,10:00,12:00,Wednesday,—,10:00,11:00,AB 114,BA 2159,"Badr, M.",of  available,3,250,No,In Person,Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",AS   CMP1 A&S Yr 1 Studies in Comp. Sci.  - Year 1,ASCRSCMP1 A&S Yr 1 Studies in Comp. Sci.  - Year 1,ASPRGCMP1 A&S Yr 1 Studies in Comp. Sci  - Year 1,AS   CMP1 A&S Yr 1 Studies in Comp. Sci.,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,Monday,—,15:00,17:00,Wednesday,—,15:00,16:00,UC 87,"Badr, M.",of  available,5,250,No,In Person,Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0401,BA 2165,—,15:00,17:00,BA 2175,—,15:00,17:00,TF 202,,of  available,0,36,No,In Person,,,,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0402,BA 2145,—,15:00,17:00,ES 4000,,,,MS 2158,MS 3153,of  available,2,36,No,In Person,KP 113,,,,OI G162,OI G162,Friday,KP 113,AB 114,https://map.utoronto.ca/?id=1809#!m/494491,https://map.utoronto.ca/?id=1809#!m/494491,https://map.utoronto.ca/?id=1809#!m/494563,https://map.utoronto.ca/?id=1809#!m/494563,—,https://map.utoronto.ca/?id=1809#!m/494489,https://map.utoronto.ca/?id=1809#!m/494470,https://map.utoronto.ca/?id=1809#!m/494517,https://map.utoronto.ca/?id=1809#!m/494470,"CSC108H1, CSC148H1, CSC165H1",
CSC,Introduction to Computer Science,CSC148H1-S,Timetable instructions,Note:,"If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.",,Breadth Requirement:,,"Abstract data types and data structures for implementing them. Linked data structures. Encapsulation and information-hiding. Object-oriented programming. Specifications. Analyzing the efficiency of programs. Recursion. This course assumes programming experience as provided by CSC108H1. Students who already have this background may consult the Computer Science Undergraduate Office for advice about skipping CSC108H1. Practical (P) sections consist of supervised work in the computing laboratory. These sections are offered when facilities are available, and attendance is required. NOTE: Students may go to their college to drop down from CSC148H1 to CSC108H1. See above for the drop down deadline.",CSC108H1/(equivalent programming experience),Prerequisite:,"CSC111H1, CSC207H1, CSC148H5, CSCA48H3",Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,12:00,14:00,Friday,—,13:00,14:00,MP 203,MP 103,"Horton, D.",of  available,0,234,Yes: 19 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),ASMAJ1446 MA COGNITIVE SCIENCE(SCIENCE),ASMAJ1446A MA COG SCI: SCI - COMPUT COG,ASMAJ1446B MA COG SCI: SCI - COGN & BRAIN,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0102,Wednesday,—,12:00,14:00,Friday,—,13:00,14:00,MP 103,"Horton, D.",of  available,0,234,Yes: 15 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,Wednesday,—,14:00,16:00,Friday,—,14:00,15:00,MP 102,"Sharmin, S.",of  available,0,196,Yes: 19 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Tuesday,—,14:00,16:00,Thursday,—,14:00,15:00,MY 150,MY 150,of  available,0,196,Yes: 26 students,In Person,Tuesday,—,14:00,16:00,MY 150,MY 150,MP 102,MP 102,MP 102,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494495,—,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,The Physical and Mathematical Universes (5),"August 26, 2021: Section Cancelled."
CSC,Mathematical Expression and Reasoning for Computer Science,CSC165H1-S,Timetable instructions,Note:,"If you’ve been accepted to the Computer Science (CMP1) admission stream and have guaranteed admission to a computer science program, you must enrol in CSC110Y and CSC111H. You may not enrol in CSC108H, CSC148H, or CSC165H. If you are unable to enrol in the appropriate set of courses, please contact cs.undergrad@utoronto.ca.",,Breadth Requirement:,,"Introduction to abstraction and rigour. Informal introduction to logical notation and reasoning. Understanding, using and developing precise expressions of mathematical ideas, including definitions and theorems. Structuring proofs to improve presentation and comprehension. General problem-solving techniques. Running time analysis of iterative programs. Formal definition of Big-Oh. Diagonalization, the Halting Problem, and some reductions. Unified approaches to programming and theoretical problems.",CSC108H1/CSC120H1/(equivalent programming experience),Corequisite:,"CSC111H1, CSC236H1, CSC240H1, MAT102H5, CSCA67H3, MATA67H3",Exclusion:,Science,Distribution Requirement:,Room,LEC0101,Monday,—,09:00,11:00,Thursday,—,09:00,11:00,,,"Pitt, F.",of  available,0,176,Yes: 59 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),Year 1      (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,Monday,—,12:00,14:00,Wednesday,—,12:00,14:00,,"Pitt, F.",of  available,0,176,Yes: 66 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0202,Monday,—,15:00,17:00,Thursday,—,15:00,17:00,MP 103,"Baumgartner, G.",of  available,0,176,Yes: 56 students,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Monday,—,18:00,20:00,Wednesday,—,18:00,20:00,MP 102,MP 102,of  available,0,176,Yes: 56 students,In Person,,,,,MP 103,MP 103,MP 203,MP 203,MP 103,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,—,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,https://map.utoronto.ca/?id=1809#!m/494490,The Physical and Mathematical Universes (5),"July 16, 2021: Section cancelled."
CSC,Great Ideas in Computing,CSC196H1-F,,,,,,,"We will pursue the general (and very debatable) theme of GREAT IDEAS in COMPUTING (including some surprising algorithms). The ambitious goal is to try to identify some of the great ideas that have significantly influenced the field and have helped to make computing so pervasive. We will concentrate on mathematical, algorithmic and software ideas with the understanding that the importance and usefulness of these ideas depends upon (and often parallels) the remarkable ideas and progress in computing and communications hardware. As we will see, many of the great ideas were against the ""prevailing opinion"". The list of topics we shall discuss will depend to some degree on the background and interests of the class. Restricted to first-year students. Not eligible for CR/NCR option.",Some knowledge of probability theory,Recommended Preparation:,Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Monday,—,09:00,10:00,Wednesday,—,09:00,10:00,,,"Borodin, A.",of  available,0,30,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,Friday,—,09:00,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MY 350,MY 350,,,,,,,,,,MY 350,,,,,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494495,https://map.utoronto.ca/?id=1809#!m/494495,,,,,,,,
CSC,"What, Who, How: Privacy in the Age of Big Data Collection",CSC197H1-F,,,,,,,"The rapid advance of technology has brought remarkable changes to how we conduct our daily lives, from how we communicate, consume news and data, and purchase goods. As we increase our online activity, so too do we increase the amount of personal data that we're sharing, often without realizing it. The questions of exactly what data is being collected, who is collecting and accessing this data, and how this data is being used, have significant implications for both individuals and our larger social and political institutions. Organized by a wide variety of case studies drawn from current events, we'll study how personal data can be collected and tracked, how personal and social factors may influence our own decisions about whether and how much to share our data, and what broader political and legal tools are used to either protect or subvert individual privacy. Restricted to first-year students. Not eligible for CR/NCR option.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Friday,—,12:00,14:00,,,,,,,"Pitt, F.",of  available,0,30,Yes: 0 student,In Person,Restricted (R2),Enrolment Controls:,"This section is restricted to two groups of students. Group 1 is given priority access until July 28. There is no course enrolment on July 29. Beginning July 30, Group 2 can enrol in this section:",Group 1: Year 1    Innis College  (Faculty of Arts and Science),Group 2: Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IN 312,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494541,,,,,,,,,,
CSC,"Intelligence, Artificial and Human",CSC199H1-S,,There is an equivalent course offered by St. Michael’s College. Students may take one or the other but not both.,,,,,"What is human intelligence? How close are we to replicating it? How productive/reductive is the brain-computer analogy? What ethical challenges are posed by AI on workers, society, and the environment? Can we put a hold on ""progress""? Is Silicon Valley the seat of a new techno-religion? What can they teach us about today's research priorities? What insight (or inspiration) can we get from works of science fiction about the future of human-AI interaction? Through reading discussion, written assignment, and workshops, this seminar will present students with the opportunity to integrate their computer science interests with philosophy, history, and literature. Restricted to first-year students. Not eligible for CR/NCR option.","SMC199H1 (Intelligence, Artificial and Human)",Exclusion:,Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,,,,,,,,of  available,0,30,Yes: 10 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CR 406,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494580,,,,—,,,,,,"August 25, 2021: Session changed."
SMC,"Intelligence, Artificial and Human",SMC199H1-S,,There is an equivalent course offered by the Department of Computer Science. Students may take one or the other but not both.,,,,,"What is human intelligence? How close are we to replicating it? How productive/reductive is the brain-computer analogy? What ethical challenges are posed by AI on workers, society, and the environment? Can we put a hold on ""progress""? Is Silicon Valley the seat of a new techno-religion? What can they teach us about today's research priorities? What insight (or inspiration) can we get from works of science fiction about the future of human-AI interaction? Through reading discussion, written assignment, and workshops, this seminar will present students with the opportunity to integrate their computer science interests with philosophy, history, and literature.  Restricted to first-year students. Not eligible for CR/NCR option.",CSC199H1,Exclusion:,Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,,,,,,,"Richard, J.",of  available,0,25,Yes: 13 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 1      (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AH 304,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494578,,,,,,,,,,
