resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,weekDay 3,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,extraTxt 11,extraTxt 12,extraTxt 13,alignC
ASI,Introduction to Contemporary Asian Studies,CAS200H1-F,"This course is an introduction to Contemporary Asian Studies. It covers detailed case study material from South Asia, Southeast Asia, and East Asia. It introduces students to the interdisciplinary study of political, sociocultural and economic interactions among these regions, as well as the transnational forces shaping internal dynamics throughout Asia. In addition, it examines the ways that forces stemming from Asia are affecting global processes, pushing scholarship to engage questions about colonialism, nationalism, ""race,"" religion, markets, urbanization, migration, and mass mediated culture. This course provides preparation for more advanced courses on Asia and globalization and provides an introductory gateway for the Contemporary Asian Studies major and minor. May be taken in the first year of studies.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Wednesday,—,12:00,14:00,WW 126,https://map.utoronto.ca/?id=1809#!m/494547,"Clark, D.",of  available,6,60,Yes: 0 student,In Person,,,,,,,,,,,,,,,
DTS,Introduction to Diaspora and Transnational Studies I,DTS200Y1-Y,"What is the relationship between place and belonging, between territory and memory? How have the experiences of migration and dislocation challenged the modern assumption that the nation-state should be the limit of identification? What effect has the emergence of new media of communication had upon the coherence of cultural and political boundaries? All of these questions and many more form part of the subject matter of Diaspora and Transnational Studies. This introductory course ex-amines the historical and contemporary movements of peoples and the complex issues of identity and experience to which these processes give rise as well as the creative possibilities that flow from movement and being moved. The area of study is comparative and interdisciplinary, drawing from the social sciences, history, the arts and humanities. Accordingly, this course provides the background to the subject area from diverse perspectives and introduces students to a range of key debates in the field, with particular attention to questions of history, globalization, cultural production and the creative imagination.","DTS201H1, DTS202H1",Exclusion:,"Humanities, Social Science",Distribution Requirement:,,LEC0101,Tuesday,—,10:00,12:00,RW 110,https://map.utoronto.ca/?id=1809#!m/494515,"Kassamali, S.",of  available,25,100,Yes: 0 student,In Person,Timetable instructions,Note:,This course has two sections: LEC0101 is in person and LEC9901 is online synchronous. For LEC9901: lectures and class meetings will be livestreamed to enable real-time contact with the professor and classmates; they will also be recorded and available asynchronously which registered students can access on their own time. Students will have the opportunity for weekly online office hours to ask questions and clarifications about course content and assignments.,"Creative and Cultural Representations (1), Society and its Institutions (3)",Breadth Requirement:,RW 110,,,,,,,,,
ASI,Global Asian Studies: Insights and Concepts,CAS201H1-F,"This course addresses Asia empirically in contemporary global formations and as an idea in the global imagination. It introduces students to concepts and theories central to scholarship on Asia and its transnational formations. It provides foundational theoretical and conceptual material to understand global issues as they play out in the politics, economies, cultures and contemporary social worlds of contemporary Asian sites. Interdisciplinary analytical and research concepts are introduced to provide area studies grounding. This course provides preparation to delve into deeper research on Asia connected to broad questions about the natures of democracy, authoritarianism, market formation, social justice, and the media of cultural expression. It informs students aiming to take more advanced courses on Asia and globalization and provides one part of the foundation for the Contemporary Asian Studies major and minor. CAS201H1 introduces the theoretical and conceptual frameworks that are explored through further grounded empirical case studies in upper year CAS courses.",CAS200Y1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,—,14:00,16:00,SS 1085,https://map.utoronto.ca/?id=1809#!m/494510,"Cody, F.",of  available,19,60,Yes: 0 student,In Person,,,,Society and its Institutions (3),Breadth Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,,,,
ASI,Global Asian Studies: Sites and Practices,CAS202H1-S,"This interdisciplinary course explores a variety of sites and topics in South, Southeast, and East Asia. It explores themes including contemporary and historical articulations of socio-economic development, (post)colonial political formations, urbanization processes, climate change, labour struggles, gender studies, migration, citizenship, and social justice. The course examines the diversity of Asian modernities, cross-regional linkages, and changing approaches to area studies over time. It provides a foundation for the Contemporary Asian Studies major and minor, preparing students for taking more advanced courses on Asia in the global context.",CAS200Y1,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Thursday,—,14:00,16:00,UC 161,https://map.utoronto.ca/?id=1809#!m/494517,"Clark, D.",of  available,7,60,Yes: 0 student,In Person,,,,Society and its Institutions (3),Breadth Requirement:,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0235 MA CONTEMPORARY ASIAN STUDIES,ASMIN0235 MI CONTEMPORARY ASIAN STUDIES,,,,
CRIM,Introduction to Criminology,CRI205H1-F,"An introduction to the study of crime and criminal behaviour. The concept of crime, the process of law formation, and the academic domain of criminology. Theories of crime causation, methodologies used by criminologists, and the complex relationship between crime, the media and modern politics.",Min. 4.0 FCEs,Prerequisite:,CRI225H1,Corequisite:,Room,LEC0101,Monday,—,16:00,19:00,WB 116,https://map.utoronto.ca/?id=1809#!m/494460,"Wortley, N.",of  available,16,230,Yes: 0 student,In Person,,Social Science,Distribution Requirement:,"WDW205H1, WDW200Y1",Exclusion:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",2 FCEs from ECO/HIS/PHL/POL/PSY/SOC with a combined average of at least 70%,Recommended Preparation:,Society and its Institutions (3),
CRIM,Criminal Justice,CRI210H1-S,"An introduction to the Canadian criminal justice system. The institutions established by government to respond to crime and control it; how they operate, and the larger function they serve; including the role of the police, the trial process, courts and juries, sentencing, imprisonment and community corrections.","CRI205H1, CRI225H1",Prerequisite:,"WDW210H1, WDW200Y1",Exclusion:,Room,LEC0101,Monday,—,16:00,19:00,WB 116,https://map.utoronto.ca/?id=1809#!m/494460,"Wortley, N.",of  available,7,230,Yes: 0 student,In Person,,,,Social Science,Distribution Requirement:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Society and its Institutions (3),Breadth Requirement:,,
CRIM,Introduction to Sociolegal Studies,CRI215H1-F,"The course covers several major issues that will help prepare students for advanced courses in the criminology major: the meaning of law, the production of laws and legal institutions, law in action, comparative legal traditions, and the methodology of sociolegal studies.",Min. 4.0 FCEs,Prerequisite:,WDW215H1,Exclusion:,Room,LEC0101,Friday,—,13:00,16:00,AH 100,https://map.utoronto.ca/?id=1809#!m/494578,"Mitchell, M.",of  available,0,230,Yes: 0 student,In Person,,Society and its Institutions (3),Breadth Requirement:,2 FCEs from ECO/HIS/PHL/POL/PSY/SOC with a combined average of at least 70%,Recommended Preparation:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",Social Science,Distribution Requirement:,,
CRIM,Criminal Law,CRI225H1-F,"The main principles and themes of Canadian criminal law; legal definitions of crime, requirements of a criminal act (actus reus); criminal intention (mens rea); causation and defences. The origins, goals and functioning of criminal law, and limits on the power of the state to criminalize behaviour.",Min. 4.0 FCEs,Prerequisite:,CRI205H1,Corequisite:,Room,LEC5101,Wednesday,—,18:00,21:00,PB B150,https://map.utoronto.ca/?id=1809#!m/494476,"Weaver, A.",of  available,21,230,Yes: 0 student,In Person,,Social Science,Distribution Requirement:,"WDW225H1, WDW220Y1",Exclusion:,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Centre for Criminology and Sociolegal Studies   (Faculty of Arts and Science),"Centre for Criminology and Sociolegal Studies   (John H. Daniels Faculty of Architecture, Landscape, & Design)",2 FCEs from ECO/HIS/PHL/POL/PSY/SOC with a combined average of at least 70%,Recommended Preparation:,Society and its Institutions (3),
DTS,Qualitative and Quantitative Reasoning,DTS300H1-S,"Focuses on research design and training in methods from history, geography, anthropology, literary and cultural studies, and other disciplines appropriate to Diaspora and Transnational Studies. Prepares students to undertake primary research required in senior seminars.",Completion of 9.0 credits,Prerequisite:,DTS200Y1/CJS200H1/CJS201H1,Recommended Preparation:,Room,LEC0101,Tuesday,—,10:00,12:00,VC 215,https://map.utoronto.ca/?id=1809#!m/494602,"O'Neill, K.",of  available,0,75,Yes: 0 student,In Person,,,,"Humanities, Social Science",Distribution Requirement:,,,,,,,The Physical and Mathematical Universes (5),Breadth Requirement:,,
DTS,Special Topics in Diaspora and Transnational Studies,DTS305H1-F,An upper level course. Topics of study vary from year to year.,Completion of 9.0 credits,Prerequisite:,DTS200Y1,Recommended Preparation:,Room,LEC9901,,,,,,,,,,,,,Timetable instructions,Note:,Topic: Religions of the African Diaspora,"Humanities, Social Science",Distribution Requirement:,,,,,,,Society and its Institutions (3),Breadth Requirement:,Note:,—
