resultDept,pbot15,hiCC,legendControl,extraTxt,extraTxt 2,extraTxt 7,extraTxt 8,extraTxt 9,extraTxt 10,extraTxt 11,extraTxt 12,extraTxt 13,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,weekDay href,colInst,numCurr,numTot,numWait,onlineMeeting,weekDay 6,alignC,legendControl 3,legendControl 4,enConDesc,enConList,enConList 2,enConList 3,enConList 4,extraTxt 14,extraTxt 15
FRE,French for Beginners,FSL100H1-F,Timetable instructions,Note:,"This is a 3-hour course (2-hr lecture, 1-hr tutorial). All students must enroll in both the lecture and the tutorial for a total of three hours per week.","An intensive basic course in spoken and written French for students who have no knowledge of French: comprehension, speaking, reading, and writing.",FSL102H1 and higher.,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,10:00,12:00,SS 1085,https://map.utoronto.ca/?id=1809#!m/494510,"Bessler, P.",1,83,Yes: 0 student,In Person,—,—,,,,,,,,,
FRE,French for Beginners,FSL100H1-S,Timetable instructions,Note:,"This is a 3-hour course (2-hr lecture, 1-hr tutorial). All students must enroll in both the lecture and the tutorial for a total of three hours per week.","An intensive basic course in spoken and written French for students who have no knowledge of French: comprehension, speaking, reading, and writing.",FSL102H1 and higher.,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,SS 1071,https://map.utoronto.ca/?id=1809#!m/494510,"Proulx, S.",0,83,Yes: 60 students,In Person,—,—,,,,,,,,,
CERES,Elementary Hungarian,HUN100Y1-Y,,,,"This course is aimed at students interested in Hungarian but have no prior knowledge of the language. The course emphasizes essential vocabulary, basic comprehension, speaking, reading and writing skills with a balance between communicative activities and grammar practices. Communicative activities will include group and partner work to encourage interactive learning.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,,LEC0101,Tuesday,—,13:00,16:00,OI 2281,https://map.utoronto.ca/?id=1809#!m/494563,"Tomory, E.",22,24,Yes: 0 student,In Person,,,,,,,,,,,
GGR,Introduction to Physical Geography and Earth Science,JEG100H1-S,,,,"This introduction to Physical Geography and Earth Sciences examines the atmosphere, lithosphere, hydrosphere, cryosphere and biosphere, emphasizing processes, flows of energy and materials, and the interconnectedness of these Earth systems. Specific topics include weather and climate, earth materials, geological and geomorphic processes involved in the genesis of landforms, river systems, glaciers, soils, and biomes.","GGR100H1, ESS102H1, EESA06H3",Exclusion:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,14:00,15:00,LM 159,https://map.utoronto.ca/?id=1809#!m/494502,"Bergquist, B.",12,160,Yes: 0 student,In Person,ES 2101,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBSCT Science Tranfser Degree Program,ASCRSHBSCT Science Tranfser Degree Program,,
CERES,Introductory Modern Greek,MGR100H1-F,,,,"This course is designed for absolute beginners in the Modern Greek language. The overall goal is to facilitate understanding and use of familiar everyday expressions and phrases aimed at the satisfaction of basic communicative needs. Students will familiarize themselves with the Modern Greek alphabet, pronunciation and grammatical rules. No previous knowledge of Modern Greek required.",Students who have completed High School in Greece or a Grade 12 Modern Greek language credit.,Exclusion:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,11:00,13:00,UC A101,https://map.utoronto.ca/?id=1809#!m/494517,"Aravossitas, T.",0,30,Yes: 0 student,In Person,,,,,,,,,,,
GGR,Histories of Environmental Change,GGR101H1-F,,,,"This course will investigate geological, biological and archaeological evidence of environmental change. We will examine the processes that have driven and will drive environmental change and how past societies have shaped and responded to these changes. The emphasis is on the current interglacial period, or Holocene, and how shifts in population and technologies have affected human-environment interactions. As language of the Holocene gives way, for many, to that the Anthropocene, the implications of environmental change for present and future human societies will be our concluding concern.",Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,,,Room,LEC9901,Thursday,—,12:00,14:00,,,"Verma, R.",0,300,Yes: 0 student,Online - Synchronous,—,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,,
CERES,Elementary Modern Greek,MGR101H1-S,,,,This course builds on MGR100H1 and aims to develop competence in the Modern Greek language at the basic level. Students will attain elementary proficiency in the spoken and written language by familiarizing themselves with a variety of grammatical and syntax structures while continuing to enrich their vocabulary. Emphasis will be placed on reading and conversational skills while students are expected to write short descriptive paragraphs.,MGR100H1,Prerequisite:,Students who have completed High School in Greece or a Grade 12 Modern Greek language credit.,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,11:00,13:00,UC 330,https://map.utoronto.ca/?id=1809#!m/494517,"Aravossitas, T.",13,30,Yes: 0 student,In Person,,,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:
FRE,Introductory French,FSL102H1-S,Timetable instructions,Note:,"This is a 3-hour course (2-hr lecture, 1-hr tutorial). All students must enroll in both the lecture and the tutorial for a total of three hours per week.","An intensive basic course in spoken and written French for students who have studied some French, but who have not yet attained the entry level for FSL121Y1.","FSL100H1 or, upon first FRE/FSL enrolment, equivalent as determined by the French Placement Test.",Prerequisite:,FSL121Y1 and higher.,Exclusion:,Humanities,Distribution Requirement:,Room,LEC5101,Tuesday,—,18:00,20:00,VC 215,https://map.utoronto.ca/?id=1809#!m/494602,"Bessler, P.",0,83,Yes: 34 students,In Person,—,—,,,,,,,,Creative and Cultural Representations (1),Breadth Requirement:
GGR,"Environment, Food and People",GGR107H1-F,Delivery instructions,Note:,This meeting section may require attendance at a specific time and location for the final exam or final assessment (subject to adjustments imposed by public health requirements). Online attendance at a specific time is required for some or all other activities.,"Examines the relations between food, nature, and society. Food is fundamental to human existence, and central to most cultures; it also has significant and widespread effects on the physical and social environments. Food is used as a lens to explore human-environment interactions locally and globally. Serves as an introduction to environmental and human geography.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,11:00,13:00,MS 3154,https://map.utoronto.ca/?id=1809#!m/494491,"Wakefield, S.",3,188,Yes: 0 student,In Person (See Delivery Instructions.),—,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,,
GGR,"Geographies of Globalization, Development and Inequality",GGR112H1-S,,,,"Economic growth, social change and environmental transformation are taking shape in an increasingly interconnected global context. This course introduces and examines critical geographic approaches to international development, economic globalization, poverty, and inequality. It pays particular attention to the roles of rural-urban and international migration in shaping specific landscapes.",Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,,,Room,LEC0101,Wednesday,—,10:00,12:00,MS 3154,https://map.utoronto.ca/?id=1809#!m/494491,"Kocsis, J.",0,230,Yes: 17 students,In Person,,—,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 1      (Faculty of Arts and Science),"Year 1      (John H. Daniels Faculty of Architecture, Landscape, & Design)",AS   HBA T Arts Transfer Degree Program,ASCRSHBA T Arts Transfer Degree Program,,
